arith.div_active,arith.divider_active,arith.fp_divider_active,arith.idiv_active,arith.int_divider_active,assists.any,br_inst_retired.all_branches,br_inst_retired.cond,br_inst_retired.cond_ntaken,br_inst_retired.cond_taken,br_inst_retired.far_branch,br_inst_retired.indirect,br_inst_retired.near_call,br_inst_retired.near_return,br_inst_retired.near_taken,br_misp_retired.all_branches,br_misp_retired.cond,br_misp_retired.cond_ntaken,br_misp_retired.cond_taken,br_misp_retired.indirect,br_misp_retired.indirect_call,br_misp_retired.near_taken,br_misp_retired.ret
12988,12850,0,13402,14150,183,600274,380272,236705,193087,232,17277,69304,65279,291588,13004,8816,998,5636,3055,1763,9407,493
12344,12250,0,12033,12071,167,281060,193602,128129,66252,195,3173,36848,70359,320563,14521,10542,1525,12270,4379,2675,13222,470
12609,12604,0,13362,14019,188,829153,374930,245927,142990,210,12371,35122,32504,153418,10005,6618,792,5691,2951,1676,9220,500
12923,12124,0,11500,11917,107,285740,196694,221726,121134,200,9623,79987,93607,411345,16213,9517,1571,8169,3520,1793,9459,481
12694,12839,0,12975,13258,170,505541,335598,218705,124331,223,3057,35583,33162,157780,9512,6247,1428,7807,3651,2127,14449,581
12768,12810,0,12601,12832,135,282160,398222,245881,134784,213,10814,108687,102514,437236,13172,9230,1258,7889,3365,1645,9940,432
13536,12367,0,12400,12284,151,280306,193413,127528,66128,190,3091,35879,33542,156904,10178,9567,1461,8531,3638,2197,16540,574
12057,12059,0,12325,12769,149,540199,526172,343973,206377,238,12829,83998,78360,336535,10638,7006,1017,5752,3018,1694,8739,455
13077,12510,0,12000,12022,132,285358,196698,128311,66384,208,9755,67405,64912,290858,12978,11441,1838,10138,3523,2101,12494,485
12746,13778,0,13369,13369,185,727845,470999,298436,163981,216,10420,73415,72761,155826,10572,7144,878,5654,2906,2079,11668,516
12486,12783,0,12333,12330,145,287115,197042,128535,67176,209,11673,75804,70872,308808,16880,11986,1859,8255,3551,2064,12064,495
13141,13788,0,13590,12295,140,524201,338398,216090,67525,195,3103,35979,33308,156196,10635,7182,816,6346,3574,2140,13432,495
12237,12221,0,12255,11828,160,516808,346977,227297,130327,251,20272,125465,79096,347195,14526,10267,1418,5692,3018,1684,9032,450
12867,13234,0,13378,12244,127,284967,195501,128112,65402,205,3013,35492,32690,289125,12878,9038,1287,7934,3928,2385,15028,485
12895,12813,0,12572,12639,182,725258,470370,212560,170731,227,16638,104954,69484,315826,13649,9807,888,6399,3059,1723,9514,530
12509,12909,0,12904,12988,100,290653,198651,130234,66665,202,3024,35260,36402,317818,13872,9499,1350,9690,3933,2350,12882,525
13161,12583,0,12581,13305,171,794449,344628,217076,168272,225,15864,66351,63538,283266,13436,9697,952,6146,3015,1671,9690,516
12238,12394,0,12683,12529,135,285625,196209,220511,125269,221,11041,77920,120552,549567,18758,10026,1505,8061,3599,2092,9426,553
