arith.div_active,arith.divider_active,arith.fp_divider_active,arith.idiv_active,arith.int_divider_active,assists.any,br_inst_retired.all_branches,br_inst_retired.cond,br_inst_retired.cond_ntaken,br_inst_retired.cond_taken,br_inst_retired.far_branch,br_inst_retired.indirect,br_inst_retired.near_call,br_inst_retired.near_return,br_inst_retired.near_taken,br_misp_retired.all_branches,br_misp_retired.cond,br_misp_retired.cond_ntaken,br_misp_retired.cond_taken,br_misp_retired.indirect,br_misp_retired.indirect_call,br_misp_retired.near_taken,br_misp_retired.ret
13492,13573,0,13036,13096,187,441557,148159,74843,37485,185,2446,24149,24573,244155,14242,11026,1340,11838,3197,2361,14999,565
11800,11443,0,11838,12446,149,391777,241759,238299,140633,210,15439,55781,54616,234875,13715,7949,875,6515,2282,1738,8764,477
12445,12332,0,11777,11515,160,172892,112008,73753,36369,184,46486,390320,449308,1823043,39713,26844,5049,23152,5882,2745,14744,517
12560,12605,0,13792,13694,194,756398,279911,173242,96061,199,2334,22789,21356,88483,12274,9042,1185,7489,2683,2053,11246,588
11931,11833,0,11736,11602,150,170678,112634,160514,91097,198,9264,95496,97810,430656,20754,14024,1762,12305,3096,1697,11533,516
12701,12993,0,12799,12896,147,156525,102779,67282,34032,183,2294,22643,21676,89018,9934,7336,1258,8492,2632,1981,14209,575
12190,11503,0,11897,12378,165,428131,417200,254980,143696,212,12000,84035,82448,351205,14348,11411,1368,10311,2430,1727,10846,479
13161,12214,0,12403,12377,137,157399,101359,66560,34146,183,2318,22983,22053,89460,10465,11549,1447,9190,2730,2447,14475,596
12624,12474,0,13749,14116,164,839428,511306,308368,173606,211,9967,59049,56227,92275,9890,7307,820,6830,2320,1689,10437,513
11999,12203,0,12124,11857,158,166267,106633,70949,35871,200,14949,87800,88861,386200,21716,17615,2490,13025,2852,2105,13342,526
12096,12593,0,13258,13003,154,416626,272980,178744,33976,183,2281,22856,21800,92703,9429,6822,729,6319,2273,2023,11611,545
11833,12158,0,11346,11055,118,450110,277175,170262,93967,214,15371,87610,86051,227769,16951,13149,1897,10084,2689,1997,13846,519
