arith.div_active,arith.divider_active,arith.fp_divider_active,arith.idiv_active,arith.int_divider_active,assists.any,br_inst_retired.all_branches,br_inst_retired.cond,br_inst_retired.cond_ntaken,br_inst_retired.cond_taken,br_inst_retired.far_branch,br_inst_retired.indirect,br_inst_retired.near_call,br_inst_retired.near_return,br_inst_retired.near_taken,br_misp_retired.all_branches,br_misp_retired.cond,br_misp_retired.cond_ntaken,br_misp_retired.cond_taken,br_misp_retired.indirect,br_misp_retired.indirect_call,br_misp_retired.near_taken,br_misp_retired.ret
12628,12317,0,12140,12164,11,126849,78854,53361,77557,195,8396,51117,79859,331898,5097,584,149,229,3184,2587,2957,682
12958,13024,0,12918,13434,60,545194,216672,142234,83506,203,9806,20201,19791,73590,2887,149,42,268,2898,2264,3666,684
12728,12733,0,12646,12648,26,126278,80418,158338,87319,196,8978,52133,80385,324844,4735,367,130,222,2725,2196,2840,599
13607,13558,0,12752,12678,50,331510,78509,51569,25739,180,2101,20000,19291,74990,2917,145,170,296,3364,2568,4268,802
11937,12208,0,13191,12864,45,376397,243071,266106,163293,223,11123,62500,59135,234964,4217,120,35,78,2131,1741,2810,653
13682,12743,0,11679,11818,22,129207,80008,52776,26719,183,2162,49890,48835,199152,3750,420,227,387,3716,2466,4236,753
12502,12472,0,13464,13564,52,336336,341570,222237,134359,203,9604,58915,60095,257986,2782,112,42,81,2119,1748,3617,559
13353,12663,0,12668,12671,6,130667,76673,49443,25191,176,9420,53738,51248,204780,3677,623,237,370,2863,2262,3706,585
12836,12824,0,13534,13491,29,333662,208442,133047,75767,187,2174,20321,20318,80326,2934,184,89,90,2228,2542,3915,503
12368,12368,0,12338,12813,18,372791,238555,156982,93603,211,20008,111298,107078,245892,4052,469,181,265,2104,1743,2750,505
13172,13468,0,12726,12446,3,124694,77625,51998,26121,182,2162,20274,19521,75421,3731,337,127,202,2894,3019,4966,612
11803,12693,0,12918,12984,40,538666,336216,212438,75834,200,8742,54380,49227,76260,3000,196,33,125,2130,1731,2901,616
13102,13124,0,13247,12284,12,126187,80505,52401,26109,199,10119,57213,54451,365817,5224,679,242,267,3699,2855,4895,758
13764,12921,0,12888,12874,54,576776,347543,132646,75013,192,8120,49841,19425,74173,2826,180,54,111,2157,1757,2711,491
12293,12553,0,12323,12323,17,129624,80931,54082,85108,216,17515,101395,105235,626873,7186,1154,285,264,3004,2386,3792,556
14278,14365,0,13152,13475,37,420435,252018,53728,27038,187,2307,20553,19771,75899,2895,115,32,227,2707,2168,3614,569
11877,11837,0,12206,13086,30,331066,206551,131780,125301,205,14874,54090,54830,233804,4307,463,59,103,2106,1731,2730,508
13034,12909,0,12930,13130,38,386025,82099,55817,27977,183,2077,18956,56342,224426,3621,365,153,375,3521,2707,3769,610
13319,12726,0,13138,13171,39,363502,220039,224306,127350,210,8567,50842,49936,204771,3861,145,53,86,2160,1793,2875,573
12413,12923,0,12323,12193,7,125977,80921,54061,27200,189,2163,58787,60037,259911,4335,499,312,481,3878,2374,3992,700
13583,13659,0,14548,14169,57,430848,263989,161696,89394,198,2123,19473,19199,74741,2998,117,50,67,2167,1794,3740,666
11885,12016,0,12078,12102,10,126692,213530,136043,77171,195,8388,81367,83022,356955,4210,445,204,286,3355,1775,2919,664
13319,12658,0,13635,13680,57,375215,242095,158250,94316,184,2158,19902,19095,74047,2914,396,147,225,2885,2262,4660,648
12925,13261,0,12480,12122,16,127929,238938,147041,81521,192,14385,80401,79032,328700,3938,347,142,229,2161,1792,2845,571
12432,12389,0,12984,12723,15,124425,77546,51613,26359,187,2173,20394,19723,76841,4384,499,176,276,3115,2992,5100,817
12958,13900,0,13761,13697,49,720058,472837,298319,96610,205,9805,56136,53460,216791,3940,440,167,242,2882,2307,3722,540
12007,12041,0,12099,12124,22,127001,79198,53290,26378,195,8183,50091,49173,207365,5170,674,281,277,3123,2511,4172,593
13189,13474,0,13184,12328,35,354982,226968,149531,27697,192,2191,20808,18976,71083,2632,90,36,69,2841,2208,3540,533
12760,13106,0,13166,12418,32,412720,248101,153062,84745,208,15142,81452,48802,327181,4880,588,225,205,3068,2481,4011,559
12547,12662,0,12791,12593,37,334780,208984,53840,26323,185,2153,20500,19973,77431,2845,122,43,75,3249,2485,3876,518
12778,13409,0,13371,13997,54,620932,242134,160546,166143,220,18072,72981,55505,219878,3945,386,48,90,2122,1754,2705,540
13071,12868,0,11886,12248,17,127461,79324,52904,26481,185,2207,20579,49466,202560,3755,381,151,406,3831,3010,4076,596
12824,13019,0,12759,13309,37,544624,215967,140772,82596,208,9811,20274,19283,73822,2943,182,72,112,2168,1758,2805,630
13113,13450,0,12617,12617,22,125798,77942,158002,87176,197,9020,52725,81009,325863,5050,345,115,445,3787,2909,3961,717
12062,12089,0,12717,12781,60,537433,206408,131703,74705,192,2099,19717,19019,73827,2959,135,49,94,2191,1775,2898,712
12434,12653,0,13092,13814,53,140906,89389,158285,94662,221,11186,64420,48067,195126,3409,386,112,269,1821,1573,3860,514
12398,12128,0,12927,12940,39,349924,391991,258222,158248,206,11476,63528,60121,238723,2694,161,44,118,2095,1724,2755,548
13817,13590,0,12290,12308,19,120449,74728,49288,24530,174,8103,49362,48487,198517,3734,608,156,512,3115,2487,4258,630
12164,12183,0,13149,13149,37,543485,338839,219505,132750,204,9255,57538,58515,77281,2983,146,28,112,2053,2261,3692,576
12999,12978,0,13046,12733,17,131351,78011,52186,26037,178,9538,55220,52607,208505,4770,635,132,483,2820,2224,3643,608
12558,13170,0,13115,13271,32,343257,210669,134588,25830,182,2137,19854,19905,76556,2864,139,42,96,2164,2495,4181,591
12558,12308,0,12038,12537,18,363765,233751,153679,91011,219,19659,110899,108126,246931,3961,377,85,87,2086,1712,2707,545
13324,13713,0,13417,12451,24,125924,77767,52981,26297,184,2223,20619,20169,93830,3929,397,87,306,3800,2984,5183,630
12305,12248,0,12364,12589,47,535527,334019,131459,125284,211,15542,89773,56416,239906,4292,490,52,97,2152,1797,2857,566
12883,13513,0,12995,12782,15,131353,80728,54278,25381,177,2097,20061,19284,223309,3797,371,87,452,3586,2740,4619,578
13290,12652,0,12882,13430,40,576224,346632,131720,74027,195,8135,19593,18843,71189,2808,148,53,113,2151,1777,2850,564
12353,12093,0,12168,12168,5,129595,80439,53970,84314,205,10056,62004,107392,452717,5842,803,95,324,3052,2342,2729,535
14686,14793,0,14221,14363,52,414652,75017,50100,25093,177,2088,19158,18468,72773,2740,102,40,252,2755,2798,4909,730
11721,11805,0,12278,12356,30,333378,207322,212747,123548,212,14561,53497,54061,225685,4501,178,54,116,2128,1716,2701,523
13264,13289,0,13737,13572,32,130303,80901,54088,26887,180,2070,57851,56714,225053,4056,408,136,475,3744,2359,4967,685
13140,12223,0,12371,12724,46,366537,365390,223306,126185,207,8151,49939,49033,201266,3020,149,66,83,2182,1811,3026,736
12450,11802,0,12323,12198,17,124462,78991,53522,26797,187,2183,58411,59607,255364,4185,819,156,615,3972,2445,4076,647
13130,13569,0,14260,14352,81,448513,277419,168584,92697,178,2119,19864,19374,73973,3093,232,35,157,2134,1769,3989,749
11919,11873,0,11726,11723,10,124320,205205,130952,74161,197,14147,79184,81094,347069,4282,498,123,420,2150,1774,2926,641
13209,13462,0,13184,13278,40,353028,227047,149758,42105,189,2195,20136,18943,73480,3014,502,106,374,3007,3014,5205,798
12788,12889,0,12726,12361,13,383545,230706,142722,78784,205,14224,79290,78254,198704,4212,450,102,181,2175,1805,3115,668
12498,12296,0,12804,12274,15,126138,78216,52909,27562,191,2202,20806,20146,77688,4656,578,127,394,4291,3213,5528,804
13217,13797,0,14031,13943,58,699257,457813,290444,94720,190,9766,55060,18369,70627,2779,170,50,117,2132,1764,2757,540
11597,11635,0,11612,11660,16,122744,77143,53080,26521,197,8459,51356,50639,340103,5546,835,181,465,3359,2683,4753,683
13409,13344,0,13264,12563,48,583286,377879,150328,88867,203,10720,65449,19314,72810,2931,185,71,123,2771,2233,3820,693
12489,12650,0,12654,12613,11,124429,77107,52532,83425,196,8622,50745,64533,315859,5243,640,90,297,3039,2443,2991,556
13110,12861,0,12317,12518,22,338864,77453,51951,25314,184,2123,19900,19529,74932,3040,198,71,409,3380,2592,4277,764
12788,13030,0,12986,13537,36,390325,252956,284311,175207,219,19362,61329,58251,229464,4280,233,67,150,2097,1719,2840,608
13216,12505,0,11810,11851,11,127236,78808,52409,25888,182,2168,20077,49819,203153,3956,435,150,585,4194,3281,4353,660
12798,13024,0,13464,13139,65,544535,217805,219352,132316,221,8894,56263,57446,244123,4715,216,53,120,2125,1760,2837,609
13811,13853,0,13230,13266,14,126467,76394,158045,87808,196,9046,85110,81171,326829,5140,412,162,500,3926,2467,4262,718
12379,12074,0,12636,12608,68,310316,193276,123702,69652,185,2173,20719,20043,77529,3095,174,55,131,2170,1770,4407,737
12133,12458,0,13095,13187,14,130275,240393,158519,94492,212,20132,104535,98410,392398,4320,398,88,307,2080,1754,2925,698
14367,13702,0,12400,12413,25,121366,74460,50545,25104,178,2127,19708,18898,72434,2953,382,127,325,3042,3231,5756,853
12191,12050,0,12893,12893,30,534905,334295,215520,130525,205,9236,57322,58727,79078,3070,153,36,116,2125,1750,2730,545
12792,13160,0,13155,13216,6,126596,75583,49895,24916,176,9542,54799,52228,207654,5245,628,132,488,3053,2995,5148,800
12159,12829,0,12576,12431,32,550664,335114,210972,74445,195,8146,49453,48874,73363,2920,158,57,114,2166,1792,2853,599
12413,12413,0,12388,12955,15,126000,76976,51264,25535,204,10688,64374,63045,271254,6158,960,268,378,3085,2425,3939,553
13997,13694,0,13913,12596,35,408940,245620,51425,25634,182,2151,19226,18505,71107,3011,195,50,150,3008,2427,4260,765
12328,12341,0,12364,12713,32,334804,208542,132881,125030,213,15483,89216,54846,233123,4532,547,55,116,2087,1753,2786,550
13634,13863,0,13352,13466,53,404166,260489,54936,26765,192,10156,57741,54862,363388,5489,733,204,505,3919,3053,5260,748
12603,12159,0,12039,12555,40,359966,218923,135960,127190,207,14661,51109,50200,206191,4276,460,73,112,2209,1834,2920,549
12798,12994,0,12538,12538,7,131468,81710,54927,27081,188,2184,20716,63433,261279,4355,431,167,485,4102,3123,4156,700
13143,13201,0,13771,13970,56,712519,249650,153061,84534,189,8776,19312,18819,73995,2840,177,42,142,2152,1819,2914,614
11756,11874,0,11983,11769,20,125743,77970,131751,74392,192,8260,81882,84537,364066,5862,503,214,332,3521,1722,2800,605
13384,13409,0,13272,12915,43,130647,81291,54376,27262,183,2145,19494,18369,70573,2854,163,153,244,3806,2973,5998,740
13330,12568,0,12975,12783,43,378481,373406,227054,128302,210,8218,78956,77864,322343,3984,413,152,261,3086,1751,2788,566
13031,12618,0,12878,12913,35,128124,79687,52520,26237,186,2169,20166,19644,77500,2995,580,210,371,3205,2446,5216,692
12427,12419,0,12873,12888,38,436250,463176,276050,155050,201,9351,53902,51398,204467,2921,100,27,67,2085,1725,2833,654
12594,12107,0,12127,12193,5,123980,76886,51252,25354,185,8178,49528,50078,210882,4196,767,314,500,3464,2780,4444,641
12433,13266,0,13049,13552,43,342758,220427,145560,40109,191,2191,19517,18650,71487,2948,166,60,123,2106,2305,3916,708
13248,13319,0,12325,11930,10,393944,236762,146429,81241,205,14515,80660,79599,199459,5293,615,257,231,3107,2532,4260,765
12051,12621,0,13334,12543,40,333123,207438,132586,27329,187,2161,20525,20094,76077,3028,260,71,122,3212,2473,3969,601
12599,12598,0,12450,12423,97,412547,269230,171115,95501,208,17953,93627,54222,216035,4126,433,130,130,2114,1744,2873,653
13111,12635,0,12392,11857,16,124878,77284,51488,25607,180,2104,19986,19253,209157,4091,447,171,330,4412,3472,5934,641
12628,12563,0,12503,12503,63,572890,368854,145465,85724,202,10325,63294,18834,71646,2863,173,24,150,2113,1741,2837,613
13396,13406,0,12557,12260,22,127840,78965,52658,83781,197,8662,50857,64085,315089,5345,695,165,442,3904,3097,4303,764
12664,12633,0,12979,13499,52,549648,210365,133733,75519,203,8521,20774,20142,77541,3171,321,120,221,2152,1756,3038,800
12190,12110,0,12863,12550,9,126548,78589,169847,102124,202,10940,60757,96819,387893,5611,517,169,320,3006,2366,2938,670
14793,14160,0,12800,12707,33,359993,77455,51990,25677,182,2139,19978,19245,72698,2965,207,138,327,3082,2470,4367,881
11612,11882,0,12698,12503,22,330771,212814,224962,136275,219,9703,59729,61112,262655,4681,213,97,92,2088,1728,2848,673
13287,13202,0,12499,12618,25,126929,77419,51822,25580,179,2118,54002,51270,204101,3896,382,240,375,3806,2423,4209,770
12133,12237,0,13075,13055,48,311398,323230,277988,163194,205,13724,79890,81462,348867,4488,207,68,131,2187,1734,4240,696
12708,12318,0,12697,12701,11,133485,81719,54811,26840,192,11543,64151,60645,240554,4316,759,267,433,2954,2417,3989,715
13856,13786,0,13548,13495,45,371076,224117,138348,76844,176,2092,20066,19338,74499,2955,142,71,95,2284,2389,4070,723
11964,12259,0,12133,12067,20,333872,206707,134408,78258,201,15820,91643,93981,238438,4610,480,176,294,2127,1753,2856,641
13195,13436,0,13459,13140,13,128664,75700,50235,24898,181,2138,19474,18718,71888,4008,335,117,202,2900,2958,4922,763
11476,12586,0,12248,12675,46,550151,332934,210242,73944,207,14150,78787,78271,204794,4182,396,162,95,2160,1791,2894,651
12771,12746,0,12501,12036,20,125377,77689,52661,26740,186,2181,20587,19542,96229,4372,470,161,288,3845,2927,4860,720
13915,13556,0,14255,13619,67,676688,403798,147014,81263,191,8421,49459,18842,72255,3063,212,67,170,2112,1752,3015,737
11853,11805,0,12160,12066,20,123812,77052,51521,74395,201,8689,54270,54748,389286,5938,952,233,397,3351,2554,4200,565
