arith.div_active,arith.divider_active,arith.fp_divider_active,arith.idiv_active,arith.int_divider_active,assists.any,br_inst_retired.all_branches,br_inst_retired.cond,br_inst_retired.cond_ntaken,br_inst_retired.cond_taken,br_inst_retired.far_branch,br_inst_retired.indirect,br_inst_retired.near_call,br_inst_retired.near_return,br_inst_retired.near_taken,br_misp_retired.all_branches,br_misp_retired.cond,br_misp_retired.cond_ntaken,br_misp_retired.cond_taken,br_misp_retired.indirect,br_misp_retired.indirect_call,br_misp_retired.near_taken,br_misp_retired.ret
13134,12874,0,13276,14200,60,600966,390146,154395,91891,202,11115,19369,18624,71818,2872,143,68,70,2139,1756,2870,660
12855,12834,0,12197,11763,9,128649,78144,52052,81166,198,8411,50588,79122,329192,5040,585,187,216,3096,2469,2811,641
13140,13117,0,13235,13624,42,539670,208251,132260,77431,198,8976,19747,19064,76445,3060,152,52,279,3229,2510,4112,782
12633,12638,0,13014,12730,38,612822,369811,224684,131219,211,8021,50193,49196,84784,4138,1179,128,115,2153,1815,3014,715
11902,12361,0,12507,12377,5,125088,77319,53068,25803,183,9506,58505,59698,255760,6386,971,419,507,3207,2448,4041,695
13396,14320,0,13889,14298,20,431332,270178,166120,25355,180,2134,19475,18881,71405,2961,140,65,80,2127,2349,3901,775
11719,11800,0,11546,11595,2,323016,199307,127357,71636,207,13900,77996,78834,209146,4277,427,181,103,2152,1780,2853,685
12953,13514,0,13879,13486,23,359870,231581,152670,26926,191,2228,19644,18449,70434,4194,484,161,291,3816,2882,4900,753
12904,12921,0,11982,11723,24,391087,235088,144752,80480,206,14459,79083,48409,199006,4119,375,130,116,2171,1801,2978,664
12823,12813,0,11775,12478,5,125130,77438,52459,27306,194,2285,20748,20039,237976,4581,500,180,458,4408,3298,5436,762
13109,12884,0,13151,14082,69,699857,457740,175708,101309,199,10434,19781,18680,71572,3022,179,62,112,2174,1786,2920,658
12748,11916,0,11906,11941,8,127004,77235,51083,74078,195,8102,49248,77987,322759,5467,752,182,291,3288,2677,3011,723
13008,13269,0,12853,13484,30,564995,219861,144063,84743,204,10151,19916,19240,71961,2884,120,57,270,3007,2342,3880,742
12381,12419,0,12271,12212,3,122113,77349,153285,85117,198,8790,51542,79118,327163,5115,365,147,222,3025,2441,2832,551
13478,13436,0,12924,12810,17,327218,75762,50601,25213,180,2124,20324,19649,75362,3068,216,229,309,3436,2614,4358,823
12292,12392,0,13436,13182,26,385981,336352,265422,162991,221,10024,56424,53303,211277,3078,155,84,76,2127,1764,2892,708
14580,12320,0,11971,12135,6,125505,76814,51236,25590,185,2172,49353,48421,196915,3911,979,400,670,5108,3386,5927,854
12348,12403,0,13064,13064,27,327355,339414,221705,134708,207,9597,59422,60683,260124,3074,215,68,110,2079,1722,3875,700
13530,12617,0,12700,12759,0,124007,76064,51614,25716,183,9542,54768,52232,208025,4089,600,217,370,3023,2422,4121,751
12462,12795,0,13490,13483,23,331043,206200,131463,74581,182,2139,19980,19255,73909,2862,148,60,87,2178,2635,4310,637
12097,12097,0,12824,12587,10,360909,232760,153606,91813,205,20579,110575,104457,248777,4456,462,178,238,2136,1759,2707,540
13410,13916,0,13429,11968,3,125005,77388,51772,25605,179,2091,19291,18598,72544,3794,362,160,232,3768,3049,5122,647
11716,12619,0,12568,12403,40,535969,335258,211981,76868,201,9009,55997,19644,75564,2871,149,22,70,2134,1762,2754,544
13182,13137,0,12946,12350,3,127925,79696,52193,26150,201,9791,55930,53217,354011,5324,642,235,262,3896,2983,5030,700
13204,12730,0,13034,13088,35,565205,341905,131571,74469,200,8172,49631,19119,75106,2997,188,79,102,2104,1781,2952,671
12221,12286,0,12291,12391,5,130929,81190,54342,87523,205,10493,63508,63257,434378,6170,781,186,270,3108,2426,3982,685
14436,14404,0,13558,13462,36,415468,248989,51568,25662,178,2115,19581,19048,72079,2818,172,100,235,3073,2481,4125,647
11715,11729,0,11937,13024,30,331878,206617,142960,125533,218,15248,54744,55241,235112,4634,545,173,97,2079,1712,2859,681
13749,14063,0,13610,13507,33,389802,78375,52416,25756,179,2134,19497,55458,220220,4057,394,249,370,3824,3015,3844,623
11637,11456,0,12669,12260,11,355106,214419,218087,124615,202,8339,50109,49358,203375,4066,157,74,92,2170,1800,2832,557
12463,12799,0,12298,12263,7,127005,79957,53450,26324,186,2184,99876,103364,449624,6592,872,423,646,5370,2494,4101,760
13354,13499,0,14085,14539,67,431888,258796,158088,87461,197,2163,20172,19330,72745,2959,145,47,97,2161,1756,3901,747
11935,12095,0,11831,11865,7,124575,204641,130341,73717,192,8143,81798,83520,359634,4431,439,169,308,3481,1719,2788,655
13489,12949,0,13937,14439,82,597475,386981,254930,156325,207,10545,19367,18544,71203,2902,394,153,247,2985,2450,4995,775
12494,12525,0,11604,11572,6,354940,218483,135219,74917,197,13879,77962,76859,202104,4088,347,157,231,2126,1763,2960,709
12580,12678,0,12956,12796,7,129832,80487,55239,27704,193,2236,20657,19954,75959,4678,502,172,309,3283,3290,5391,761
5637,6722,0,6275,6275,27,342526,213741,126747,12632,380,62278,339571,335992,1510723,25448,14798,3749,2407,2091,1658,3973,336
0,0,0,0,0,0,0,0,0,0,0,124,1951,1899,111026,1010,467,185,487,837,623,1348,0
0,0,0,0,0,0,0,0,0,0,0,102,1597,1554,105276,876,300,112,292,817,599,1129,0
0,0,0,0,0,0,0,0,0,0,0,175,2683,2610,155312,1580,404,137,450,1988,1430,2480,0
0,0,0,0,0,0,0,0,0,0,0,122,4425,4371,66345,1098,307,117,309,1360,996,1696,20
0,0,0,0,0,0,0,0,0,0,0,125,6123,6072,23742,774,279,104,206,896,668,1206,30
0,0,0,0,0,0,0,0,0,0,0,196,4802,4719,18971,1108,302,120,182,2009,1428,2521,49
0,0,0,0,0,0,0,0,0,0,0,138,2214,2158,8749,1116,304,129,175,1002,1004,1695,31
0,0,0,0,0,0,0,0,0,0,0,0,23667,23512,98943,1688,472,179,293,1161,1296,2184,33
0,0,0,0,0,0,0,0,0,0,0,0,1586,1543,6374,628,220,87,133,377,418,763,23
615,0,0,0,0,0,0,0,0,0,0,0,4385,4335,17189,737,241,96,145,445,528,1001,28
516,0,0,0,0,0,0,0,0,0,0,0,4170,4122,16292,193,210,88,122,446,546,1029,27
852,0,0,0,0,0,0,0,0,0,0,0,1908,1856,7619,171,260,100,160,472,551,1095,24
827,0,0,0,0,0,0,0,0,0,0,0,2524,2456,10051,249,517,157,360,1169,1069,1989,39
629,0,0,0,0,0,0,0,0,0,0,0,1559,1517,6223,139,193,73,120,420,446,834,24
540,0,0,0,0,0,0,0,0,0,0,0,5731,4086,16131,263,237,88,149,479,438,1149,29
1095,812,0,0,0,0,0,0,0,0,0,0,0,6478,25785,358,164,144,176,746,508,2734,50
3559,3559,0,3468,0,0,0,0,0,0,0,62463,304455,117891,359587,4894,3085,664,2163,921,685,3482,132
660,660,0,660,0,0,0,0,0,0,0,12184,62146,62146,262700,2332,760,315,444,121,79,366,60
627,627,0,627,0,0,0,0,0,0,0,11764,57462,57462,243792,2313,553,98,455,117,80,207,54
980,980,0,980,0,0,0,0,0,0,0,11420,58249,58249,246219,2201,533,125,408,135,91,265,60
289,289,0,289,0,0,0,0,0,0,0,7904,40313,40313,170408,1454,349,70,279,95,60,153,46
310,310,0,310,0,0,0,0,0,0,0,4306,33450,33400,140663,1371,452,158,294,681,68,143,24
905,905,0,905,0,0,0,0,0,0,0,0,3310,3318,13617,366,127,72,54,784,1144,2762,48
839,839,0,839,0,0,0,0,0,0,0,0,0,9243,36053,263,144,81,62,1078,780,1895,29
860,860,0,860,0,0,0,0,0,0,0,0,0,4255,16957,242,90,57,33,801,575,2069,31
450,450,0,450,0,0,0,0,0,0,0,0,0,1623,6681,188,68,38,30,698,487,1258,22
420,420,0,420,0,0,0,0,0,0,0,0,0,1466,6769,209,76,44,31,757,540,977,21
633,633,0,633,0,0,0,0,0,0,0,0,0,0,17449,199,66,36,30,761,548,919,26
