topdown.memory_bound_slots
96348
101391
100128
102834
100672
99779
100135
101212
105725
103558
99956
97981
101935
105539
97256
100136
101757
104278
103555
96353
100314
96891
96690
97408
100460
103148
101460
105170
102294
99777
102084
99826
99858
105599
102490
100360
103364
103554
102573
100445
102941
103555
104455
100810
99414
99593
104093
104999
100297
101754
96350
105707
104278
102484
104818
103373
99409
104996
98152
101211
96343
102482
101755
102271
104456
103375
99679
99953
99596
103846
102117
104930
102474
103201
102385
102591
104278
97765
104717
101119
105535
98333
98155
100852
105715
105178
103836
102433
104995
104094
104465
100048
104451
106025
100101
101031
102480
103557
103174
102804
103736
106039
98282
103193
102839
100678
105178
101217
97611
99768
96712
99541
105842
97773
96679
104275
105366
104459
103352
105901
99412
97434
102298
104283
104218
102473
100705
98993
100318
96541
105133
99953
101393
105902
99052
104826
104197
105358
105886
105180
106046
104819
102308
96810
102658
105714
105900
99768
103737
100437
103013
101007
99207
103555
97252
101007
102833
97972
103557
101032
104456
102115
99188
105183
102660
101217
105897
99418
102804
95989
104997
102657
100041
105866
103194
99349
99775
100134
101526
102038
101210
102120
98152
102242
101935
104277
104802
105822
100627
102293
100671
105902
104437
105359
104982
103741
105175
105713
103377
101394
100321
98510
105179
102123
100313
105537
100770
100314
102295
98514
102215
103200
105656
105534
103014
105532
99960
102108
106026
103737
103014
101936
103363
100671
103017
98333
97074
105880
101037
103384
98513
98507
101209
100823
103872
99231
104817
103736
103019
104101
97973
96892
104995
105176
98332
102475
105718
105721
100857
105462
99596
99947
102451
103877
103555
99952
101752
105540
105717
101378
102250
101035
104812
106015
105899
105168
104399
101579
97612
102835
104006
101572
99602
102476
106024
100503
103015
104999
103006
96879
105177
105176
104085
103376
98875
99595
103375
104272
105535
98150
99778
105893
103193
105170
102613
104616
105179
106031
101569
104992
103197
98870
103912
104999
102650
101037
97974
104281
103558
100675
104448
105711
101679
102837
100637
102659
100672
101941
101936
102477
105357
104822
99236
105361
105539
104089
99957
102113
104276
102657
105643
100315
103036
96717
103366
104640
101575
99772
104639
101719
98694
104453
106042
102655
102474
104642
104638
104096
96534
103383
99230
97070
99948
100675
97793
104089
105177
104635
101187
101392
102650
100314
96845
104988
97429
103734
97974
104456
104623
104769
97068
100674
99415
103199
100315
101758
97797
104086
102115
103372
96175
100267
102400
101932
104083
100854
100852
99586
102652
103190
105534
102841
101761
105359
104458
102116
97972
101220
102474
105192
100148
99958
101754
105118
105002
100132
100851
102116
100851
103740
104774
105001
102472
104460
104618
103373
105526
100148
101392
104620
101031
105730
104814
99199
102297
102294
99954
105980
104459
105721
101396
98649
104638
101038
101708
104457
97422
101399
105362
104095
103371
104457
105358
103018
102471
103171
102827
104640
102296
105169
103506
97520
103013
104976
101560
102479
104276
98538
100142
104989
97792
97393
103190
102112
105897
101395
102823
102801
105121
103853
99592
97976
104559
95996
101573
97718
103682
99947
103494
104098
99414
103200
103014
100852
104168
103193
103020
103381
99375
104820
101756
104272
105717
96001
103916
102654
104097
104277
104276
104631
96885
96717
105718
103377
100849
102477
105821
99959
105174
105539
102481
98655
98335
105180
96888
102284
98693
98139
104814
102475
99954
102833
103917
98601
105540
101935
101405
104467
103014
104638
101751
102113
101035
103910
104818
104104
102477
102826
101572
104997
104767
105130
103197
105004
101034
105356
99414
100851
100497
102296
103695
101573
