l2_rqsts.code_rd_miss
4103
4467
4480
4449
4409
4314
4304
4099
4184
4479
4389
4459
4244
4244
4488
4331
4206
4424
4371
4404
4413
4459
4347
4454
4489
4469
4479
4345
4199
4104
4484
4397
4389
4109
4321
4189
4314
4274
4150
4504
4459
4134
4374
4119
4454
4377
4169
4505
4494
4301
