uops_retired.stall_cycles
1539087
1547993
1565854
1459270
1531145
1523174
1490326
1446632
1517097
1544599
1446338
1551694
1423538
1514239
1537899
1497819
1558526
1568531
1463498
1516117
1450178
1521582
1530050
1554779
1541785
1514501
1445624
1447932
1497527
1527492
1504218
1471247
1487105
1516994
1511722
1491985
1496851
1511138
1525348
1471962
1476782
1431639
1447537
1453322
1543014
1548386
1479469
1553879
1524830
1457927
1552826
1527591
1542580
1430784
1471663
1449208
1553496
1452005
1493044
1566748
1563726
1498406
1492884
1533488
1549437
1514457
1518737
1501674
1528005
1526463
1484037
1467235
1453810
1456825
1535292
1527912
1489261
1471287
1563059
1504403
1474588
1498019
1447523
1562155
1476789
1515863
1559469
1511349
1458490
1453980
1523485
1431147
1512374
1511973
1558799
1494771
1456349
1474852
1432141
1432151
1453252
1536648
1476592
1515811
1554731
1548941
1434287
1528031
1505540
1494950
1473357
1450988
1519161
1518267
1506713
1561786
1519882
1566445
1495916
1465439
1535696
1496383
1421896
1458780
1541567
1445077
1520924
1546333
1472423
1503235
1565519
1508291
1479926
1460355
1561968
1439074
1519124
1468618
1436472
1538001
1516804
1488049
1521164
1450459
1450378
1443678
1500828
1567211
1542105
1533276
1539737
1483355
1478189
1532720
1535049
1548612
1515608
1491852
1466884
1460666
1486513
1452094
1504404
1564615
1438978
1464909
1489441
1430108
1504315
1493380
1484667
1433837
1518501
1531977
1551238
1432039
1550299
1540705
1564448
1454403
1503640
1490486
1499274
1425202
1467728
1434433
1424593
1451202
1446875
1544748
1538444
1544860
1532666
1562039
1522088
1486773
1473336
1511645
1534355
1465781
1528035
1518001
1526540
1512012
1545942
1420176
1565073
1544594
1565889
1450019
1534774
1453497
1471448
1433565
1494219
1558542
1565298
1539094
1532641
1550904
1428576
1533261
1529033
1491706
1526059
1551135
1467832
1536604
1511099
1454793
1450139
1501737
1544551
1477706
1541108
1496286
1423261
1446219
1470697
1482288
1483654
1462463
1461710
1540797
1499360
1533604
1531951
1549470
1465661
1486143
1486800
1504227
1430532
1443096
1440338
1463322
1538700
1506409
1450707
1473025
1525711
1525174
1523735
1465247
1504380
1430008
1485010
1516660
1547819
