mem_inst_retired.all_loads,mem_inst_retired.all_stores,mem_inst_retired.any,mem_inst_retired.lock_loads,mem_inst_retired.split_loads,mem_inst_retired.split_stores,mem_inst_retired.stlb_miss_loads,mem_inst_retired.stlb_miss_stores,mem_load_completed.l1_miss_any,mem_load_l3_hit_retired.xsnp_fwd,mem_load_l3_hit_retired.xsnp_miss,mem_load_l3_hit_retired.xsnp_no_fwd,mem_load_l3_hit_retired.xsnp_none,mem_load_l3_miss_retired.local_dram,mem_load_l3_miss_retired.remote_dram,mem_load_l3_miss_retired.remote_fwd,mem_load_l3_miss_retired.remote_hitm,mem_load_l3_miss_retired.remote_pmm,mem_load_misc_retired.uc,mem_load_retired.fb_hit,mem_load_retired.l1_hit,mem_load_retired.l1_miss,mem_load_retired.l2_hit,mem_load_retired.l2_miss,mem_load_retired.l3_hit,mem_load_retired.l3_miss,mem_load_retired.local_pmm,mem_store_retired.l2_hit,mem_uop_retired.any,longest_lat_cache.miss
8105617,4300688,12107298,130270,67,4475,30,7,235598,157,0,195,202,412,0,0,0,0,0,59852,7535173,166383,165133,901,277,466,0,79633,12791983,291160
7405473,4279783,12226338,91590,9615,11628,913,262,225767,22,0,7,82,248,0,0,0,0,0,47984,8563327,125848,118727,488,202,255,0,55819,12031441,235586
132397,71127,178254,951,52,67,472,7,26866,52,0,60,82,0,0,0,0,0,0,15218,1879487,23689,21420,863,1891,593,0,454,382725,2986
132484,69149,180803,1055,60,60,330,0,29846,225,0,240,5939,0,0,0,0,0,0,14182,259701,14994,13692,360,0,0,0,253,209515,19
129788,69800,184334,971,60,52,0,7,33477,75,0,0,1786,0,0,0,0,0,0,10781,94301,15256,15369,15,7,0,0,342,204799,14
710472,352443,1751489,33051,3403,435,802,44,189866,187,0,97,30,0,0,0,0,0,0,67255,2105579,110840,111282,187,44,0,0,11185,2130850,114
4959479,2802294,8123133,96383,1612,1757,211,15,245938,0,0,7,1577,369,0,0,0,0,0,53035,3008456,100274,113289,434,2201,0,0,43420,7038333,168081
2761599,1264169,4502061,47235,52,2264,82,0,155488,308,0,0,104,0,0,0,0,0,0,86271,4117080,115652,92178,3596,2750,59,0,5449,4514979,163730
2224286,883274,3075465,34390,128,3119,134,14,149058,240,22,420,472,7,0,0,0,0,0,79461,3938127,160380,128307,2512,1331,90,0,5219,4826426,89
3520149,1387924,3879666,30127,127,1244,641,7,378118,203,7,97,3530,89,0,0,0,0,0,24000,1632272,96363,133977,4632,3971,82,0,4111,5827584,129
3466136,1531016,5211657,70059,59,1244,1008,30,365622,142,0,240,3189,37,0,0,0,0,0,45968,2728563,51377,38966,3057,4027,135,0,31842,6146010,130353
4840928,2020103,6352402,86155,60,2800,29,0,95710,128,0,52,4294,112,0,0,0,0,0,46083,3933165,110287,98055,464,134,22,0,41933,7490287,163520
3047556,1580477,5144538,47015,60,1892,30,0,174458,165,0,171,135,37,0,0,0,0,0,68321,3521666,94748,95620,5406,2916,0,0,40123,4711165,326346
2305506,905900,3059416,34232,128,3064,135,7,148570,218,0,293,262,14,0,0,0,0,0,84548,4898186,156845,117122,2505,1397,30,0,4980,4977639,39
700363,298684,928575,3340,60,60,7,0,28906,382,0,405,4759,0,0,0,0,0,0,10991,121819,15016,14595,300,97,0,0,1064,1275445,4
1820086,516671,2588403,47717,15526,765,711,52,168781,150,0,37,4481,1417,0,0,0,0,0,73750,3504151,130004,176812,25473,10837,10030,0,70946,13200266,51391
6194914,3503490,10413872,150872,52887,48497,1002,1131,254683,1837,0,268,9132,236,0,0,0,0,0,137119,11495208,77268,29601,6050,5189,328,0,13896,8576788,2730
9439751,5145845,14320270,138551,19883,6575,7,0,132627,315,0,398,171,0,0,0,0,0,0,41895,10321176,101248,96205,742,0,0,0,19545,15375170,135
6482392,3896207,11476290,250914,3649,3310,906,130,307718,1113,0,444,7074,452,0,0,0,0,0,136528,13848718,180124,165755,2326,860,75,0,15721,11257814,710
12447548,6912494,21523332,447148,8897,6396,308,15,392382,7268,0,2277,6319,157,7,0,0,0,0,76064,4755639,121272,158916,8351,5201,1013,0,8492,22103841,5509
3185137,989172,2560058,12670,180,976,90,0,145244,165,0,112,3324,52,0,0,0,0,0,64737,3453375,110355,128343,3190,2184,344,0,3092,6766490,2459
13435682,7367836,22053734,412250,9123,7632,307,7,684990,28023,0,7624,1493,14,0,0,0,0,0,287012,12849768,381982,351901,34234,1292,218,0,19758,19799027,23567
13672629,7576182,20462802,228212,21154,16365,30,0,1380530,75368,29,12906,464,0,0,0,0,0,0,444537,13158009,634434,556968,77428,496,0,0,27380,22053163,755
4819784,2614859,7269601,71899,10219,3481,0,0,247172,375,0,165,0,0,0,0,0,0,0,75775,4661072,150501,151786,233,7,0,0,22076,7951472,30
4771431,2605320,8065253,93990,10117,3438,22,0,245515,0,0,0,0,0,0,0,0,0,0,80306,4658618,152871,150870,480,0,0,0,23367,7854434,4
5935924,3136052,8869543,93661,10094,3422,0,0,222081,187,7,30,0,0,0,0,0,0,0,75490,4643564,152173,151653,495,37,0,0,21220,8904843,0
4793173,2608303,7233943,71566,10200,3460,0,0,241063,22,0,37,22,0,0,0,0,0,0,83168,4645427,160393,160689,89,0,0,0,22756,8877678,5
