mem_inst_retired.all_loads,mem_inst_retired.all_stores,mem_inst_retired.any,mem_inst_retired.lock_loads,mem_inst_retired.split_loads,mem_inst_retired.split_stores,mem_inst_retired.stlb_miss_loads,mem_inst_retired.stlb_miss_stores,mem_load_completed.l1_miss_any,mem_load_l3_hit_retired.xsnp_fwd,mem_load_l3_hit_retired.xsnp_miss,mem_load_l3_hit_retired.xsnp_no_fwd,mem_load_l3_hit_retired.xsnp_none,mem_load_l3_miss_retired.local_dram,mem_load_l3_miss_retired.remote_dram,mem_load_l3_miss_retired.remote_fwd,mem_load_l3_miss_retired.remote_hitm,mem_load_l3_miss_retired.remote_pmm,mem_load_misc_retired.uc,mem_load_retired.fb_hit,mem_load_retired.l1_hit,mem_load_retired.l1_miss,mem_load_retired.l2_hit,mem_load_retired.l2_miss,mem_load_retired.l3_hit,mem_load_retired.l3_miss,mem_load_retired.local_pmm,mem_store_retired.l2_hit,mem_uop_retired.any,longest_lat_cache.miss
7602181,4052958,11417996,109431,67,4620,127,7,268027,22,15,82,323,323,0,0,0,0,0,79375,7420667,181404,179868,1162,382,450,0,83178,12769103,291739
7373283,3895676,12069093,118979,11546,11832,487,7,218859,218,0,67,225,292,0,0,0,0,0,74781,7870064,123816,113995,660,322,97,0,41774,9682282,191870
135091,70292,195218,8480,60,75,427,0,27012,165,0,225,37,0,0,0,0,0,0,10630,968040,18198,17680,6028,3588,743,0,578,1233713,149
131776,70588,195343,1065,60,60,270,0,28343,0,0,0,3806,0,0,0,0,0,0,16105,979437,14912,13579,360,67,0,0,285,209237,44
128267,70902,196999,1140,60,60,0,0,27164,150,0,202,3814,0,0,0,0,0,0,11074,96452,15308,14910,315,37,0,0,285,201965,39
3397504,1612462,4464689,40043,2898,142,764,82,196276,232,0,195,7,0,0,0,0,0,0,69634,2115187,110940,110383,668,75,0,0,12997,6799740,4171
4243017,2285723,7897622,91853,1613,82,120,15,225459,67,0,15,3543,332,0,0,0,0,0,46641,3262890,114567,122526,405,202,7,0,42127,4833862,328435
2569635,1252518,4453053,45155,59,60,142,0,178228,157,7,224,329,22,0,0,0,0,0,90325,2853733,103388,97374,3391,5115,22,0,4854,4759135,163830
2871936,1188683,3937172,39862,119,52,179,7,149706,22,0,22,389,0,0,0,0,0,0,95647,4690032,155623,120963,2257,1505,60,0,6808,5640234,367
3087265,1220857,3407914,28777,202,60,593,15,259938,225,0,0,3291,30,0,0,0,0,0,28122,2305392,136993,169155,5080,2877,142,0,4567,5520624,353
3561856,1532036,4909626,42004,59,82,639,45,458465,158,0,187,2337,120,0,0,0,0,0,41165,1687967,41978,56150,4958,5107,135,0,4078,6084959,318
4734940,2226844,6891970,112053,67,82,374,0,185691,0,0,22,4452,127,0,0,0,0,0,57995,3933742,93347,66183,851,2068,67,0,81473,8108385,326991
3224205,1324515,4374909,42687,60,60,52,0,154819,164,0,180,3416,67,0,0,0,0,0,48392,3132058,112272,123233,3029,2690,0,0,42176,4511854,203424
2138666,1094600,4462179,46902,44,45,82,0,171655,157,0,194,112,0,0,0,0,0,0,84294,4478429,109132,90091,3300,653,7,0,3654,3211860,259610
154001,82545,228725,1533,60,60,0,0,27877,0,0,7,90,0,0,0,0,0,0,11315,123494,15578,14836,518,22,0,0,427,250124,14
12022567,3231377,1923536,22716,10278,465,769,15,173263,172,0,165,5331,1394,0,0,0,0,0,75905,2074762,132548,124263,7811,9913,9804,0,119915,34769245,128589
5250578,3268930,9671022,102144,13370,29327,1258,1717,440734,1672,13,964,8973,2995,0,0,0,0,0,93824,13863427,141694,98593,8833,11461,300,0,5489,8903511,4972
9651763,5266839,14692237,142472,20481,6713,14,0,143937,150,0,225,165,0,0,0,0,0,0,46653,11324274,91927,103304,2080,1666,29,0,18696,15709095,105
9874193,4358892,10510906,151256,8241,2013,816,97,439070,548,0,547,9882,889,20,0,0,0,0,109010,9720603,216412,210718,2583,138,37,0,20539,18745362,3839
17771324,7689951,18214296,348163,9964,2116,946,52,541664,3794,22,2440,5571,360,0,0,0,0,0,72872,7922168,96799,81400,4477,2741,2777,0,9829,22257355,10769
2838485,1497844,4470562,73213,225,127,165,0,110026,0,0,97,2870,52,0,0,0,0,0,72349,8059149,108650,96558,13853,9272,4903,0,2745,5121187,2562
14012719,6695333,20448854,418184,9125,7246,187,0,621801,17895,45,4001,1378,135,7,0,0,0,0,392270,10389972,498816,411193,39526,539,344,0,19408,20453375,23631
13677212,7550736,20764674,238123,18907,14584,0,0,1338857,72763,22,11911,352,0,0,0,0,0,0,427398,12423492,521147,473548,66730,587,14,0,26472,22122445,1162
4787572,2614719,7266690,71825,10240,3460,0,0,268109,150,0,97,0,0,0,0,0,0,0,100634,4667965,158771,159072,320,52,0,0,20803,7865996,20
4809582,2622854,7280127,72087,10259,3480,0,0,267708,112,0,240,22,0,0,0,0,0,0,96882,4667872,157617,159894,290,52,0,0,21319,7911157,5
