l2_lines_out.non_silent
66799
62439
63681
66805
64355
61745
61962
63976
63205
62087
66633
66738
67569
62203
65592
63325
62078
63422
67669
64689
62120
65288
63573
61790
62985
62941
64745
63088
62460
65514
61963
64067
63128
61756
65086
62796
61894
63015
62674
65082
66420
63478
61846
62625
66135
64552
62194
63255
64825
63644
61800
63304
61854
66245
63949
62967
63670
62681
62515
62477
63765
65863
66217
62425
62132
66464
63588
63897
63062
62844
64236
64724
62881
63547
62477
63262
63275
64112
62081
62077
64607
63267
63599
63524
63345
62455
65542
63007
64800
61869
63975
62565
67064
62790
64440
64785
61850
66550
63645
62848
64327
63207
62421
62407
61714
66959
65889
65179
63734
66176
62102
67738
62697
64774
65038
62421
62420
63783
64091
63689
64941
64755
62832
62812
65512
63046
65954
62355
67697
63007
62098
65549
67953
62261
65291
66344
61837
65947
65733
66338
63400
65359
64330
63843
66642
64783
66517
62899
64885
63975
64799
66694
63440
63941
65968
65699
65044
62440
65896
64765
64321
63539
62425
64959
61871
67045
63976
62040
64644
64415
62853
64828
63166
66680
65542
66702
67175
63817
67990
62560
65548
65050
64376
62182
66759
62665
66315
65437
64283
62983
62811
63300
66226
65500
63042
64357
64107
64274
65525
62979
62681
62982
64249
64637
67258
67165
65010
64079
66275
66292
67694
62190
67180
67443
68089
62731
61705
64225
67196
61910
64800
62813
67025
66861
65093
61869
66473
61883
63563
62326
65710
63845
61920
64152
62051
62201
62159
62864
62295
62154
65162
61844
61849
62646
63810
63798
63576
63159
65518
64067
61741
64025
62373
61977
64063
62560
61699
64851
64874
64085
67277
64314
66413
65218
62636
68110
64710
64495
68030
63922
62385
62634
67505
64541
66802
61975
67998
62945
64924
64934
63718
67338
65648
64437
67676
63110
62367
63146
64246
64417
64597
64667
64884
61760
62719
63920
63147
66997
65110
61841
61950
61747
62784
61964
61810
63987
65034
63371
63112
63330
66831
63941
62111
62248
64199
64480
62393
64284
64946
63044
61725
65721
62914
61823
62407
61802
62707
63091
65768
63409
63615
61760
66610
62663
66598
63521
62323
63089
63308
63904
64954
61853
64898
63734
62372
66591
64467
67418
62791
61887
63131
63404
61873
63735
62106
62641
64366
62584
66223
62899
63521
64012
63675
64314
64428
65657
62466
63423
65116
62179
65779
66152
64304
62081
65143
63989
61831
65131
64575
66017
64531
65812
65033
64207
63014
64483
65799
66387
62713
65156
65465
62958
63488
62836
63183
62866
63863
65562
61932
63166
62979
64859
64583
66275
66880
62884
62021
61653
62937
66135
63397
64720
64917
66702
63328
62890
67591
61780
61796
63878
62274
63255
65734
62638
64179
62151
61794
63864
63123
62354
63746
64030
62191
62216
61704
62573
66821
63112
61743
66857
63130
64323
62069
66965
64373
61686
65029
63009
62980
62233
62467
62801
63479
63069
62009
64872
62949
62665
61853
63823
64289
64717
63219
62423
62126
64382
66244
65704
65156
63323
62066
63922
65432
65514
64012
66648
63706
63601
62302
64190
62965
67012
63513
63664
65014
64074
61747
65105
62848
63504
65738
62747
61842
66339
66130
62933
65119
62455
64956
65712
61671
65615
67069
61756
65525
66128
63722
63377
68040
67001
61979
65265
64180
62543
64575
61685
66121
62277
62307
65480
62283
61637
64510
63316
67283
65414
62340
67307
62418
65280
65863
63580
64777
61769
64167
64668
63574
64426
63410
62143
62761
64671
64869
61918
63941
64563
65979
64927
62476
67566
67625
65579
65546
65704
61837
64145
62158
62220
62182
62300
62474
64891
64052
67183
67534
62388
62682
63128
66458
63684
61713
64243
66795
61798
65837
62140
64617
62794
62474
63957
63475
67058
65751
67416
61833
62345
62142
63824
63808
62052
63783
63431
63093
64085
63261
68101
63093
63083
63334
62385
65617
63376
62296
62736
63691
65179
65801
64192
63687
64899
65262
63840
63430
64590
63700
64553
66122
66232
61631
67344
64035
63084
64849
66594
63707
63750
62388
67082
67085
67497
65915
67284
66651
64504
61781
64629
63265
64348
66962
64951
64258
66152
64629
63872
61843
62153
65489
66296
66867
65212
67068
63604
66413
66087
67355
68027
61899
63183
63874
63598
65012
66070
67051
68029
62694
63581
67320
63363
67719
62798
63750
62398
65618
66964
66955
66620
62787
64045
67602
65294
63409
62885
65494
61847
66268
66513
67204
66594
63519
62719
63930
62182
61963
65078
64255
67253
63981
63584
63547
66959
66916
63784
64792
62133
62064
67973
67274
63166
63865
65771
61683
64498
68048
65065
66133
61960
63866
65051
61863
61716
66555
62743
62633
62792
66349
65308
63051
63315
64404
65485
63891
62966
62195
62203
64336
64679
63930
65800
65190
66321
62978
63272
65538
66539
64134
63991
63697
64666
63396
67982
66433
64474
67559
62084
61639
67571
66898
63966
67207
64204
66780
66478
67942
63981
67576
64134
62222
62779
67081
66408
66312
63987
66531
65902
62518
67596
65624
66246
67291
67803
64026
65478
62746
64296
66500
62341
66704
62986
62659
64901
68094
64044
62929
63098
63741
63167
65643
62800
66988
66994
67422
64961
62652
65186
65030
64818
63426
65723
66391
67785
65161
63227
66756
67653
61686
67474
65016
65017
63331
61801
67302
63132
63252
65853
64810
62419
61854
63162
66587
65736
63426
67143
63287
66048
61662
63233
62049
65480
65312
62870
63481
63520
64920
65435
64864
66929
64923
65118
67158
64719
63570
65249
63528
66726
66365
61874
67682
61762
62400
65474
63576
62032
63370
61980
64118
66833
63577
65240
64236
64767
64777
63935
62629
65601
63467
64600
66739
62200
62211
64295
62010
63864
66904
65177
65201
67247
63027
63666
63008
62399
62360
64191
63184
64622
62232
62447
61825
66849
62399
63667
62236
63137
62988
65336
61721
62241
65036
66173
65281
64902
66863
64535
62747
64043
61638
62958
64434
62392
64589
62165
65557
62275
62625
61666
62272
62833
64409
62521
65513
64363
64537
66796
65693
62634
63990
62161
63992
66659
65726
64343
62966
61803
67403
66204
63068
62495
62091
64167
62702
62889
65673
62475
64075
61780
62233
62151
62751
62295
63462
64810
62763
63583
61750
63100
63953
65530
62851
65882
64403
64431
64951
65718
63516
62114
64282
62164
63093
64288
62675
63130
68059
63340
62975
62954
61879
63097
63728
64677
65328
63820
64408
67809
66825
65500
66999
63879
64803
64154
63778
67031
64178
62059
62271
63566
61739
64378
65994
62192
62465
62174
62759
63837
63652
66578
64757
61626
62149
63214
61664
62436
62361
64884
62326
63964
62940
61750
62954
62251
63768
63439
62195
62237
61825
67199
62701
64824
64694
63326
62878
61784
62276
64220
61628
62060
67505
61947
61660
63711
62926
63206
64542
63626
62849
62251
