br_inst_retired.near_return
28890
27929
30447
28480
28637
28977
29720
27880
30346
29635
28245
28432
29537
29688
30098
30499
28318
27764
28955
28184
29946
28346
29510
27949
30420
28047
29538
29788
30416
28064
28585
28539
27760
30505
28036
30356
28470
28422
28580
29691
28409
28248
28779
28173
29344
28833
27916
28816
28672
30280
30119
29693
28624
30427
30178
29206
28275
28137
29201
29505
29244
29082
28482
29745
29391
30105
28825
29266
29883
28058
30012
29568
27981
30545
28422
27813
29175
29090
28454
29304
28650
29964
28164
28454
29253
28598
27864
27751
28464
29246
30621
29058
