inst_retired.macro_fused
49054
50516
47765
50019
48770
48073
49327
48239
47844
48214
48408
49889
48184
50068
50088
50577
48997
50100
49641
48900
50386
47813
50339
48546
49936
48659
49594
49760
50147
49701
48340
49498
50349
50889
48679
48312
48471
50644
49799
48633
48397
50709
50816
48836
47845
47817
49714
49626
48713
48657
48639
49800
46104
48423
49023
48680
48294
49691
49787
50528
47837
50528
48906
50684
49802
50615
49548
50213
48427
50141
49448
50529
49594
49761
49531
49173
49920
47885
48884
48426
48335
48147
50616
49596
47926
47951
49066
48184
49560
50262
49500
50536
48348
49593
50241
47932
49800
47161
48275
50789
49674
50294
48854
47885
50187
47644
47358
48589
50167
48720
50288
47872
49567
48125
47312
48772
49393
49003
47665
46555
49127
50223
48091
48913
50417
49640
47860
50227
47163
49941
48384
49161
48681
49674
47159
50741
49513
50373
48954
50730
48907
48733
49733
48879
50348
47810
50549
48802
50286
46437
47881
48145
49231
48684
50061
48726
48380
48589
49526
49508
49683
48694
50108
48598
49156
49935
50898
49449
49474
48786
50837
49840
48660
49593
48993
48361
48820
49926
50580
48780
50594
47958
50846
48118
49500
50208
49178
49514
47157
50735
49200
50762
49140
46758
48316
48348
47004
48913
48473
50302
47911
49333
49513
48972
49701
49634
48640
48839
49901
49347
48505
50481
49817
49122
47785
50342
50794
48819
49381
48886
49438
50523
50071
50647
48298
48399
48665
47384
49507
48934
49407
48645
48913
50020
48791
47833
50702
49073
46960
50648
50748
50548
48285
48159
48826
49593
48916
47713
49608
49894
49808
47579
48913
47585
47646
48969
47392
47646
48106
47733
50454
48340
49062
47881
50322
46780
49254
47826
49047
48159
49085
50355
49192
48359
49901
46698
47775
49928
47726
48477
47972
46928
50181
48567
47919
49059
47760
48433
49715
50663
47383
50414
47784
47558
48213
47698
47771
46972
50262
48667
48387
48399
47901
47832
49594
47145
49375
47699
47324
47777
47262
48119
47344
48672
48775
47559
46837
48400
46501
47316
49335
49963
48953
47176
49790
47731
49526
46904
50375
48686
50349
47685
48298
47498
49081
48693
48446
49926
47295
49060
49858
49061
50154
47781
48895
47198
50221
48239
47324
48635
50550
47172
48240
49073
46137
47352
49061
48406
47457
48440
47532
48092
48393
48427
47628
47727
48786
48667
48967
47418
48119
49505
48959
49275
48271
49583
47386
47892
46497
47011
50116
50831
50882
47237
49127
48371
46276
48039
46870
47926
47558
46203
49073
49253
49495
49982
49653
49468
49408
48160
49105
50714
50429
49587
48600
50110
49520
48106
48492
48585
46675
46446
47886
49587
48754
48819
49588
48437
50149
49634
50335
46824
47845
50221
47438
50695
47686
50175
47806
48576
47838
49160
47627
48538
47812
48889
48462
50213
47886
49333
50022
48480
48466
47740
49418
48506
50869
47826
49515
47905
47579
49181
47231
47584
50029
46696
47710
47916
47668
47426
49861
48770
50063
49066
48429
49768
48673
48765
47872
50286
49795
47845
50836
47052
49333
50895
48552
48418
47967
49839
49160
46993
47178
50196
48672
49601
48413
50336
49601
49779
47833
50614
48577
47845
50452
47212
47630
48492
49094
47331
50422
47675
48547
48096
49536
48854
50555
48339
50317
47851
49589
47198
48372
48589
49867
47711
49374
