exe_activity.exe_bound_0_ports
55206
53017
55600
54328
54605
55751
57461
54627
57026
55487
56266
54542
52780
55358
56507
57333
56185
55929
56236
56086
56061
58134
55464
58126
55558
57266
55808
55464
55146
55432
55383
54412
55711
55496
55326
55470
54780
55515
57417
56144
57437
55095
54596
55740
54598
54666
55138
54825
57730
54885
54432
56040
54279
55996
55431
56672
55290
54298
54701
55000
57633
54533
54546
55413
55598
55552
55553
55482
54689
54712
55974
56074
55717
57902
57098
55058
57639
57620
56988
55170
57504
55256
56799
55034
54539
54389
57977
54934
55102
57482
54676
54749
55539
54885
54351
55285
54621
55755
54662
56363
57835
55620
57941
57657
54681
55970
55154
56314
55801
57823
54981
55125
55483
54795
56303
54815
55537
55402
55732
55891
56099
54749
57352
54212
58098
55035
55446
54293
55109
57850
56107
54951
55363
55012
57893
54059
54344
57926
56503
57810
56156
57632
54606
55523
55221
55557
54978
54967
53871
55569
57375
55959
56664
55844
55702
57860
55837
55537
56128
56363
56396
54742
55408
54721
54877
55845
57988
55694
53946
55252
54870
54892
54796
54156
54673
56190
57809
56791
57724
57941
57125
56824
54134
56058
55981
58104
53953
55282
55138
53555
54263
54825
54554
56429
54172
56276
53506
54688
54845
53661
55806
52788
55913
57173
54660
56992
54524
54082
55145
53420
54842
54555
54696
56890
57775
55591
55168
56586
53811
54284
53090
53201
56631
53412
58093
57086
53923
57085
56435
53455
53975
53917
54630
54222
57452
55238
54465
57799
54868
53792
54419
54058
55875
54260
54154
55253
54284
53713
54096
58036
55239
57563
54764
55715
57802
57797
53944
57234
55198
56716
55332
54066
57362
54453
58032
54665
55024
54785
55755
55354
55761
55731
57492
55383
56034
55949
57676
55424
54523
57271
56641
55394
54735
54344
57858
57812
54545
55229
57379
54750
56139
55728
56108
55245
55243
53968
57830
54667
55976
55808
57079
54141
54884
54671
57437
57707
54059
56881
57690
55290
54427
55208
54531
57787
55710
57613
55041
58105
54698
53473
54245
57783
55066
57991
57946
55312
55659
54539
57228
54692
54306
57862
55564
55478
54823
55950
55694
55460
54210
55793
54149
55331
55249
55401
55305
56144
55740
54847
56419
56272
56265
56244
56655
53610
56112
55920
55252
57023
55725
53391
54280
56686
54553
57272
52995
53024
54643
57511
58097
55956
55576
56716
57361
55021
57647
54931
54928
55567
54441
57745
54270
55018
55221
57414
58082
55653
54959
55109
53992
55544
55206
57383
57182
55725
54319
58105
55748
55491
54809
55206
57694
55095
54771
57671
54456
57520
54713
54704
56116
57985
54616
55074
57189
55465
56242
54840
54877
57224
54913
55163
56567
56255
54186
56994
55268
54270
55346
56641
55739
57585
55088
54435
57766
54335
57500
55282
57579
53937
58122
54103
57264
56745
55341
54514
55448
54741
54508
55446
57563
55178
53931
54996
56303
56679
55594
56065
56280
56992
54585
56919
56926
55087
54765
55469
57459
54787
55899
54610
55537
58123
54343
54911
55259
53448
57438
54238
55086
55373
57603
54685
57925
55057
55403
54854
56671
54696
55101
55237
55822
54663
57408
56491
55148
57534
54553
55558
54794
55403
58090
55492
55247
54929
56101
56100
55389
55463
56761
55794
55104
57573
55562
54463
55535
55897
55408
57139
55837
55026
53740
55726
55830
54107
53967
55529
55019
57838
53630
55004
53388
54475
55018
53424
53992
54951
55096
55041
57616
53991
57076
55402
55115
57766
54649
