cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any,br_misp_retired.all_branches
48191885,35997078,77216473,45639616,29320056,139703679,59983173,62179722,7312351,8008496,58900217,180654429,294140
104400,57110,151192,87533,56637,0,0,0,21080,23542,122803,299996,230
1703440,204247,2464654,1826113,378115,2722517,0,0,76498,83051,1614183,3063545,759
40757672,99488324,58962432,46301033,8273727,67641877,14633847,17555335,11763635,12074777,37452542,57596065,44081
37180803,27367189,50405447,32874192,9777509,70535444,11562970,12684763,2954425,4281667,29420954,85266333,129965
23309650,2355551,34249181,25725735,6154223,50297138,11876201,13123413,561697,969476,18576344,35922179,22844
22718413,2040674,33081388,24977496,5791056,47409976,10995096,12379949,300088,707893,17823228,34611812,18120
22601649,1976668,32951366,24875404,5859721,46758409,11147217,12542677,265309,654574,18084345,35715912,17990
23240813,2027273,33263531,25121757,5747598,46800884,10935799,12557331,309358,684324,18232370,37129923,19941
22984772,2019787,33241884,25045034,5847277,47119628,11072889,12345239,293044,677771,17858238,36434452,19176
22813898,2002663,33159283,24934778,5888597,46634486,11195695,12595706,290283,666058,17718130,35191622,18652
22539240,1927401,32887334,24859937,5877813,46473114,11141095,12523348,251224,627598,18036090,35797404,16246
22848814,2054450,32859489,24814184,5641792,46102586,10952952,12598739,293759,684131,18065364,36521243,16736
22970117,1915711,33252279,25034252,5932054,46014982,11047903,12226782,224023,600582,18025065,36618889,17336
22882404,1916950,33308210,24945137,6013100,46436070,11417572,12852843,235312,601533,17520355,36027227,17566
22691564,1920549,32860774,24895967,5919128,46535355,11247777,12667450,245183,613178,18020996,35983894,17915
22985075,1975696,33050436,24882172,5713359,46013007,11070188,12664715,239189,615173,18020890,36769989,18124
22854861,1740144,33055036,24776783,5823997,45710049,10887720,12514043,174120,527688,18010849,36848615,17406
22918270,1756179,33112207,24881132,5942791,46105496,11277393,12477331,151489,519508,17762438,36059884,17577
23023827,1890407,33466211,24964809,6027542,46406610,11613033,13036654,205253,571754,18268822,36118102,18575
22751857,1776453,32700455,24505976,5795134,45884244,11456200,12850177,176332,533762,18131136,37346860,16838
22890180,1759502,33109402,24787966,5945293,45663921,10854955,12268417,159671,521665,17952063,36875616,17289
22714445,1755439,32917642,24688897,5917494,45713863,11272722,12495635,146442,502480,17742310,36050624,16467
22673639,1763518,33000894,24785042,5941840,45882770,11292345,12687651,160226,523277,17743092,35364820,16631
22902718,1709472,32837918,24732975,5825103,46145953,11462279,12861595,155473,531047,18156394,36861053,20034
23047156,1755344,33270411,24917977,5926635,45768187,10890906,12314015,164980,529971,18027948,37033837,19771
22835166,1700576,33004525,24753859,5933487,45828478,11261810,12663155,132387,501020,17442732,36171868,18700
22748921,1690759,33048777,24797279,5906564,45923948,11220118,12643943,116855,489762,17511526,35466813,18127
22516515,1713111,32695471,24612865,5936663,45473453,11283642,12701760,137925,518067,17841345,36158123,16834
22883260,1696204,32913832,24713532,5750470,45108140,11166425,12767863,136239,501080,17942572,37168280,18184
22915818,1682124,33067030,24773104,6019269,45570028,11263110,12463325,129475,492794,17845653,37438318,19083
22644866,1679840,32980146,24712812,5947960,45816364,11288448,12684951,147065,498533,17427331,35409356,17581
22658044,1653285,32774946,24841639,5946005,45933434,11284329,12722411,125395,492013,17950001,36279762,18351
22910005,1693655,33144945,24784624,5723024,45452397,11119908,12749529,127093,502345,17978062,36957014,19419
22943096,1682940,33156766,24948344,5947361,45938660,11150019,12339758,144963,505298,17919616,36898796,18949
23027564,1785554,33459301,25075807,6047354,46057549,11478686,12915779,157120,529884,17550481,36318819,18957
22617862,1757671,32667582,24814741,6014640,45957579,11451225,12859534,163064,539066,18070337,36541150,18473
20679946,1328168,29375892,20846729,5288013,63713259,10063661,11502342,158294,496063,16365044,38021269,94570
904657,392095,1310894,817752,396891,2723387,342853,359132,120303,125106,912819,2162149,5158
963911,735864,1332488,871898,354205,2793902,639318,649743,135886,140648,425009,1534146,4772
361981,248091,1003381,737551,432071,2822855,818500,853944,97794,125869,820329,607859,2175
7077444,1399496,9995619,6322307,3014374,29288409,4037906,4356625,163457,380952,5230718,14851742,33785
10944897,9978653,16252110,11595896,3587048,31025668,4528372,5528409,1579164,1602343,9596600,21738326,25812
11355988,13346464,16644724,11763952,3218472,30886980,4579380,5710606,1666894,1884677,9252577,20249841,21105
10814970,9240545,16127576,11173902,3209832,30574304,4753845,5605444,1170815,1874505,9283669,18148773,17044
11287127,9680827,15857813,11642936,3109283,29526064,4652811,5983997,1600562,1883814,9587716,22506942,20855
10776359,13487985,16335809,11756187,3067103,29899657,4643861,5517634,1612825,1566106,8582575,19416375,18384
10636731,9164169,14832401,10343863,3152213,28999099,4501693,5427451,1160189,1879045,8569540,18527567,17967
11433918,13905789,16810843,12126906,3232393,31048279,4817052,5836232,1577770,1372650,9530401,20752477,18178
10717095,12857816,15622370,11116905,2927843,29316693,4339141,5715487,2160433,1921521,9075489,19292462,17641
4884200,642317,6965294,4909621,1689258,14059046,2156971,2178778,494319,626655,4537235,10580950,10159
1108101,290921,1331757,753999,497566,5092139,1063177,1116694,113287,131916,941762,1752528,5819
21620224,4317260,40110143,26149355,18969577,103676800,28079178,29619571,1247666,1971680,30750214,56367975,108751
24468826,1279155,35639244,22811911,7115879,127796775,13769695,14788836,98591,434516,18279483,46222322,190535
26873146,2033625,38895852,24001268,9462482,119465293,18252901,20000533,303924,734269,24113118,59598996,182508
20785106,2490454,30452259,17541295,10511782,66918209,17838501,20239951,418978,845597,22622983,52929319,83305
16306669,19413579,22699335,13659653,4746509,42109674,9189083,10216729,1197527,1419058,12928801,28762319,53634
13475618,4236908,18424718,10333722,6330902,34153520,11221692,11986085,892939,1070692,14561967,37808515,34396
29734418,19103934,42807463,29066673,8148987,132729342,16355830,17486710,4138958,5097919,26574544,51819737,207723
26775977,14567977,39280352,26462949,7629033,125614851,15172203,16420724,3163827,4049266,23984818,47916440,198420
14374247,1409806,20580787,13518891,3705948,77075719,7447335,8182062,13794,481034,10886268,26823380,108914
14759184,1529340,21311089,13860154,3811687,76892513,7191914,7916167,70896,526168,11132354,27318430,111921
14580502,1425432,21085198,13759351,3800682,77212905,7362295,8080869,41462,486689,10406086,26010013,112831
14257398,1373423,20830717,13828895,3798424,77710930,7383754,8107938,18566,482825,10583210,25221281,114367
14425622,1357082,20993763,13725250,3817995,77738325,7592690,8328209,22512,470426,11037752,26649234,115824
14568113,1372961,21056706,13832963,3679554,77254271,6959374,7888085,18482,472300,10840618,26648587,115413
14382656,1382363,20792740,13585855,3807061,76628018,7391572,7875085,20300,471485,10555035,26512089,107590
14419920,1409116,21088991,13844373,3935064,77547266,7596474,8326509,20361,485648,10669445,25381166,112120
14316512,1349527,20738981,13518208,3689054,76987512,7399283,8130865,15582,472273,10919488,26723111,112686
14742734,1403466,21271198,13724218,3690773,76912656,7181577,8117160,27485,479609,11104519,27405470,114600
14566415,1430167,21050088,13734211,3793260,77529341,7364542,7884314,18675,476969,10688731,26268298,115450
14385300,1387516,20983304,13720560,3813578,77301170,7397615,8128407,10162,467806,10409404,25309064,114204
14351007,1403587,20738340,13613038,3801288,76963140,7571086,8289804,21311,481135,11036790,26579999,111731
14605409,1434031,21095048,13789892,3695131,77611713,6993186,7923437,17291,485813,10914317,26787922,114860
14591144,1386555,21069957,13785035,3799084,77700101,7380614,7873823,16781,465749,10632272,25998993,116685
14382328,1422638,21228983,13818560,3916661,77425245,7570499,8299766,22805,487351,10662172,25278157,113742
16244046,4679636,23637443,15928720,4218974,84285271,8545925,9039917,562249,870210,11715868,28006367,123369
14648379,1487518,21155308,13720517,3683440,76779810,7165691,8094215,87127,524320,11082558,27165312,112788
14701457,1351383,21197739,13907137,3807921,78066017,7399740,7929158,36967,479947,10704718,26148712,117212
14464807,1435731,21170406,13906107,3809040,77714346,7396958,8124043,85175,516790,10652722,25278227,115389
14370290,1310826,20597302,13715646,3690606,77621934,7386113,8098185,23199,462146,10796967,25916362,114015
14482980,1310181,20933020,13616897,3696790,76736675,7179804,7902029,19389,449132,10834290,26769881,110659
14491959,1391154,20950225,13705240,3811539,77261513,7175749,7893708,28072,475246,10646238,26525591,114096
14605148,1339410,21287309,13869480,3916147,78009062,7568365,8293310,11590,460002,10724435,25301801,116940
14446610,1310316,20685547,13689324,3675471,77791647,7390711,8123099,10228,451458,10883375,25924138,117052
14471522,1355978,20706046,13588042,3566969,76787211,7150612,8082129,23299,474051,10819504,26581572,111127
14455338,1326469,20870262,13611656,3895893,76852899,7356984,7877918,21079,462258,11136362,27432598,108775
14380735,1308874,20813297,13560503,3798668,76906169,7369103,8088194,16589,446469,10348773,25754296,109106
14148815,1275717,20705194,13639895,3928211,77347141,7582557,8316776,14802,445689,10874389,25998709,109249
14385886,1322105,20637209,13459712,3558598,76423375,7133284,8077069,19258,467108,10858165,26575171,108281
14552612,1310433,21048189,13771526,3815447,77635193,7198793,7688351,14683,456835,10841936,26605141,112114
14753431,1348288,21322439,14021908,3802514,78776504,7367557,8107713,14845,470930,10487089,26038304,121407
14404749,1323604,21041832,13967781,3803883,78528679,7370160,8095173,22872,463139,10693816,25304175,120945
15413175,2368344,22557672,15011715,4073821,83108565,8484356,9438490,934622,1414304,13576023,29078614,119154
14551818,1477419,21001752,13720647,3802343,76675640,7181995,7686268,108876,523233,10948159,26748827,111359
14519713,1500531,20999141,13744764,3804505,76822644,7402843,8129336,121266,539186,10475266,25628225,108606
14254433,1379514,20886944,13829133,3800606,76888071,7340525,8074271,83935,497024,10603716,25234593,112141
14548843,1446696,21053887,13807895,3695163,77999282,7410200,8130425,87094,506463,10963986,26699793,117291
14790193,1449931,21309157,13985796,3696610,78167578,6981107,7899868,101788,515261,10972712,26761178,118150
14939290,1469680,21547782,14112194,3908611,78495921,7566924,8098996,90086,502547,10756321,26012200,120271
14312745,1432394,20889843,13824660,3805706,77316532,7386654,8113636,113205,522002,10958297,25277872,114843
14474059,1275488,20777286,13530484,3613279,77427271,7365061,8069158,7074,420326,10807323,26593838,114536
14603744,1287915,21030571,13776022,3676409,77512632,6942866,7870888,25058,439418,10846382,26748813,113824
14714344,1297454,21296780,13960515,3935505,78661073,7615439,8127833,17491,436500,10902351,26701412,119224
14712771,1442728,21461362,14014275,3914982,77897717,7773675,8509797,92598,500067,11185263,26034836,116222
14643513,1252878,20958200,13681919,3583031,78002841,7411650,8135702,8109,418221,10888539,26733484,116896
14663969,1275186,21157753,13883127,3816024,77844798,6972231,7690673,10013,430213,10863535,26778095,116608
14638049,1272220,21103793,13813590,3797831,77587403,7361203,8087116,20679,416618,10402183,26072655,115614
14403211,1266269,21057992,13772941,3818315,77609310,7408751,8135583,11307,413804,10616425,25322053,114898
17083181,5063065,24068944,16114139,4165426,82034933,8010264,8696215,432128,944175,12947572,30240113,131986
14540393,1436962,20997543,13770715,3789020,76878243,6976691,7687077,111016,529451,10869969,26670889,109658
14643139,1512907,21168556,13888647,3825035,77248206,7409787,8124492,169973,576808,10532193,25973109,111958
14241261,1310653,21072193,13745128,3816890,77372678,7387382,8112353,13908,440634,10680856,25364267,112786
14422802,1274488,20661012,13628718,3695356,77809297,7411698,8141698,21504,429610,10874108,26693892,114575
14640745,1273400,21147258,13762527,3691712,77660676,7145420,7861485,9371,422285,10790293,26613371,117045
14820683,1308856,21324488,13912902,3910578,77984150,7383735,8116649,27098,441903,10616067,26889680,114222
14281448,1299212,21075398,13814661,3814876,77496799,7395871,8114118,23061,441379,10589493,25350992,113668
14375590,1257496,20627935,13616846,3708917,77423165,7407083,8127931,12936,431946,10838894,26763179,111038
14402664,1265249,20769053,13557621,3681264,75874763,6962306,7896977,10215,427889,10754909,26721781,106013
14558780,1278771,21080183,13863865,3939018,77593544,7622474,8150111,14049,431430,10832631,26706269,112789
14495105,1277375,21394533,13966361,3912887,77964022,7564976,8289172,25839,435041,10607126,25352979,114422
14487022,1272748,20696815,13643136,3689315,77652958,7388720,8109048,16050,431561,10805961,26732506,114479
14650132,1285350,21170428,13865821,3698213,77607386,6979358,7907437,20590,444477,10856195,26712802,117007
14564889,1247261,20986926,13678777,3804852,77053083,7392435,7911162,14159,431458,10633655,26877368,113154
14389532,1301573,21033872,13753643,3819396,77442868,7407608,8130679,12185,436584,10421196,25317938,114180
14389443,1324168,20640386,13595972,3813590,77199245,7564452,8286226,8424,437266,11062462,26759222,111239
15079996,2716860,22763504,15381490,4177887,83631651,8105870,9124329,910112,1378094,12503926,27556010,112023
14485503,1379175,20952854,13710778,3796616,76566415,7364464,7861510,99265,491862,10654952,26563867,111083
14472098,1494281,21102666,13825813,3794278,77058718,7360012,8084362,141853,547121,10550096,25343399,113565
14333646,1511023,20724027,13776660,3802882,77238603,7383848,8100603,134962,544139,11038381,25973160,114234
14706929,1450705,21226341,13771394,3680731,76488874,7151766,8080128,111033,518619,11136814,27264570,112066
14510815,1422565,21146655,13824821,3787253,77388957,7348416,8074020,105971,509699,10517049,25303031,114085
14247781,1466989,20836487,13786209,3799654,77141113,7384612,8104125,93129,510760,10970429,25264535,112690
14657338,1552560,20964299,13721192,3578301,77199945,7400962,8114748,168883,574506,11042395,26710697,114012
14588295,1421538,21058572,13785789,3793324,77043311,6961094,7683689,90948,504805,10982462,26829241,114229
14562001,1324233,21019058,13770175,3817076,77396064,7398119,8129370,42556,449982,10458970,26043200,114654
14401739,1306374,21003950,13729180,3930948,77755989,7787575,8506708,17180,438608,11139281,26860079,113605
14443856,1297669,20701429,13566323,3575328,77069261,7186909,8135504,22155,445381,10870938,26643052,110817
14374916,1232214,20782059,13542308,3786773,76567028,6965390,7665580,15379,407863,10721506,26463273,110149
14455920,1250171,20864407,13580290,3785644,76790122,7362159,8090506,13276,414324,10363923,26055886,110837
14113580,1296762,20841897,13637920,3805954,76972754,7380983,8109464,14553,435134,10638477,25230263,110060
14614171,1304146,20842097,13692769,3693547,77541340,7385677,8303634,19221,433332,11075119,27464607,114390
14487813,1266743,20933500,13685573,3777985,77077040,7134789,7648393,11018,425201,10825412,26602658,113717
22178741,9787569,33002578,20168105,10048255,70744833,17705909,18943740,1601497,2135457,22751377,52335263,87658
22729000,7100546,33353384,18008294,13512347,49092211,23759761,24780197,1018678,1469761,27462411,67061951,47310
23462813,7189351,33622335,17647837,13271796,49111487,23781271,25168672,879727,1322692,27266409,69573856,49549
23584147,6685623,34528681,18383238,14049843,51145639,23628678,25134995,757103,1243727,27740699,70424861,49560
23543944,6652785,33963187,18058432,13649911,49785019,23612468,24939959,805203,1263446,27673045,69835242,48432
23675818,7263953,34309064,18242288,14007122,51115569,24152583,25446405,898230,1343356,27996829,70931691,48949
23202874,6878689,33492067,17879040,13682099,50651472,23608357,24395988,844649,1289180,27416566,68973184,48626
23992527,6972438,34605282,18136033,13851366,50409037,24188860,25678270,780121,1245418,28119521,72171026,49403
18580201,6044619,26281919,13811196,10398089,38702819,18052120,18912357,663277,1002441,19950149,53441793,39310
1433782,507914,1752203,937585,394436,4098381,771287,795008,154972,193637,1527455,3787440,5840
23443250,6340674,32578370,16757043,12654770,46862503,21958382,23381822,815699,1272767,26784883,71572127,49653
24293565,7413228,35006155,18455673,14118163,51370329,24598630,25798118,858662,1317741,27791864,72027495,50479
23997120,6701784,35227754,18614515,14400874,51803715,24944934,26105482,779068,1255759,28631548,72189154,49426
24102846,6185928,34676361,18264053,13852795,50640514,24275620,25761457,740616,1212511,27983665,71602759,49753
24305714,7177775,35251631,18647850,14298891,51407229,24282051,25565758,832867,1328127,28104410,72495366,49980
23989236,6978858,34938551,18495147,14096966,51018296,24342234,25676542,896335,1351549,27818302,70832141,49523
23802687,7657940,34717298,18322824,14129768,51168485,24488216,25827731,888832,1342798,28165919,71328935,48884
23950612,7523259,34622654,18302235,13916201,50532765,24020139,25497943,911249,1363666,28026489,71567431,48956
