exe_activity.exe_bound_0_ports
53349
49389
50609
50801
53318
52353
53617
53642
53103
53091
52847
49268
50570
49593
53351
53525
49844
50339
50508
50286
51009
52183
53056
53498
53427
53433
49542
52969
53622
53240
53096
53516
51365
53632
52884
52027
50522
53263
52743
51779
52850
50402
51942
51542
49718
52976
53456
52971
52733
52870
51716
49379
51178
52038
49206
53331
53311
50866
52745
50150
50218
53311
52959
52383
