frontend_retired.l1i_miss
17631
18139
17450
17745
17268
17899
18092
16713
18011
18377
16938
17203
17540
17869
17688
17479
18079
17299
16848
18141
17778
17327
17417
17899
17990
17467
18020
17749
17716
17478
17748
17658
16700
17170
17778
17207
18381
17838
17420
18349
17177
18211
17718
17596
18140
17688
17326
17174
17569
17840
17419
18138
17297
18258
18181
17986
18019
17808
17898
18017
16788
17714
17058
16939
17657
16650
16697
17002
16727
17533
16818
17119
17328
16846
16934
17777
16637
16637
17176
17420
16992
17533
16924
16813
16878
16727
17025
18169
17838
17839
18169
18313
17557
17659
17374
18280
17823
17748
18318
17808
16938
18046
16907
18048
17717
17930
17954
17840
17958
17960
17717
18365
17297
17237
17450
18019
18080
17434
18049
18065
18019
17960
18137
18018
17600
18255
18273
18318
17913
18019
17535
18156
18379
18379
18170
17258
17540
17959
18078
18365
17922
17598
18228
18079
17581
17237
18049
17387
17061
17449
16820
16729
17085
17836
17838
17116
18167
18229
18349
17148
16937
17149
17237
17510
18200
18018
17989
17657
18078
18170
17358
17778
17538
16940
18341
17477
17719
17479
17868
17657
17657
17536
16997
17435
16905
17359
18171
17597
17659
17628
18380
17027
17628
18019
17088
18320
16908
17717
17087
18139
18081
17418
17298
17600
18138
17568
17477
17480
17313
17298
17716
16667
16786
17778
17566
18258
17659
18080
17357
17237
18257
18260
17028
17688
18050
16999
18290
17869
17509
18316
17117
18072
17688
17868
17596
17598
17111
17358
16638
18169
17988
17658
17883
16819
16637
17358
18257
17417
17414
17781
17238
17149
17178
17659
17960
18168
17823
16937
17869
18258
17598
16757
16908
16666
18141
18064
16908
18289
17959
18138
17406
17719
17405
17540
18260
17268
17087
18379
16725
16788
17449
17148
17596
17209
16875
17238
17748
17298
16896
17147
17776
17271
17750
17750
17267
16876
17779
17267
16725
17209
17986
16937
16712
16967
16877
17838
17359
18312
17155
18080
17945
16990
18176
17691
18342
18009
17809
17897
17388
17838
17057
18288
17510
17600
17899
17745
16907
17360
17781
18019
17689
17059
17058
17960
17959
17749
17474
17538
17327
17085
17268
17417
17837
18139
17825
18170
17178
17925
16997
17567
18020
17316
17989
17447
17598
18319
17149
18169
18349
17658
18378
18271
17508
17419
18261
17780
17298
17659
17898
17568
16981
17826
18169
17359
16927
17386
17299
17208
17389
17387
16995
17899
16758
18319
17449
16869
17597
17238
18020
17470
18200
18139
18110
17659
18140
18229
16880
18381
17649
18101
17719
16818
17898
16907
17560
17898
17479
17149
18352
18077
18228
18198
18133
17328
17598
17327
17589
18301
17747
