cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any
14618566,1549475,21174862,13810983,3768126,77449790,7328587,7839599,168318,609367,10713269,25733153
14577503,1423320,21012836,13799874,3774509,77336988,7512150,8243307,117398,550008,11052889,26363092
14511483,1320042,21162557,13755499,3688750,78162358,7343709,8069072,57539,486457,10592462,25843805
14798979,1447322,21286512,13840319,3897846,78043436,7351313,8077764,79186,512095,10889428,26567315
14458748,1305738,20882651,13775962,3787970,77882607,7143821,8066661,48281,479339,10815368,25788611
14433960,1252065,21043748,13776477,3766811,78358665,7278471,7998825,8987,448485,10647374,25651967
14773764,1251259,21293031,13794123,3789968,78581285,7336521,8051099,13938,445930,10744664,26439144
14455948,1229186,20882277,13753924,3782558,78094035,7141758,8058924,14417,447297,10781281,25774192
14415376,1228742,20971552,13698812,3773797,77946264,7304741,8025031,20322,446278,10749518,25744060
14524107,1242037,21152932,13657514,3786527,78116694,7538503,8068304,17875,443864,10774547,26439335
16844665,4420803,23433108,15100873,4036669,81569219,8015613,8834813,747425,1339947,12984496,29504521
14632287,1244845,21266149,13836830,3884219,78234470,7303119,8223014,11091,435515,10793826,26433246
14661306,1351934,21112115,13755201,3673596,78307090,7309372,7820617,75691,485803,10768773,26367825
14674616,1221453,20935383,13719627,3791953,78333638,7337698,8059909,10482,436236,10534312,25898907
14687075,1277622,21158566,13831461,3785914,78038955,7132130,8046771,26521,459236,10580854,26538202
14567588,1225707,21192376,13839107,3685374,78329459,7333638,8056972,13518,439706,10771882,25930162
14440330,1392367,21048001,13729865,3783464,77579629,7324530,7859201,85318,512665,10622349,25838947
14837969,1418966,21138895,13810935,3893178,77953738,7336063,8058290,89517,530515,10860624,27183498
14536750,1261766,21186602,13853615,3677680,78264607,7320023,8046581,29671,458343,10769013,25832794
14612451,1280322,21253564,13909447,3795850,78656426,7345380,7871472,27062,457364,10580458,25963577
14712969,1208358,21133449,13815834,3885296,78394631,7313899,8042828,17416,431857,10954122,26556877
14468029,1223782,20863503,13751862,3782616,77961823,7326712,8051480,11015,433271,10512043,25810353
14576858,1207117,21230456,13791800,3784756,77886139,7516456,8248742,12145,426321,10758907,26509765
14648035,1260898,21120924,13735322,3674824,78385967,7122710,7831663,18848,443621,10743579,26428968
14417866,1237196,20821172,13724869,3766759,77904188,7284373,8020055,14613,440436,10536543,25711951
14681096,1225235,21153533,13815215,3682869,78221400,7332340,8054132,10056,430174,10767647,26537056
16751469,4664585,24075599,15958019,4184772,83324169,7931759,8649377,580306,1089548,12461000,29291705
14590831,1424809,21054039,13851908,3886578,77657917,7308483,8027436,118251,540344,10821550,25778586
14592656,1392085,21017666,13693604,3775824,77291372,7126897,8039543,92430,510108,10812334,26485382
14584182,1506480,21196323,13808049,3683156,77767237,7339914,8059163,170463,596163,10948890,25920421
14629794,1321139,21071043,13746486,3773825,77674181,7182268,7848110,63082,470184,10571428,25854825
14541536,1423251,20946409,13798642,3796238,77774032,7152878,8065630,96908,524561,10892529,25924236
