cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any
14514687,1451516,21142232,13901003,3777437,77544481,7320080,8053609,143744,535604,10704254,25771069
14596371,1409647,21061942,13631386,3775519,76897688,7315897,8036116,110146,511604,10830105,26341208
14264002,1291526,20642632,13584776,3778090,76379367,7112710,8047444,58286,457776,10765978,25760898
14501907,1434022,21133639,13792291,3881858,76939836,7519428,8258744,162469,545574,10899192,25770113
14411366,1336038,20796384,13519755,3664774,76493240,7305219,7832544,79929,470309,10782093,26329228
14484705,1315346,20775437,13622382,3774985,77023917,7311919,8047506,74790,464265,10587367,25729926
14525065,1207240,21174976,13809528,3894575,77457646,7325112,8270266,13254,406469,10970863,26431123
14420620,1240426,20852775,13523399,3675895,77028594,7310880,7856548,23736,421256,10752020,26367323
14453570,1214555,20676477,13515985,3777277,77112584,7330400,8058189,13087,402106,10508233,25787229
14594604,1221527,20902321,13620971,3884961,77248307,7331002,8262267,16725,409050,10718811,26994176
16531399,3851820,23043898,14784833,3962027,80971085,8060648,8978140,868532,1322118,13259506,29305516
14448076,1281243,20831921,13599653,3888029,76332883,7522125,8062381,84020,466184,10723422,26437261
14487240,1501116,20877906,13696145,3764360,76209568,7116631,7996976,162960,551528,10648053,26294807
14345877,1324481,20924589,13673429,3675015,76494175,7319372,8054424,86366,479865,10795183,25818884
14343592,1395249,20938102,13675181,3788365,76531614,7335984,7872181,119453,504553,10632200,25799121
14582504,1422537,20872260,13729167,3779019,77168725,7126079,7866252,131551,536465,10884066,26416377
14354620,1293656,20738610,13706912,3786069,77020439,7338845,8080066,81543,469095,10590664,25775905
14474010,1495507,21108632,13770087,3780883,76073069,7524580,8262801,172128,565958,10865799,26397811
14460443,1318533,20730250,13549763,3756654,76431367,7116288,7859387,82941,469806,10770994,26397526
14286441,1449222,20664032,13639903,3784417,75996098,7329906,8072882,147324,530873,10629148,25750437
14428389,1355591,20665236,13497129,3764748,75538237,7504822,8243228,117410,496075,10922188,26908752
14228979,1378442,20762485,13454759,3666019,75905083,7296552,8044507,110074,497820,10552458,25751823
14414891,1419758,20822989,13670333,3873943,76178455,7323643,8045366,143638,527728,10818628,25687929
