cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any
14600123,1308884,21015934,13679706,3691003,77127271,7361119,7886956,16484,448241,10773497,26645169
14617607,1350573,21027627,13695259,3884728,77826617,7361455,8266456,8556,471527,10832985,26549276
14493995,1339646,21069587,13718132,3805237,77845873,7376742,8100031,20170,470068,10660913,26027176
14678555,1375146,21079406,13685279,3786321,76870342,7341739,8084483,27270,486593,11080222,27248928
14340981,1273876,20689789,13499023,3797707,76948827,7353862,8082348,18580,445777,10554819,25933125
14531648,1333847,20971837,13681681,3792764,77474329,7168282,7877767,13676,460815,10604191,26529874
14676944,1344282,21139848,13893441,3795349,78002296,7546049,8286056,10917,470819,11038216,26579006
14498392,1314247,20881503,13698293,3798122,77814711,7381461,8103281,14611,464946,10616063,25960493
14650193,1365937,21123029,13795381,3789776,78038561,7149352,7870218,21213,479002,10569711,26464537
14648225,1385426,21129024,13865623,3695436,77601063,7547920,8270134,29435,491123,11088254,26598451
15309490,2884584,22945702,15202849,4199387,83544823,8404110,9178387,903861,1395896,12661894,27278199
14741425,1592448,21135292,13906200,3815922,77591547,7206874,8139505,167886,614091,11046535,26697078
14608762,1420714,21307523,13938804,3793516,77208006,7529150,8266703,89319,526716,10817705,26454455
14541482,1364262,21014869,13707073,3790909,77194684,7357324,7888011,37021,485484,10573294,25955883
14500521,1279525,20779179,13562075,3798415,76804579,7181233,8104205,17921,463599,10759171,26545722
14380683,1304569,20962503,13671855,3796473,77157786,7359439,8086940,10385,450413,10575309,25892350
14525035,1299214,20982211,13672474,3697030,77047841,7371955,7920417,14869,455187,10798381,26597205
14507404,1308562,20949787,13652967,3901793,76998806,7357828,8088767,14823,456085,10758902,26559520
14311065,1336189,20692271,13600697,3785728,76447002,7337725,8071811,19016,461393,10500445,25875056
14542324,1255110,20998444,13696023,3692159,77034778,7367605,7982997,11509,441351,10739784,26587436
14457469,1242153,20893620,13649442,3892179,76802614,7524044,8257846,14709,432399,10654043,26389869
14491947,1295714,20916967,13649806,3784925,76814283,7139253,7887998,13074,447022,10518938,26449264
14659743,1317294,21388819,13797227,3790272,77735724,7577222,8125969,21062,454994,11045939,26678549
14547668,1262700,20850546,13624880,3779087,76982601,7347618,8078848,16136,443793,10516188,25910161
14532529,1315145,20990989,13631887,3771982,76856298,7154344,8065757,10965,451090,10563495,26548696
14432270,1335740,21041171,13689841,3673418,77199474,7345407,8061904,29895,464775,10763921,25840324
16773150,4526557,23932476,15869449,4177531,80210450,7946779,8617126,589862,1140581,12930471,29657151
14606413,1326603,20881629,13585909,3880845,76660109,7359443,8283655,35658,468865,10779779,27150912
14364892,1300260,20995251,13652830,3668729,76687131,7360711,8084609,29274,456967,10810495,25899087
14438267,1317881,21096314,13700588,3788221,77211337,7385584,7919391,16837,455264,10611184,26015460
14648100,1311360,21003414,13734693,3789471,77549311,7187815,7920476,18994,468569,10827356,26611058
14441821,1292448,20930055,13745610,3784719,77459555,7369007,8097553,19846,456606,10584438,25937409
14490082,1283886,20998425,13665498,3662965,76874172,7356390,7880753,26227,450946,10798601,26467250
14472890,1291714,20949722,13633446,3868337,77005919,7333529,8055080,12016,451777,10762153,26439765
14441259,1277648,20892608,13693339,3785714,77244738,7375148,8109238,14992,443738,10622264,25987443
14497796,1271037,20978660,13652651,3680039,76739953,7363107,8096073,26547,451670,10773403,26543190
14487787,1404446,21175488,13713287,3684845,77256314,7372947,8111020,68864,500191,10683695,26013943
14640941,1267071,21333069,13846141,3885749,77651288,7371610,8107787,27693,459884,10832126,26018596
14486316,1286515,20944760,13725015,3774564,76760660,7528697,8258666,20390,453291,10962971,26462244
14351640,1317584,21192587,13684006,3773230,77252039,7563845,8286024,24460,457595,10541305,25799432
14559664,1277149,21037407,13694660,3787706,77107948,7179124,7904829,12208,446830,10596580,25976450
14361141,1232689,20770540,13626987,3767342,76721445,7169670,8081102,22257,432650,10760377,25885710
14440185,1327437,21101415,13723558,3781246,77151926,7359490,8091804,34007,468409,10845202,25978536
15411807,2743496,23019805,15119980,4166842,82924836,8544504,9128171,872487,1344054,12709820,27660533
14345298,1258393,20808402,13641642,3774122,76734776,7144836,8056298,21401,441361,10708807,25877884
14440476,1318766,21058693,13708243,3788966,77241987,7358715,8092470,12295,452433,10821074,25980410
14482259,1281507,20911627,13506377,3669622,76710946,7338643,7865570,19958,437982,10746634,26523625
14543402,1316727,20890517,13613617,3781114,77300449,7378932,8108491,14675,460487,10594474,25896640
14522659,1329944,20988552,13614383,3775170,76743898,7175738,8099448,27522,469210,10626315,26623901
14552596,1343269,21275113,13777047,3781487,77274714,7555803,8091681,15945,457479,11010400,26533405
14459311,1268305,20752934,13559831,3757494,76819683,7309962,8037380,15658,443494,10538349,25862910
14487621,1288567,20918430,13627173,3778277,76693998,7153892,8066566,18560,448527,10550699,26498746
14303230,1226794,20911660,13579337,3672162,76419411,7356366,8088457,15781,438240,10746990,25908647
14527899,1328802,21129547,13695629,3759817,76818531,7519963,8057368,12163,460582,10772165,26520332
14668260,1251242,20995438,13646942,3882739,77081500,7349789,8081398,16967,436820,10761218,27149411
14393816,1320863,20805859,13653738,3670479,76947063,7344802,8068475,15562,461004,10776713,25891279
14382220,1293041,21017066,13657836,3766804,77097038,7331989,7994532,19516,441543,10542344,25829794
14511024,1265450,20792165,13583850,3771860,76943656,7138153,7860976,16800,445651,10721011,26460558
