cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any
1571431,854099,2248242,1743258,345957,7529135,483875,504286,299763,314578,1090069,2794274
1701847,1083533,2450318,2191179,346214,8529475,904960,946004,361453,429011,1865706,2839314
1485684,1139964,2521934,1715661,237673,8651343,700627,730025,417926,505895,1271672,2153180
2006507,1125464,2788730,2099594,453520,8864612,486930,505975,400362,480704,1512444,2839759
1314375,715062,1882760,1725902,347642,6600458,483590,726193,302015,368313,1430190,2065077
1428646,932076,2423301,1881401,344024,8370441,692769,721640,335013,402205,1491599,2099652
2753568,1677009,3762641,2850006,781926,11074016,1329990,1151690,520116,736616,2428870,5189781
1323504,771999,2242632,1701227,235934,6659299,693195,722342,321778,411408,1477342,2044844
2342624,2507805,3591017,2710600,647409,7122712,698007,1153149,557980,704928,2424298,4153258
1568723,752478,1824869,1409521,339796,7044466,473623,495096,323874,383264,1404333,2749014
1198853,769969,1756397,1622887,344619,7097879,696672,726254,287626,298892,1029537,1965275
1643134,1119816,2700105,2039475,345809,7757039,904091,941557,331300,400727,1448488,2827594
1549451,716936,1874475,1393233,296140,7251903,447834,467179,307099,360476,1373090,2701106
1301779,759916,1877425,1757459,347973,7248451,695478,729858,305464,325661,1116801,2062681
1578268,883242,2190997,1683382,235434,6624605,691781,722852,250556,313790,1443908,2793958
1361171,887501,2273209,1497733,229025,7426983,682656,711529,298660,383942,1129174,2094641
1590831,881805,2215507,1693657,344607,7368986,482095,503173,306649,377304,1083437,2037165
1628842,892934,2265681,2000212,457034,7440565,697245,942593,320055,406709,1826411,2831611
1335309,846848,2186246,1434949,219784,7349761,666719,694734,275028,356759,1248710,2099040
1667243,924784,2356956,1847094,345393,7831439,484215,505203,335005,406524,1137629,2075418
1441542,826392,2032314,1870270,348310,7692291,488086,729569,333543,431140,1527708,2131012
1290034,860724,2183345,1663282,345200,7063064,692883,502269,232270,359798,1081691,2088800
2671798,992657,2388835,1890703,680808,10417372,1136224,1183045,554614,603821,2362105,5207852
1456058,931526,2076022,1568521,235981,6684252,894081,931936,367798,449010,1726120,2680094
1255354,852869,2119717,1607985,347894,6894895,700659,689546,221715,346982,1065981,2049848
1664446,1008250,1970836,1583237,346891,7575074,493329,512525,363650,441915,1509404,2834684
3378830,3835560,4082640,1603227,451755,9282380,1937857,2084029,878901,926164,3864204,6271358
1488394,1154789,2518163,1900226,348923,7000108,912836,950786,311937,369093,1380368,2760858
1622297,990071,2197413,1404264,236067,7026473,482355,503558,347716,428524,1489952,2775738
1231158,674275,1716636,1586280,344557,6878967,693781,723037,277883,356396,1049998,1226147
1383597,786518,1905398,1416614,333398,5151713,501978,722162,176443,238668,1313148,2664762
3252273,3876393,4695688,3229206,874429,8343926,1973130,2124305,428628,324069,2441796,6296789
6342558,3757636,11640490,9530289,4511494,20718920,8693405,9202009,1218911,1081790,8135215,11109708
1475774,967692,2032324,1542525,337604,5945094,468746,708334,249115,306841,1359456,2665244
1195292,709992,2063014,1317275,234854,6691960,698149,727634,348881,397397,1400332,1955554
1392823,824446,1946075,1457838,343273,6043146,693331,500807,216432,331913,975799,1920473
1380951,672425,1602113,1249750,347066,5568843,486147,727107,287406,337858,1319432,2590334
1236861,727393,2142119,1642037,327036,7240248,663967,691907,224486,288514,1349138,1909641
1759652,1010380,2418900,1510504,346631,6954732,908712,730688,270804,406354,1370442,2732494
1451171,789737,1667594,1273525,339190,5595950,481826,713075,275070,337054,1325362,2696471
2250814,1426565,3436481,2510624,697859,8724687,1387507,723670,306784,539619,2332136,4397406
1447228,913545,2022943,1530920,236240,5757199,698286,508048,253293,380588,1399661,2686257
