cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any
14355750,1310060,20834995,13811099,3771556,76690897,7152928,8072619,15866,456340,10734277,25779523
14444617,1304608,21121176,13691193,3760146,76719536,7522002,8243605,12702,430836,10698236,26414671
14430971,1332383,20885173,13689124,3768043,76673509,7158117,7859306,17053,450965,10536391,25746331
14496431,1286634,20804541,13754946,3880469,76877818,7365609,8273120,24791,458261,10988354,26501736
14338053,1326583,20948377,13723697,3773124,76788501,7351451,8076183,16621,460551,10775633,25833333
14381053,1268441,20809265,13549939,3665849,76157523,7343592,7854611,13722,443712,10697490,26413606
14643353,1392543,21042614,13805137,3886088,77056910,7357462,8273154,14228,471207,10806168,26454568
14344022,1323914,20995867,13737410,3783969,76752467,7360081,8091742,10932,450313,10761389,25859410
14478339,1362685,20930048,13588573,3681940,76611982,7377939,7904123,7920,465478,10812904,26639242
14623767,1300889,20981676,13751651,3869071,76873994,7519830,8247036,23942,451229,10736072,26409887
15611461,2644522,22681282,15222360,4117310,81883964,8171033,9154771,862571,1356106,12947664,28188295
14542611,1489704,21266725,13923554,3775893,76714599,7537426,8071463,114830,543909,11094698,26417868
14476659,1468296,21003967,13849967,3789202,77356407,7373258,8102231,111652,533423,10698106,25861999
14548673,1394514,21071709,13826483,3784498,76942916,7171537,8037230,63093,486145,10596836,26479572
14281902,1336944,20908689,13682433,3667591,76545502,7354226,8074253,13470,458440,10722692,25780971
14218665,1263796,20842992,13636427,3778849,76285457,7346446,7873021,11891,424170,10490455,25783547
14483731,1346432,20805656,13646783,3776888,76743732,7158682,7881308,25909,467697,10766184,26493774
14466056,1304590,20941415,13789269,3791545,76736309,7565261,8289429,6649,437420,10787581,26542694
14340031,1336617,20992349,13753155,3770864,76856462,7341059,8053760,14801,456751,10532211,25784704
14507946,1381101,21016178,13681859,3664908,76817944,7143823,7857674,27453,471528,10775245,26482284
14472286,1320408,20918835,13784239,3878395,76906576,7349734,8069793,14126,450540,10752278,26402128
14606883,1313055,21160174,13867309,3674609,77548418,7360895,8081869,18810,464171,10812544,26473568
14457759,1374490,21148003,13707183,3772699,76981186,7337762,8065573,22300,467911,10746779,26361019
