cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any
14536548,1283031,20826243,13619850,3764398,77227894,7339677,8040745,22066,446819,10585973,25865063
14514971,1290024,21197231,13768996,3889655,77288266,7357523,8255472,15812,441266,10800474,26507731
14588568,1317127,21119202,13763946,3667700,77318317,7354640,7868281,24742,447501,10800205,26521294
14292897,1268649,20703809,13594741,3883877,76834897,7548439,8263000,27008,437722,10790049,25943465
14392624,1287602,20826637,13541247,3769384,76386259,7140697,8036395,27453,456670,10556645,26400651
14318760,1355258,20909711,13682650,3658236,76355784,7307364,8018055,81913,487020,10785043,25801044
14573002,1450707,21114123,13806379,3885139,77110013,7546695,8055303,114742,536138,10877849,26523700
14582053,1604776,21127738,13843992,3780212,76898138,7162704,7855958,169099,598781,10731465,26467908
14498743,1402646,20956400,13779352,3660190,77000715,7345016,8043251,83535,500064,10850229,25960746
14584996,1498918,21123735,13826816,3862637,77254207,7498770,8166085,132361,555786,10880221,26330087
16692952,3718693,22942641,14909605,4092484,82240422,7883561,8792798,880430,1359496,13335387,29877714
14566473,1315681,21054549,13786350,3791666,77173204,7567862,8286461,29088,444290,10797214,26626056
14518157,1583764,21227950,13883481,3789127,77389565,7375761,8083947,162409,592111,10797737,25954917
14614052,1436814,21156177,13705991,3695893,77470134,7189805,7888989,88508,512339,10930366,26635778
14551144,1549200,21069084,13929139,3790884,77664883,7373453,8080406,151880,580620,10800995,25316121
14786164,1441379,21355694,13994594,3786382,78230468,7177711,8067251,99421,511623,10973832,26629748
14591511,1495883,21279991,13902506,3664662,78038320,7329012,8034426,119332,538821,10779427,25872649
14723791,1462643,21297372,14069949,3883044,78328640,7345418,8043709,105581,526878,10978375,25880443
14550536,1287999,21029446,13742972,3767693,77323923,7137377,8035008,12386,429865,10785162,26428357
14343679,1245480,20958049,13608688,3660022,77308598,7332427,8041412,13707,430293,10827659,25812324
14647694,1303019,21193863,13789784,3884131,77161401,7365618,8070681,15194,427136,10792585,26479691
14495898,1266700,20793910,13641224,3773519,77067345,7149171,8044748,39361,444243,10784240,26433874
14568054,1312690,21264347,13829147,3770426,77754884,7520949,8228245,16909,438685,10975029,26434043
14503170,1225580,21013109,13754594,3769143,77314999,7331784,7828563,19867,419385,10541180,25779765
14533405,1296217,20883293,13721049,3767279,77652247,7148084,8030659,16690,436826,10773858,26332939
14420816,1253567,21088383,13813901,3774700,78063588,7348795,8036594,16927,433017,10601412,25767214
14628748,1295983,21153868,13826196,3676514,78102627,7352777,7864184,15891,431673,10821608,26461941
14629350,1305915,21142044,13834519,3864813,78170308,7348128,8123289,18469,443243,10812294,26441607
15414629,2743534,22879891,15335687,4147340,83418519,8391861,9141609,924741,1404199,12995548,27337374
14603825,1483766,21128615,13817749,3671323,77400025,7355191,7864852,113405,528062,10961601,26513457
14509467,1410092,21009201,13818526,3766629,77842923,7324078,8030128,97260,520043,10747964,25810416
14759584,1535354,21322591,14006022,3769721,78046827,7141683,7848617,156552,578130,10815968,26485485
14543440,1515527,21036110,13913277,3670653,77543630,7345587,8055675,141206,556502,10975517,25914822
14688337,1404940,21377886,13937964,3799781,78206780,7528893,8250961,84222,490131,10900465,26483898
14528815,1336165,21008310,13732395,3770310,77033397,7138882,7843113,82490,479754,10677936,26479709
14342132,1334951,20763537,13673088,3654472,77032851,7329184,8021576,49096,455634,10847101,25739245
14252429,1264470,20862940,13598217,3765438,76765560,7322337,8023560,24915,436984,10525352,25711982
14817580,1315090,21409688,13878046,3778599,78623866,7347170,8056612,25373,442935,10868633,27158359
14740036,1434935,21313438,14070938,3885582,78213283,7339645,8251940,116971,534958,10977965,25890839
14670188,1337631,21425075,13978273,3885055,78439376,7565301,8277407,61773,465615,11100241,26490956
14562740,1278953,21093005,13749838,3670891,77986890,7146806,7846484,14196,418323,10794076,26365427
14446293,1260768,20901466,13807199,3760391,77807346,7312532,8010429,15021,430641,10579382,25107932
14630589,1286332,21134075,13823366,3774565,77877987,7154020,8043146,20090,430446,10873443,26458293
14575825,1285255,21263253,13754247,3764911,77810141,7515926,8024374,14006,433054,11042874,26449440
14596006,1271465,20901899,13747280,3766559,77851632,7333461,8033846,20693,432223,10639244,25837282
