cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any
926764,968987,1651598,980444,230948,4215302,686582,716176,297797,341311,1215368,1616103
1156563,1030305,1619082,1161928,337061,4095557,687321,500607,218008,307080,847833,1603574
1114269,738235,1236850,917455,337163,3570620,477946,715062,226707,271831,1145919,2330169
910088,976039,1661827,1200792,332375,4255649,679558,708985,244640,286551,1168602,1533796
1450261,1361931,1998317,1202792,336274,4563282,894249,715200,300811,397066,1214489,2352435
1156807,872100,1283344,955230,333628,3662301,481203,710533,270435,312294,1182745,2320522
912185,934433,1637932,1169999,337542,4114125,686705,716484,277345,269919,854405,1606153
1203524,1203789,1673601,1223229,230911,3876086,685364,498036,262772,356544,1240170,2345762
1009760,1239636,1434681,1100904,337667,4632875,687979,718866,378419,421402,974461,1625358
1193185,1246110,1668426,1227201,321900,4038080,477924,621576,323834,313575,883402,2228440
1218982,1267371,2055387,1474208,339883,4395018,900110,722357,325734,425224,1596977,2346696
963910,1112618,1379300,1034305,332979,4355169,680055,708121,338884,389229,931618,1597318
1192775,1166762,1654571,1202788,336634,4168928,477138,498109,303150,299605,899155,2331601
960418,1134340,1367089,1249462,229855,3869945,684830,714169,336510,378426,1253659,1603936
998715,1508979,2069743,1510321,435844,5047207,882410,920367,376909,422513,987319,1594383
1416038,1179793,1779691,1199364,375638,4593576,657153,687220,348609,349518,1196085,2986123
920028,953911,1304170,1186209,231669,3813287,685853,715371,279180,326732,1210064,1640877
984643,1361724,1734752,1285185,340665,4485626,693928,723872,315336,349147,959425,1633819
1189862,1147249,1645664,985881,230581,4215240,478659,500375,296564,341785,1228861,2337919
894519,822073,1246844,1136710,336435,4021826,690003,719725,247717,291928,847590,906239
1124157,965978,1892488,1317013,448435,3812607,687964,943065,205449,254719,1378721,2397958
1139472,971169,1565847,902755,231036,3966852,479235,500245,246432,290368,1165984,2350544
