cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any
892154,205794,941621,591439,332347,2540731,664181,697224,28875,65354,642485,1540122
851410,220418,1173559,737156,328264,2192899,465326,692618,16582,44078,891960,2141361
873144,248974,1475093,739485,329517,2744393,863220,692649,29961,70530,1189888,2166051
855950,200231,913587,589027,329634,2494885,666226,692313,38033,70781,640937,1482948
856570,223044,1181571,732556,327238,2229821,474688,693055,18392,47653,607346,2148836
683846,222368,1240120,786542,230840,2313658,674724,707215,34343,69846,932137,1547856
639984,202694,1170550,731873,333327,2429640,673412,496921,20456,50739,604480,1493867
1061794,237048,1185213,747026,429449,2503127,674969,801699,32660,68419,899674,2764805
656272,218988,1190345,741872,226253,2258468,667711,695460,25464,58054,904064,1509498
651368,220898,1181791,737127,327453,2486887,665111,488278,14810,63231,627282,1489069
867564,220231,928901,602236,326915,2479573,459342,482248,37661,69765,914669,2141515
654452,231063,920279,757523,328518,2486991,664116,692816,32589,38637,600136,1492228
1068983,251111,1458258,905277,429788,2838082,1057750,1101977,35796,74472,1198201,2784026
859255,227101,1073082,585178,262778,2428087,452633,471743,28686,58849,898752,2133538
668334,224811,931570,758426,337907,2514795,677616,710439,26778,46694,628398,1529627
837080,213593,1161416,730481,228176,2250841,667743,696014,17164,43537,891991,2135183
652419,239214,1212464,611557,228984,2522311,676984,707055,35507,69470,628943,1534141
869827,233583,1189950,911032,433740,2738632,667643,696097,36181,74857,916600,1510280
885678,321491,1235205,803404,330074,2309694,467235,692895,59282,89118,964535,2147945
685943,273590,1234715,627825,228045,2558369,676030,704684,50618,84089,900069,1542948
844483,217969,1168600,738260,328267,2421002,465807,487078,26297,57703,620478,1477517
652980,184967,892796,739283,331191,2324486,472207,699768,26562,61875,911899,1524409
673989,211891,1204559,750929,330534,2524898,671851,696582,23822,51541,916142,1539975
1095899,275756,1476887,749063,338567,2741631,873555,695911,40030,75976,913386,2166645
869006,217452,913478,585269,330257,2193738,466001,695388,26262,62184,915443,2169792
654262,209364,1177829,735064,327345,2419802,661344,691477,24151,48338,649019,1498989
863648,227616,1189451,580121,228297,2519529,666246,489396,31307,67477,903576,2147173
871352,201954,915700,581252,329269,2478980,667214,697289,30802,61156,631701,1514903
861760,237391,1444507,897839,426738,2439283,657299,890021,32028,65750,899411,2152779
1089511,310563,1477835,926141,324683,2642501,668626,493093,36287,89470,1200751,2791651
657247,203357,906298,573420,335339,2439649,678596,705262,24437,57302,625565,1524064
876382,247815,1192927,743062,338117,2475800,477586,498168,31363,50760,616046,2197183
644658,190065,1169209,722621,229411,2199785,670280,700534,15536,43514,889755,1500662
884149,238108,1216232,757970,431777,2759453,869798,700938,20929,72261,917473,2176190
892466,270403,1224419,783319,334303,2576425,473633,493843,42809,56479,642638,2191972
646690,186888,899334,725649,226388,2221521,661809,692225,13062,46439,895562,1512902
645012,231440,1195026,754854,334008,2527035,676634,703343,32428,62037,613468,1494341
855782,216861,1168442,565185,225347,2398066,473103,493345,23884,55429,909396,2159777
650632,210959,913184,733414,321353,2501545,650025,680072,23162,43703,614487,1178826
865169,283368,1486741,916867,331400,2543686,868030,903126,26105,66165,905208,2170674
855374,215165,1170969,572102,221595,2429501,471068,487717,20183,50882,886142,2148539
741499,445000,1033700,889423,333085,2934325,674933,701075,114857,147889,652932,852314
863678,231457,1185642,726134,329741,2209218,474839,700605,16733,44131,898190,2171843
872743,216101,932758,601587,438466,2727214,874830,912847,49276,85002,933021,2169099
919654,372414,1554812,980088,432758,2566121,679945,773768,80814,115977,979924,2165884
1061898,254605,1449450,890735,325145,2549714,864930,688594,25325,46096,900827,2811195
680686,201201,926460,590266,336044,2553576,681835,710942,45681,80549,649599,1521091
860259,207736,1180910,730899,331404,2425596,465680,486993,22648,48554,628149,2188752
668764,244093,938999,751617,225279,2252413,665830,693875,38517,72076,921141,1513095
869858,246014,1427448,733122,339669,2760451,866846,903336,27336,57503,905629,2170400
862598,214365,1173432,727682,329602,2474463,472375,494580,17467,43814,619843,2171824
663565,218320,926716,753326,227570,2272665,668117,696527,38374,73557,921836,1501960
634973,211842,1172976,730973,327287,2394783,662806,692167,20894,47072,609813,1484147
884421,278128,1217218,609829,226809,2518143,469776,489864,39743,73537,922106,2180545
649890,191071,913173,729513,327974,2395059,664462,694609,19542,51599,616145,862750
876572,265139,1471282,910175,435169,2428438,666999,907531,28229,62889,1198341,2183362
869323,236853,1206197,612131,227629,2488152,473829,495251,33761,63752,911715,2167435
644758,176412,896112,725172,327801,2400799,664524,692705,14892,46325,612652,854798
864658,252799,1188512,753708,329840,2255570,469517,696570,26983,53214,923195,2151595
656075,212593,1180302,575629,225413,2375385,662674,692761,23188,56469,899861,1504257
1080269,254432,1205896,764902,430930,2659628,860175,692386,24776,77837,926654,2156267
858786,237098,1191485,749194,329045,2253388,471490,696836,27327,43675,608782,2149412
860691,196370,1167891,580039,321125,2696724,842576,879931,36464,77226,1174157,2099412
886992,270949,1212003,767638,329036,2476648,662748,489203,41995,69640,626479,1514160
850436,192439,900452,571138,329461,2176947,466911,694637,19910,53622,896614,2163918
854510,237861,1470580,921109,325842,2502662,854113,893450,36610,70455,912632,2154240
668442,267830,1227954,777580,330741,2508283,661685,489528,36314,72251,626924,1528592
863571,155358,906769,576096,338255,2432225,475685,496755,15790,49000,911529,2218782
653625,199536,1071330,741813,324813,2421994,657271,688177,31998,59942,607904,1527349
896625,319877,1241547,796400,231186,2240125,667286,486726,57474,89406,953845,2193676
662362,188544,923289,589535,338736,2496973,682508,713281,29878,61500,626315,1537653
867193,226034,1177521,881305,439993,2641582,675191,705431,21044,49049,905244,2193993
1305749,257881,1225547,768085,341457,3755244,886617,930908,158394,196848,1388771,2993809
654367,235994,1202915,599155,232895,2478379,681242,711882,21592,55098,614036,1535660
854621,399084,1551182,1015470,409379,3168695,636180,664663,80141,117045,627869,1696099
684436,249979,1235241,605853,224387,2529924,662760,693857,41056,78894,945233,1524316
1073944,236452,1189022,756112,423656,2637829,853576,684066,22592,59784,911577,2157599
887242,271782,1233246,798068,323345,2244866,466546,687123,42011,66887,644018,2154107
653003,197318,1180978,741773,223881,2255224,658151,687173,17854,54811,914112,1497402
879669,305533,1487967,953028,413307,2798913,654778,484955,48823,86958,909347,2100276
870072,213599,924690,603983,322340,2346518,463490,506409,25060,56485,924444,2152052
864421,259190,1471365,926851,320458,2435497,846731,884542,35598,51064,893364,2125588
