cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any
14802713,1576456,21304683,14094100,3658315,77567466,7291628,7817653,168673,625116,11002214,26435973
14677612,1428816,21069570,13950897,3848002,77245370,7259708,8163062,93300,557819,10842238,26299887
14542175,1512450,21153941,14001085,3754138,77231324,7272482,7984163,160556,601404,10699647,25757402
14882836,1484872,21435483,14133742,3765271,77734499,7296367,7824433,115802,579826,11142201,27099780
14449605,1476400,20836924,13793997,3763907,76886302,7281799,8006753,130725,579884,10651259,25756346
14645251,1452490,21099480,13885305,3766832,76981585,7105161,7817005,129129,568813,10711591,26505148
14588858,1424227,20956975,13862048,3752661,76864907,7452533,8134613,90681,554283,11056759,26444278
14638964,1543022,21085643,14006971,3765250,77705519,7285899,8007132,173985,624850,10789544,25796627
14654399,1307689,21121005,13930206,3766285,77675571,7088320,7800561,37803,491346,10569834,26395524
14696396,1311711,21181290,14047868,3769269,77880320,7301512,8012513,33782,478136,11050112,26495906
15907081,2888613,22555059,15261399,4106701,81492664,8196028,9081735,949524,1452707,13181877,28118764
14704423,1551124,21168445,13928054,3643648,77114696,7066899,7774683,173321,623895,10928958,26324805
14709456,1462688,21132481,14068630,3854708,77329783,7274438,8176101,148219,582203,10924572,25737525
14587516,1314743,21175244,13960138,3776336,77918982,7321773,8041022,34165,488350,10646341,25920176
14727900,1556750,21201502,13946541,3652620,77194633,7082055,7789288,165438,620480,10953580,26371845
14406032,1340194,20789151,13889186,3748464,76912467,7257109,7963568,79070,523425,10546416,25016272
14663171,1492633,21128496,13936723,3766795,77137091,7116808,8022991,115940,582981,10937777,26445165
14625304,1365936,21240069,13855056,3774182,77330002,7504458,8032768,66828,522926,11113778,26552015
14553133,1308592,20715159,13640722,3746088,76849065,7257940,7969984,13764,490903,10568159,25794580
14524412,1314777,20913656,13728795,3740239,76712746,7076772,7974902,14842,480247,10685504,26367513
14474551,1353908,21035877,13715669,3743548,76706853,7429100,8157640,27028,500114,10782081,25733904
14470617,1214319,20829382,13695931,3758978,76810698,7283045,7799341,17252,442602,10509306,25735366
14767409,1373160,21056492,13865422,3870121,77171076,7307499,8219658,73166,506744,10856815,27134721
14462751,1258532,21021526,13826735,3659253,77266933,7282634,7999866,21589,464872,10771087,25815294
14484195,1269848,21109260,13912252,3763486,77605069,7291688,7822000,18551,461836,10572358,25808206
14556966,1300006,20799660,13728770,3752831,77150889,7102455,7948446,17363,485346,10774930,26387003
14698357,2007105,21543282,14210694,3860128,78372339,7486205,8212977,204915,674405,10577799,25795302
15178836,2407666,22646157,15114970,4111472,81759917,8291861,8871284,796911,1300052,12532956,27396296
14556728,1400329,20769101,13714488,3740906,76652888,7058856,7773664,90587,536369,10779662,26310142
14465846,1348247,20863489,13890433,3754450,76989533,7262531,7996241,100560,540946,10625155,25760526
14685632,1477534,21184790,14003478,3656715,77436604,7265278,7996554,140331,583862,10902618,26391788
14496401,1330371,21036959,13815523,3665497,77425680,7268973,7989026,87118,510149,10583397,25762081
14657070,1346710,21086462,13894233,3760690,77651926,7093606,7800739,47479,508617,10630345,26489256
14583338,1220262,20997564,13882234,3763608,77498896,7466722,8194798,8996,441555,10951327,26461040
14433565,1281751,21018076,13773688,3651888,77540460,7251409,7974249,23178,472834,10559802,25734035
14546553,1246252,20961140,13754055,3754670,77259710,7104413,7813178,17105,454517,10520576,25815029
14438901,1384650,20845871,13871191,3745158,77175053,7075374,7978090,73669,529503,10810177,25710005
14593486,1268708,21197064,13853611,3752859,77726836,7452149,8174122,31128,473572,10937083,26481380
14909044,1542735,21456720,14076546,3765923,78074387,7282953,8000210,155915,612720,10960758,26454064
14378301,1341123,20751362,13874943,3859721,77097283,7274814,8189095,90485,527082,11080067,25670554
14431459,1355921,20959548,13781313,3756097,77093079,7266598,7985158,62799,525025,10901629,25819405
14579830,1352837,21004247,13722611,3655104,77300511,7278381,7793967,76810,531122,10883951,26435254
14468757,1299278,20652299,13635603,3756468,76880125,7268405,7978345,19830,486892,10559591,25751198
15910774,3980119,23912164,16038393,4359179,83467888,8306623,9270850,728660,1019181,11825258,28082497
14580541,1246176,20986511,13712062,3655459,77277127,7285041,7813864,34146,471559,10804988,26463427
14583944,1295200,20817376,13769807,3760340,77527415,7288093,8003177,21038,483613,10564710,25790787
14535170,1202313,20970242,13756151,3753272,77222432,7081828,7995351,20784,446946,10488167,26362493
14412033,1277737,20972461,13778718,3652626,77180436,7272494,7992755,19566,479022,10792522,25807663
14423604,1317398,20992225,13814831,3775523,77495562,7287761,7817051,9187,489326,10621339,25820747
14658885,1273063,20887483,13684342,3861285,77189353,7279842,7992400,17137,479033,10781110,27059117
14414399,1247864,20985593,13766414,3661764,77271396,7289807,8012693,9673,457431,10794951,25859580
14433484,1296794,20926739,13712985,3756309,77253886,7284618,7799551,28628,488604,10589195,25900530
14499214,1297708,20681617,13583646,3754663,76871423,7093761,7805457,11236,481258,10783190,26463388
14563857,1318727,20989410,13873637,3865901,77567284,7473927,8010002,18135,495767,10837827,26462549
14541618,1235051,21115841,13796557,3769663,77402831,7490621,8212433,7914,444161,10766549,26472088
14528678,1307864,20935720,13632477,3644364,77175367,7079986,7789180,21858,494598,10824483,26459882
14404136,1309725,20766755,13734313,3747714,77294145,7259482,7984389,16711,479455,10628805,25671826
14521995,1267593,20893359,13691569,3651174,77085728,7284669,7998070,9707,468602,10774750,26427135
14343742,1287685,20857514,13554885,3673478,76862915,7312579,8039424,11091,479289,10631814,26000340
14437558,1287246,20750174,13655845,3867482,76702679,7282395,8005946,23066,479704,10780846,25862024
16637629,4821828,23803285,15918965,4255044,83113880,7876664,8570601,548067,1089807,12395366,29314193
14468353,1567828,21044323,13771014,3659613,76914069,7291493,8010075,175718,628170,11010971,25860040
14683313,1422456,21127533,13899909,3756367,77559608,7182171,7820431,104865,551448,10693170,25848389
14449311,1321880,20846500,13833299,3765641,77402306,7097516,8017839,25449,487198,10866520,25836220
14406068,1188369,20947097,13748684,3766575,77524588,7298201,8015086,12371,431805,10761520,25784525
14708718,1313251,21147138,13758047,3753017,77530151,7439123,7980897,22552,490271,10804052,26361279
14624732,1202957,20852816,13728010,3773381,77584500,7126604,8036743,13405,439071,10812305,26567201
14372715,1308500,20957878,13809064,3752908,77207472,7252158,7988418,21246,477514,10623143,25749352
14499736,1281783,20894511,13703942,3651316,77042245,7068610,7806273,14835,469034,10813886,26367307
14408666,1222183,20764803,13803223,3769794,77241838,7298185,8038794,10761,441517,10607799,25848901
