epi_delta,busy_fraction,label
"[7600.0, 7719.0, 7858.0, 7382.0, 7938.0, 7644.0, 7274.0, 7526.0, 7325.0, 8464.0, 7581.0, 9044.0, 8186.0, 7443.0, 7325.0, 7655.0, 8372.0, 7165.0, 7813.0, 7830.0, 7973.0, 7952.0, 7052.0, 7770.0, 7728.0, 7794.0, 7626.0, 7693.0, 7533.0, 7697.0, 7706.0, 8198.0, 7664.0, 8005.0, 8408.0, 7646.0, 7793.0, 7902.0, 8066.0, 7667.0, 7439.0, 7815.0, 7869.0, 8030.0, 7570.0, 7642.0, 7866.0, 8642.0, 7911.0, 7837.0, 8140.0, 7262.0, 8479.0, 8843.0, 8244.0, 8140.0, 8248.0, 8347.0, 7829.0, 8009.0, 7843.0, 8431.0, 7073.0, 7667.0, 7636.0, 7651.0, 8575.0, 7797.0, 7399.0, 7833.0, 7770.0, 9671.0, 8215.0, 7800.0, 8017.0, 8556.0, 7926.0, 7651.0, 9810.0, 7913.0, 7623.0, 8104.0, 7960.0, 7403.0, 7846.0, 7395.0, 7614.0, 7768.0, 9606.0, 8279.0, 8088.0, 7773.0, 9824.0, 10622.0, 7383.0, 8162.0, 7284.0, 7821.0, 7209.0, 7878.0]","[69.724771, 68.309735, 77.039216, 70.304762, 71.513514, 70.12844, 73.474747, 71.67619, 68.457944, 71.728814, 71.518868, 68.0, 80.254902, 70.216981, 68.457944, 69.590909, 82.891089, 63.973214, 73.018692, 69.910714, 73.146789, 75.018868, 66.528302, 71.284404, 67.2, 77.94, 70.611111, 69.306306, 75.33, 69.972727, 71.351852, 71.912281, 67.823009, 69.008621, 77.137615, 70.146789, 68.964602, 79.02, 70.754386, 72.330189, 67.018018, 74.428571, 72.861111, 70.438596, 72.095238, 68.232143, 72.833333, 69.693548, 74.632075, 70.603604, 76.074766, 67.240741, 70.07438, 72.483607, 70.461538, 72.035398, 72.99115, 76.577982, 67.491379, 74.850467, 67.034188, 78.064815, 68.009615, 70.990741, 71.364486, 66.530435, 75.219298, 77.19802, 69.149533, 72.527778, 61.181102, 81.268908, 74.681818, 71.559633, 69.713043, 76.392857, 71.405405, 70.192661, 94.326923, 68.215517, 66.868421, 81.04, 70.442478, 71.873786, 70.053571, 71.105769, 70.5, 68.743363, 72.772727, 71.37069, 74.201835, 66.435897, 56.786127, 105.168317, 70.314286, 72.230088, 68.716981, 76.676471, 67.373832, 74.320755]",phi3
"[7581.0, 9044.0, 8186.0, 7443.0, 7325.0, 7655.0, 8372.0, 7165.0, 7813.0, 7830.0, 7973.0, 7952.0, 7052.0, 7770.0, 7728.0, 7794.0, 7626.0, 7693.0, 7533.0, 7697.0, 7706.0, 8198.0, 7664.0, 8005.0, 8408.0, 7646.0, 7793.0, 7902.0, 8066.0, 7667.0, 7439.0, 7815.0, 7869.0, 8030.0, 7570.0, 7642.0, 7866.0, 8642.0, 7911.0, 7837.0, 8140.0, 7262.0, 8479.0, 8843.0, 8244.0, 8140.0, 8248.0, 8347.0, 7829.0, 8009.0, 7843.0, 8431.0, 7073.0, 7667.0, 7636.0, 7651.0, 8575.0, 7797.0, 7399.0, 7833.0, 7770.0, 9671.0, 8215.0, 7800.0, 8017.0, 8556.0, 7926.0, 7651.0, 9810.0, 7913.0, 7623.0, 8104.0, 7960.0, 7403.0, 7846.0, 7395.0, 7614.0, 7768.0, 9606.0, 8279.0, 8088.0, 7773.0, 9824.0, 10622.0, 7383.0, 8162.0, 7284.0, 7821.0, 7209.0, 7878.0, 7931.0, 7428.0, 8078.0, 7283.0, 7665.0, 8260.0, 8569.0, 7696.0, 7899.0, 7834.0]","[71.518868, 68.0, 80.254902, 70.216981, 68.457944, 69.590909, 82.891089, 63.973214, 73.018692, 69.910714, 73.146789, 75.018868, 66.528302, 71.284404, 67.2, 77.94, 70.611111, 69.306306, 75.33, 69.972727, 71.351852, 71.912281, 67.823009, 69.008621, 77.137615, 70.146789, 68.964602, 79.02, 70.754386, 72.330189, 67.018018, 74.428571, 72.861111, 70.438596, 72.095238, 68.232143, 72.833333, 69.693548, 74.632075, 70.603604, 76.074766, 67.240741, 70.07438, 72.483607, 70.461538, 72.035398, 72.99115, 76.577982, 67.491379, 74.850467, 67.034188, 78.064815, 68.009615, 70.990741, 71.364486, 66.530435, 75.219298, 77.19802, 69.149533, 72.527778, 61.181102, 81.268908, 74.681818, 71.559633, 69.713043, 76.392857, 71.405405, 70.192661, 94.326923, 68.215517, 66.868421, 81.04, 70.442478, 71.873786, 70.053571, 71.105769, 70.5, 68.743363, 72.772727, 71.37069, 74.201835, 66.435897, 56.786127, 105.168317, 70.314286, 72.230088, 68.716981, 76.676471, 67.373832, 74.320755, 74.820755, 69.420561, 72.774775, 67.435185, 72.311321, 68.264463, 81.609524, 70.605505, 72.46789, 72.537037]",phi3
"[7973.0, 7952.0, 7052.0, 7770.0, 7728.0, 7794.0, 7626.0, 7693.0, 7533.0, 7697.0, 7706.0, 8198.0, 7664.0, 8005.0, 8408.0, 7646.0, 7793.0, 7902.0, 8066.0, 7667.0, 7439.0, 7815.0, 7869.0, 8030.0, 7570.0, 7642.0, 7866.0, 8642.0, 7911.0, 7837.0, 8140.0, 7262.0, 8479.0, 8843.0, 8244.0, 8140.0, 8248.0, 8347.0, 7829.0, 8009.0, 7843.0, 8431.0, 7073.0, 7667.0, 7636.0, 7651.0, 8575.0, 7797.0, 7399.0, 7833.0, 7770.0, 9671.0, 8215.0, 7800.0, 8017.0, 8556.0, 7926.0, 7651.0, 9810.0, 7913.0, 7623.0, 8104.0, 7960.0, 7403.0, 7846.0, 7395.0, 7614.0, 7768.0, 9606.0, 8279.0, 8088.0, 7773.0, 9824.0, 10622.0, 7383.0, 8162.0, 7284.0, 7821.0, 7209.0, 7878.0, 7931.0, 7428.0, 8078.0, 7283.0, 7665.0, 8260.0, 8569.0, 7696.0, 7899.0, 7834.0, 8035.0, 7730.0, 7848.0, 7506.0, 7865.0, 8157.0, 7637.0, 7559.0, 7770.0, 8332.0]","[73.146789, 75.018868, 66.528302, 71.284404, 67.2, 77.94, 70.611111, 69.306306, 75.33, 69.972727, 71.351852, 71.912281, 67.823009, 69.008621, 77.137615, 70.146789, 68.964602, 79.02, 70.754386, 72.330189, 67.018018, 74.428571, 72.861111, 70.438596, 72.095238, 68.232143, 72.833333, 69.693548, 74.632075, 70.603604, 76.074766, 67.240741, 70.07438, 72.483607, 70.461538, 72.035398, 72.99115, 76.577982, 67.491379, 74.850467, 67.034188, 78.064815, 68.009615, 70.990741, 71.364486, 66.530435, 75.219298, 77.19802, 69.149533, 72.527778, 61.181102, 81.268908, 74.681818, 71.559633, 69.713043, 76.392857, 71.405405, 70.192661, 94.326923, 68.215517, 66.868421, 81.04, 70.442478, 71.873786, 70.053571, 71.105769, 70.5, 68.743363, 72.772727, 71.37069, 74.201835, 66.435897, 56.786127, 105.168317, 70.314286, 72.230088, 68.716981, 76.676471, 67.373832, 74.320755, 74.820755, 69.420561, 72.774775, 67.435185, 72.311321, 68.264463, 81.609524, 70.605505, 72.46789, 72.537037, 71.741071, 72.924528, 66.508475, 74.316832, 68.991228, 72.830357, 72.733333, 69.348624, 74.0, 75.745455]",phi3
"[7706.0, 8198.0, 7664.0, 8005.0, 8408.0, 7646.0, 7793.0, 7902.0, 8066.0, 7667.0, 7439.0, 7815.0, 7869.0, 8030.0, 7570.0, 7642.0, 7866.0, 8642.0, 7911.0, 7837.0, 8140.0, 7262.0, 8479.0, 8843.0, 8244.0, 8140.0, 8248.0, 8347.0, 7829.0, 8009.0, 7843.0, 8431.0, 7073.0, 7667.0, 7636.0, 7651.0, 8575.0, 7797.0, 7399.0, 7833.0, 7770.0, 9671.0, 8215.0, 7800.0, 8017.0, 8556.0, 7926.0, 7651.0, 9810.0, 7913.0, 7623.0, 8104.0, 7960.0, 7403.0, 7846.0, 7395.0, 7614.0, 7768.0, 9606.0, 8279.0, 8088.0, 7773.0, 9824.0, 10622.0, 7383.0, 8162.0, 7284.0, 7821.0, 7209.0, 7878.0, 7931.0, 7428.0, 8078.0, 7283.0, 7665.0, 8260.0, 8569.0, 7696.0, 7899.0, 7834.0, 8035.0, 7730.0, 7848.0, 7506.0, 7865.0, 8157.0, 7637.0, 7559.0, 7770.0, 8332.0, 7573.0, 7433.0, 8058.0, 7231.0, 7816.0, 7727.0, 7783.0, 7996.0, 8809.0, 8239.0]","[71.351852, 71.912281, 67.823009, 69.008621, 77.137615, 70.146789, 68.964602, 79.02, 70.754386, 72.330189, 67.018018, 74.428571, 72.861111, 70.438596, 72.095238, 68.232143, 72.833333, 69.693548, 74.632075, 70.603604, 76.074766, 67.240741, 70.07438, 72.483607, 70.461538, 72.035398, 72.99115, 76.577982, 67.491379, 74.850467, 67.034188, 78.064815, 68.009615, 70.990741, 71.364486, 66.530435, 75.219298, 77.19802, 69.149533, 72.527778, 61.181102, 81.268908, 74.681818, 71.559633, 69.713043, 76.392857, 71.405405, 70.192661, 94.326923, 68.215517, 66.868421, 81.04, 70.442478, 71.873786, 70.053571, 71.105769, 70.5, 68.743363, 72.772727, 71.37069, 74.201835, 66.435897, 56.786127, 105.168317, 70.314286, 72.230088, 68.716981, 76.676471, 67.373832, 74.320755, 74.820755, 69.420561, 72.774775, 67.435185, 72.311321, 68.264463, 81.609524, 70.605505, 72.46789, 72.537037, 71.741071, 72.924528, 66.508475, 74.316832, 68.991228, 72.830357, 72.733333, 69.348624, 74.0, 75.745455, 70.12037, 70.122642, 76.018868, 66.953704, 72.37037, 71.546296, 65.957627, 76.884615, 67.244275, 78.466667]",phi3
"[7439.0, 7815.0, 7869.0, 8030.0, 7570.0, 7642.0, 7866.0, 8642.0, 7911.0, 7837.0, 8140.0, 7262.0, 8479.0, 8843.0, 8244.0, 8140.0, 8248.0, 8347.0, 7829.0, 8009.0, 7843.0, 8431.0, 7073.0, 7667.0, 7636.0, 7651.0, 8575.0, 7797.0, 7399.0, 7833.0, 7770.0, 9671.0, 8215.0, 7800.0, 8017.0, 8556.0, 7926.0, 7651.0, 9810.0, 7913.0, 7623.0, 8104.0, 7960.0, 7403.0, 7846.0, 7395.0, 7614.0, 7768.0, 9606.0, 8279.0, 8088.0, 7773.0, 9824.0, 10622.0, 7383.0, 8162.0, 7284.0, 7821.0, 7209.0, 7878.0, 7931.0, 7428.0, 8078.0, 7283.0, 7665.0, 8260.0, 8569.0, 7696.0, 7899.0, 7834.0, 8035.0, 7730.0, 7848.0, 7506.0, 7865.0, 8157.0, 7637.0, 7559.0, 7770.0, 8332.0, 7573.0, 7433.0, 8058.0, 7231.0, 7816.0, 7727.0, 7783.0, 7996.0, 8809.0, 8239.0, 8049.0, 7495.0, 7909.0, 7365.0, 7737.0, 7572.0, 7821.0, 8686.0, 7768.0, 7686.0]","[67.018018, 74.428571, 72.861111, 70.438596, 72.095238, 68.232143, 72.833333, 69.693548, 74.632075, 70.603604, 76.074766, 67.240741, 70.07438, 72.483607, 70.461538, 72.035398, 72.99115, 76.577982, 67.491379, 74.850467, 67.034188, 78.064815, 68.009615, 70.990741, 71.364486, 66.530435, 75.219298, 77.19802, 69.149533, 72.527778, 61.181102, 81.268908, 74.681818, 71.559633, 69.713043, 76.392857, 71.405405, 70.192661, 94.326923, 68.215517, 66.868421, 81.04, 70.442478, 71.873786, 70.053571, 71.105769, 70.5, 68.743363, 72.772727, 71.37069, 74.201835, 66.435897, 56.786127, 105.168317, 70.314286, 72.230088, 68.716981, 76.676471, 67.373832, 74.320755, 74.820755, 69.420561, 72.774775, 67.435185, 72.311321, 68.264463, 81.609524, 70.605505, 72.46789, 72.537037, 71.741071, 72.924528, 66.508475, 74.316832, 68.991228, 72.830357, 72.733333, 69.348624, 74.0, 75.745455, 70.12037, 70.122642, 76.018868, 66.953704, 72.37037, 71.546296, 65.957627, 76.884615, 67.244275, 78.466667, 74.527778, 68.761468, 76.048077, 68.831776, 70.981651, 71.433962, 70.459459, 76.192982, 68.140351, 71.166667]",phi3
"[8140.0, 7262.0, 8479.0, 8843.0, 8244.0, 8140.0, 8248.0, 8347.0, 7829.0, 8009.0, 7843.0, 8431.0, 7073.0, 7667.0, 7636.0, 7651.0, 8575.0, 7797.0, 7399.0, 7833.0, 7770.0, 9671.0, 8215.0, 7800.0, 8017.0, 8556.0, 7926.0, 7651.0, 9810.0, 7913.0, 7623.0, 8104.0, 7960.0, 7403.0, 7846.0, 7395.0, 7614.0, 7768.0, 9606.0, 8279.0, 8088.0, 7773.0, 9824.0, 10622.0, 7383.0, 8162.0, 7284.0, 7821.0, 7209.0, 7878.0, 7931.0, 7428.0, 8078.0, 7283.0, 7665.0, 8260.0, 8569.0, 7696.0, 7899.0, 7834.0, 8035.0, 7730.0, 7848.0, 7506.0, 7865.0, 8157.0, 7637.0, 7559.0, 7770.0, 8332.0, 7573.0, 7433.0, 8058.0, 7231.0, 7816.0, 7727.0, 7783.0, 7996.0, 8809.0, 8239.0, 8049.0, 7495.0, 7909.0, 7365.0, 7737.0, 7572.0, 7821.0, 8686.0, 7768.0, 7686.0, 7844.0, 7589.0, 7878.0, 7623.0, 7410.0, 7777.0, 8398.0, 10465.0, 8563.0, 8311.0]","[76.074766, 67.240741, 70.07438, 72.483607, 70.461538, 72.035398, 72.99115, 76.577982, 67.491379, 74.850467, 67.034188, 78.064815, 68.009615, 70.990741, 71.364486, 66.530435, 75.219298, 77.19802, 69.149533, 72.527778, 61.181102, 81.268908, 74.681818, 71.559633, 69.713043, 76.392857, 71.405405, 70.192661, 94.326923, 68.215517, 66.868421, 81.04, 70.442478, 71.873786, 70.053571, 71.105769, 70.5, 68.743363, 72.772727, 71.37069, 74.201835, 66.435897, 56.786127, 105.168317, 70.314286, 72.230088, 68.716981, 76.676471, 67.373832, 74.320755, 74.820755, 69.420561, 72.774775, 67.435185, 72.311321, 68.264463, 81.609524, 70.605505, 72.46789, 72.537037, 71.741071, 72.924528, 66.508475, 74.316832, 68.991228, 72.830357, 72.733333, 69.348624, 74.0, 75.745455, 70.12037, 70.122642, 76.018868, 66.953704, 72.37037, 71.546296, 65.957627, 76.884615, 67.244275, 78.466667, 74.527778, 68.761468, 76.048077, 68.831776, 70.981651, 71.433962, 70.459459, 76.192982, 68.140351, 71.166667, 74.0, 71.59434, 71.618182, 69.93578, 72.647059, 70.7, 72.396552, 70.709459, 72.567797, 71.034188]",phi3
"[7843.0, 8431.0, 7073.0, 7667.0, 7636.0, 7651.0, 8575.0, 7797.0, 7399.0, 7833.0, 7770.0, 9671.0, 8215.0, 7800.0, 8017.0, 8556.0, 7926.0, 7651.0, 9810.0, 7913.0, 7623.0, 8104.0, 7960.0, 7403.0, 7846.0, 7395.0, 7614.0, 7768.0, 9606.0, 8279.0, 8088.0, 7773.0, 9824.0, 10622.0, 7383.0, 8162.0, 7284.0, 7821.0, 7209.0, 7878.0, 7931.0, 7428.0, 8078.0, 7283.0, 7665.0, 8260.0, 8569.0, 7696.0, 7899.0, 7834.0, 8035.0, 7730.0, 7848.0, 7506.0, 7865.0, 8157.0, 7637.0, 7559.0, 7770.0, 8332.0, 7573.0, 7433.0, 8058.0, 7231.0, 7816.0, 7727.0, 7783.0, 7996.0, 8809.0, 8239.0, 8049.0, 7495.0, 7909.0, 7365.0, 7737.0, 7572.0, 7821.0, 8686.0, 7768.0, 7686.0, 7844.0, 7589.0, 7878.0, 7623.0, 7410.0, 7777.0, 8398.0, 10465.0, 8563.0, 8311.0, 8387.0, 7560.0, 8344.0, 7772.0, 7752.0, 8297.0, 8690.0, 7733.0, 7553.0, 7846.0]","[67.034188, 78.064815, 68.009615, 70.990741, 71.364486, 66.530435, 75.219298, 77.19802, 69.149533, 72.527778, 61.181102, 81.268908, 74.681818, 71.559633, 69.713043, 76.392857, 71.405405, 70.192661, 94.326923, 68.215517, 66.868421, 81.04, 70.442478, 71.873786, 70.053571, 71.105769, 70.5, 68.743363, 72.772727, 71.37069, 74.201835, 66.435897, 56.786127, 105.168317, 70.314286, 72.230088, 68.716981, 76.676471, 67.373832, 74.320755, 74.820755, 69.420561, 72.774775, 67.435185, 72.311321, 68.264463, 81.609524, 70.605505, 72.46789, 72.537037, 71.741071, 72.924528, 66.508475, 74.316832, 68.991228, 72.830357, 72.733333, 69.348624, 74.0, 75.745455, 70.12037, 70.122642, 76.018868, 66.953704, 72.37037, 71.546296, 65.957627, 76.884615, 67.244275, 78.466667, 74.527778, 68.761468, 76.048077, 68.831776, 70.981651, 71.433962, 70.459459, 76.192982, 68.140351, 71.166667, 74.0, 71.59434, 71.618182, 69.93578, 72.647059, 70.7, 72.396552, 70.709459, 72.567797, 71.034188, 79.87619, 68.108108, 74.5, 71.962963, 65.694915, 76.119266, 75.565217, 74.355769, 69.935185, 74.72381]",phi3
"[7770.0, 9671.0, 8215.0, 7800.0, 8017.0, 8556.0, 7926.0, 7651.0, 9810.0, 7913.0, 7623.0, 8104.0, 7960.0, 7403.0, 7846.0, 7395.0, 7614.0, 7768.0, 9606.0, 8279.0, 8088.0, 7773.0, 9824.0, 10622.0, 7383.0, 8162.0, 7284.0, 7821.0, 7209.0, 7878.0, 7931.0, 7428.0, 8078.0, 7283.0, 7665.0, 8260.0, 8569.0, 7696.0, 7899.0, 7834.0, 8035.0, 7730.0, 7848.0, 7506.0, 7865.0, 8157.0, 7637.0, 7559.0, 7770.0, 8332.0, 7573.0, 7433.0, 8058.0, 7231.0, 7816.0, 7727.0, 7783.0, 7996.0, 8809.0, 8239.0, 8049.0, 7495.0, 7909.0, 7365.0, 7737.0, 7572.0, 7821.0, 8686.0, 7768.0, 7686.0, 7844.0, 7589.0, 7878.0, 7623.0, 7410.0, 7777.0, 8398.0, 10465.0, 8563.0, 8311.0, 8387.0, 7560.0, 8344.0, 7772.0, 7752.0, 8297.0, 8690.0, 7733.0, 7553.0, 7846.0, 7961.0, 7524.0, 9359.0, 7955.0, 7475.0, 7927.0, 8110.0, 7685.0, 10093.0, 7430.0]","[61.181102, 81.268908, 74.681818, 71.559633, 69.713043, 76.392857, 71.405405, 70.192661, 94.326923, 68.215517, 66.868421, 81.04, 70.442478, 71.873786, 70.053571, 71.105769, 70.5, 68.743363, 72.772727, 71.37069, 74.201835, 66.435897, 56.786127, 105.168317, 70.314286, 72.230088, 68.716981, 76.676471, 67.373832, 74.320755, 74.820755, 69.420561, 72.774775, 67.435185, 72.311321, 68.264463, 81.609524, 70.605505, 72.46789, 72.537037, 71.741071, 72.924528, 66.508475, 74.316832, 68.991228, 72.830357, 72.733333, 69.348624, 74.0, 75.745455, 70.12037, 70.122642, 76.018868, 66.953704, 72.37037, 71.546296, 65.957627, 76.884615, 67.244275, 78.466667, 74.527778, 68.761468, 76.048077, 68.831776, 70.981651, 71.433962, 70.459459, 76.192982, 68.140351, 71.166667, 74.0, 71.59434, 71.618182, 69.93578, 72.647059, 70.7, 72.396552, 70.709459, 72.567797, 71.034188, 79.87619, 68.108108, 74.5, 71.962963, 65.694915, 76.119266, 75.565217, 74.355769, 69.935185, 74.72381, 73.712963, 67.178571, 76.089431, 70.39823, 64.439655, 73.398148, 76.509434, 69.863636, 92.59633, 69.439252]",phi3
"[7623.0, 8104.0, 7960.0, 7403.0, 7846.0, 7395.0, 7614.0, 7768.0, 9606.0, 8279.0, 8088.0, 7773.0, 9824.0, 10622.0, 7383.0, 8162.0, 7284.0, 7821.0, 7209.0, 7878.0, 7931.0, 7428.0, 8078.0, 7283.0, 7665.0, 8260.0, 8569.0, 7696.0, 7899.0, 7834.0, 8035.0, 7730.0, 7848.0, 7506.0, 7865.0, 8157.0, 7637.0, 7559.0, 7770.0, 8332.0, 7573.0, 7433.0, 8058.0, 7231.0, 7816.0, 7727.0, 7783.0, 7996.0, 8809.0, 8239.0, 8049.0, 7495.0, 7909.0, 7365.0, 7737.0, 7572.0, 7821.0, 8686.0, 7768.0, 7686.0, 7844.0, 7589.0, 7878.0, 7623.0, 7410.0, 7777.0, 8398.0, 10465.0, 8563.0, 8311.0, 8387.0, 7560.0, 8344.0, 7772.0, 7752.0, 8297.0, 8690.0, 7733.0, 7553.0, 7846.0, 7961.0, 7524.0, 9359.0, 7955.0, 7475.0, 7927.0, 8110.0, 7685.0, 10093.0, 7430.0, 7900.0, 7804.0, 7931.0, 8669.0, 7442.0, 8281.0, 7571.0, 7440.0, 7551.0, 7409.0]","[66.868421, 81.04, 70.442478, 71.873786, 70.053571, 71.105769, 70.5, 68.743363, 72.772727, 71.37069, 74.201835, 66.435897, 56.786127, 105.168317, 70.314286, 72.230088, 68.716981, 76.676471, 67.373832, 74.320755, 74.820755, 69.420561, 72.774775, 67.435185, 72.311321, 68.264463, 81.609524, 70.605505, 72.46789, 72.537037, 71.741071, 72.924528, 66.508475, 74.316832, 68.991228, 72.830357, 72.733333, 69.348624, 74.0, 75.745455, 70.12037, 70.122642, 76.018868, 66.953704, 72.37037, 71.546296, 65.957627, 76.884615, 67.244275, 78.466667, 74.527778, 68.761468, 76.048077, 68.831776, 70.981651, 71.433962, 70.459459, 76.192982, 68.140351, 71.166667, 74.0, 71.59434, 71.618182, 69.93578, 72.647059, 70.7, 72.396552, 70.709459, 72.567797, 71.034188, 79.87619, 68.108108, 74.5, 71.962963, 65.694915, 76.119266, 75.565217, 74.355769, 69.935185, 74.72381, 73.712963, 67.178571, 76.089431, 70.39823, 64.439655, 73.398148, 76.509434, 69.863636, 92.59633, 69.439252, 73.831776, 69.678571, 74.121495, 76.716814, 64.155172, 78.122642, 71.424528, 68.256881, 72.605769, 72.637255]",phi3
"[8088.0, 7773.0, 9824.0, 10622.0, 7383.0, 8162.0, 7284.0, 7821.0, 7209.0, 7878.0, 7931.0, 7428.0, 8078.0, 7283.0, 7665.0, 8260.0, 8569.0, 7696.0, 7899.0, 7834.0, 8035.0, 7730.0, 7848.0, 7506.0, 7865.0, 8157.0, 7637.0, 7559.0, 7770.0, 8332.0, 7573.0, 7433.0, 8058.0, 7231.0, 7816.0, 7727.0, 7783.0, 7996.0, 8809.0, 8239.0, 8049.0, 7495.0, 7909.0, 7365.0, 7737.0, 7572.0, 7821.0, 8686.0, 7768.0, 7686.0, 7844.0, 7589.0, 7878.0, 7623.0, 7410.0, 7777.0, 8398.0, 10465.0, 8563.0, 8311.0, 8387.0, 7560.0, 8344.0, 7772.0, 7752.0, 8297.0, 8690.0, 7733.0, 7553.0, 7846.0, 7961.0, 7524.0, 9359.0, 7955.0, 7475.0, 7927.0, 8110.0, 7685.0, 10093.0, 7430.0, 7900.0, 7804.0, 7931.0, 8669.0, 7442.0, 8281.0, 7571.0, 7440.0, 7551.0, 7409.0, 7444.0, 8269.0, 7793.0, 7457.0, 8242.0, 7576.0, 7996.0, 8875.0, 7670.0, 7327.0]","[74.201835, 66.435897, 56.786127, 105.168317, 70.314286, 72.230088, 68.716981, 76.676471, 67.373832, 74.320755, 74.820755, 69.420561, 72.774775, 67.435185, 72.311321, 68.264463, 81.609524, 70.605505, 72.46789, 72.537037, 71.741071, 72.924528, 66.508475, 74.316832, 68.991228, 72.830357, 72.733333, 69.348624, 74.0, 75.745455, 70.12037, 70.122642, 76.018868, 66.953704, 72.37037, 71.546296, 65.957627, 76.884615, 67.244275, 78.466667, 74.527778, 68.761468, 76.048077, 68.831776, 70.981651, 71.433962, 70.459459, 76.192982, 68.140351, 71.166667, 74.0, 71.59434, 71.618182, 69.93578, 72.647059, 70.7, 72.396552, 70.709459, 72.567797, 71.034188, 79.87619, 68.108108, 74.5, 71.962963, 65.694915, 76.119266, 75.565217, 74.355769, 69.935185, 74.72381, 73.712963, 67.178571, 76.089431, 70.39823, 64.439655, 73.398148, 76.509434, 69.863636, 92.59633, 69.439252, 73.831776, 69.678571, 74.121495, 76.716814, 64.155172, 78.122642, 71.424528, 68.256881, 72.605769, 72.637255, 70.895238, 78.009434, 70.207207, 66.580357, 73.589286, 70.148148, 68.931034, 78.539823, 70.366972, 71.833333]",phi3
"[7931.0, 7428.0, 8078.0, 7283.0, 7665.0, 8260.0, 8569.0, 7696.0, 7899.0, 7834.0, 8035.0, 7730.0, 7848.0, 7506.0, 7865.0, 8157.0, 7637.0, 7559.0, 7770.0, 8332.0, 7573.0, 7433.0, 8058.0, 7231.0, 7816.0, 7727.0, 7783.0, 7996.0, 8809.0, 8239.0, 8049.0, 7495.0, 7909.0, 7365.0, 7737.0, 7572.0, 7821.0, 8686.0, 7768.0, 7686.0, 7844.0, 7589.0, 7878.0, 7623.0, 7410.0, 7777.0, 8398.0, 10465.0, 8563.0, 8311.0, 8387.0, 7560.0, 8344.0, 7772.0, 7752.0, 8297.0, 8690.0, 7733.0, 7553.0, 7846.0, 7961.0, 7524.0, 9359.0, 7955.0, 7475.0, 7927.0, 8110.0, 7685.0, 10093.0, 7430.0, 7900.0, 7804.0, 7931.0, 8669.0, 7442.0, 8281.0, 7571.0, 7440.0, 7551.0, 7409.0, 7444.0, 8269.0, 7793.0, 7457.0, 8242.0, 7576.0, 7996.0, 8875.0, 7670.0, 7327.0, 7623.0, 7520.0, 7804.0, 8047.0, 7593.0, 7478.0, 7879.0, 8450.0, 7408.0, 7633.0]","[74.820755, 69.420561, 72.774775, 67.435185, 72.311321, 68.264463, 81.609524, 70.605505, 72.46789, 72.537037, 71.741071, 72.924528, 66.508475, 74.316832, 68.991228, 72.830357, 72.733333, 69.348624, 74.0, 75.745455, 70.12037, 70.122642, 76.018868, 66.953704, 72.37037, 71.546296, 65.957627, 76.884615, 67.244275, 78.466667, 74.527778, 68.761468, 76.048077, 68.831776, 70.981651, 71.433962, 70.459459, 76.192982, 68.140351, 71.166667, 74.0, 71.59434, 71.618182, 69.93578, 72.647059, 70.7, 72.396552, 70.709459, 72.567797, 71.034188, 79.87619, 68.108108, 74.5, 71.962963, 65.694915, 76.119266, 75.565217, 74.355769, 69.935185, 74.72381, 73.712963, 67.178571, 76.089431, 70.39823, 64.439655, 73.398148, 76.509434, 69.863636, 92.59633, 69.439252, 73.831776, 69.678571, 74.121495, 76.716814, 64.155172, 78.122642, 71.424528, 68.256881, 72.605769, 72.637255, 70.895238, 78.009434, 70.207207, 66.580357, 73.589286, 70.148148, 68.931034, 78.539823, 70.366972, 71.833333, 73.298077, 73.009709, 72.934579, 70.587719, 75.93, 68.605505, 72.284404, 73.478261, 71.230769, 66.95614]",phi3
