l2_rqsts.demand_data_rd_miss
1324
1295
1295
1296
1318
1334
1324
1332
1394
1316
1411
1395
1343
1384
1309
1313
1344
1296
1296
1331
1300
1425
1407
1354
1376
1345
1376
1295
1346
1316
1421
1381
1318
1388
1372
1354
1319
1326
1306
1406
1338
1324
1304
1353
1352
1296
1412
1310
1311
1329
1366
1371
1331
1315
1359
1402
1309
1413
1353
1428
1362
1401
1424
1392
1428
1371
1347
1387
