br_misp_retired.cond_taken
222
236
230
233
239
227
224
237
225
220
222
239
239
220
240
241
235
230
230
222
240
230
234
230
237
220
240
237
237
231
236
225
223
240
230
232
235
230
237
241
222
230
227
220
221
222
234
225
235
236
237
240
226
227
234
230
220
241
229
227
233
222
230
235
241
227
220
230
232
240
225
222
241
222
241
230
240
222
225
236
237
235
232
232
240
235
220
222
220
224
236
241
239
237
227
229
227
237
230
227
233
227
233
222
225
229
227
222
222
227
220
219
231
222
227
232
225
220
225
237
231
223
228
219
237
222
240
234
236
237
221
241
236
225
235
231
234
240
235
228
233
233
235
224
223
232
222
232
227
241
227
240
227
240
227
224
231
227
240
232
220
239
236
227
240
235
223
227
232
225
227
233
222
226
224
221
240
241
224
241
230
227
223
219
235
240
225
219
235
230
240
225
237
229
225
229
237
225
237
240
230
222
230
237
240
235
226
235
230
235
233
238
227
240
234
219
222
236
222
230
221
233
237
227
236
229
241
238
235
237
240
237
240
235
232
220
234
240
227
226
232
241
227
227
241
225
224
230
235
237
238
225
240
237
234
240
235
227
222
227
222
227
220
235
232
240
225
219
226
234
232
235
238
227
237
237
227
229
235
235
235
241
240
235
240
231
221
237
235
219
240
228
223
232
237
231
239
238
227
224
220
235
237
228
