decode.lcp,dsb2mite_switches.penalty_cycles,frontend_retired.any_dsb_miss,frontend_retired.dsb_miss,frontend_retired.itlb_miss,frontend_retired.l1i_miss,frontend_retired.l2_miss,frontend_retired.latency_ge_1,frontend_retired.latency_ge_128,frontend_retired.latency_ge_16,frontend_retired.latency_ge_2,frontend_retired.latency_ge_256,frontend_retired.latency_ge_2_bubbles_ge_1,frontend_retired.latency_ge_32,frontend_retired.latency_ge_4,frontend_retired.latency_ge_512,frontend_retired.latency_ge_64,frontend_retired.latency_ge_8,frontend_retired.stlb_miss,frontend_retired.unknown_branch,icache_data.stalls,icache_tag.stalls,idq.dsb_cycles_any,idq.dsb_cycles_ok,idq.dsb_uops,idq.mite_cycles_any,idq.mite_cycles_ok,idq.mite_uops,idq.ms_cycles_any,idq.ms_switches,idq.ms_uops,idq_uops_not_delivered.core,idq_uops_not_delivered.cycles_0_uops_deliv.core,idq_uops_not_delivered.cycles_fe_was_ok
27172,133288,4445797,2088002,102870,967472,0,663994,0,44219,361976,59,2113593,4619,140135,0,0,105236,0,14286,1268944,2109865,310286,144186,4427756,8168775,1367259,28526730,2479778,683364,6859163,45299377,3948087,23369955
27243,121679,4504180,2129807,100174,965822,0,671026,0,42386,421138,0,2090613,3906,139874,0,29,110740,0,13916,1254422,2076976,307921,150568,1663400,8165226,1371334,28553658,2459046,678034,6776967,44016490,3872026,22750125
27489,128296,4444705,2123138,97472,933175,0,659484,0,43446,354601,30,2099681,3946,139479,0,0,106876,0,13355,1317202,1991266,310770,137868,1653765,8145101,1364836,28592579,2477453,681067,6798422,44998907,3922242,23130418
27027,119505,4447907,2082389,96817,978286,0,682751,60,44577,370407,0,2106550,3354,135923,0,0,105409,421,16206,1279964,2105074,308777,146490,1668690,8101918,1355218,28447768,2462193,680357,6808650,43913160,3831953,22642510
27904,133840,4411237,2060763,103342,965553,0,668393,29,43912,363873,30,2448574,4268,142181,0,60,105149,0,14002,1273708,2070827,304022,151975,1718950,8170263,1367630,28542000,2458554,679746,6804641,43839529,3822219,23154626
26628,116821,4507117,2095035,101325,988838,0,676770,0,44381,365436,0,2083082,4082,139164,0,90,102412,0,13806,1278658,2161664,834933,337256,1693688,8182545,1365623,28713171,2482265,681728,6814924,43704401,3798145,22590753
27198,120710,4452592,2073450,100360,1001635,0,868875,89,42954,366402,0,2115421,6576,141924,0,0,104830,0,14079,1305855,2100129,316341,147187,1699842,7999652,1352077,28247420,2438627,677423,6790202,43949221,3867066,22729721
26681,128423,4467782,2071939,100954,987856,0,680155,0,43776,372049,0,2070602,4533,143558,0,0,104814,0,15009,1273456,2106289,364470,168147,1788409,8172781,1360198,28447176,2466279,679530,6772102,43848243,3847095,23174341
27041,121759,4459033,2096242,99051,953886,0,654953,0,44029,366594,29,2109276,5781,146334,0,0,104485,0,13981,1305259,2182605,847730,342770,1657001,8174472,1374153,28516924,2471890,682680,6813393,43785111,3830002,22943602
27530,143589,4511415,2115608,98737,991003,0,863633,30,43010,373247,30,2094954,4122,139089,0,0,104160,0,17046,1324424,2099270,308421,153902,1712501,8195399,1377610,28749317,2495231,687942,6872175,44021857,3844943,22863585
