cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any,br_misp_retired.all_branches
14634453,1329202,21146858,13795000,3906952,76763941,7138877,7838949,28599,438575,10695956,27035727,115722
14257044,1305322,20858383,13607940,3776153,76454228,7316343,8035823,14501,418117,10199060,25107202,114104
14112557,1316319,20627458,13502285,3774103,76622024,7342332,8061938,18498,440886,10716804,25763219,113536
14588288,1311961,20812881,13594938,3670433,76615173,7387627,8248052,21422,424128,10641982,26378133,114366
14459149,1334398,20819625,13595803,3753985,76103942,6891926,7595672,17410,426183,10668868,26554427,114033
14333282,1301613,20733158,13552674,3772851,75849851,7319286,8038771,17123,423936,10135938,25608613,111783
14121966,1343729,20904590,13643977,3903689,76829386,7538454,8251474,20365,440971,10716236,25789366,114982
14365471,1348646,20563204,13473391,3539162,76160993,7115186,8049612,18610,441807,10710658,26475076,112708
14555335,1369478,20998280,13668521,3888030,76021558,7112162,7607451,49101,451387,10871707,26963365,112022
14395658,1302514,20765836,13577451,3763073,76257308,7303657,8016888,16663,425559,10184861,25691546,111601
14100070,1248471,20797213,13579691,3780353,76413545,7355124,8077156,15918,418593,10428511,25134767,110832
14435853,1322974,20658223,13533003,3658084,76834638,7337047,8250934,19990,440240,10898932,27036823,115385
14418210,1296958,20801724,13591351,3752796,76334919,7099870,7603243,23422,426652,10692180,26471229,114645
14378411,1293985,20809748,13598046,3766799,76501319,7317923,8029635,14998,416375,10230887,25689450,113436
14310139,1337573,20725984,13688504,3771611,76913521,7502655,8211626,21010,426919,10689475,25707556,115759
16209911,5083741,23612047,15769108,4158229,83073433,8380793,8874984,546300,853668,11557823,28552201,123923
14625249,1427933,21123390,13786928,3760992,76308660,7096388,7813032,85262,491251,10952377,26935496,115024
14567522,1580915,21038379,13856595,3763107,76611049,7285640,7993189,169069,573018,10453109,25742001,116005
14125904,1411046,20659368,13669809,3756931,76428253,7328323,8046447,89161,490896,10511730,24912135,114264
14427745,1609585,20839452,13674102,3649756,76596185,7302314,8006944,182412,578410,10877424,26395719,115348
14677627,1527375,21168768,13908791,3654364,77002774,6906573,7828856,144181,551752,10904599,26564192,117836
14601467,1411323,21060832,13829137,3770484,77298745,7335532,7831603,133656,510448,10558371,25706751,116794
14545591,1504339,21194332,14037110,3878664,77713653,7495936,8212671,132496,534533,10666976,25106809,119260
14449003,1427194,20880358,13702711,3653279,76985779,7313174,8026121,92705,491345,10766744,26406400,117360
14696964,1570463,21256060,14016643,3666252,77376751,6915915,7847001,169563,574392,10871926,26359109,119059
14704380,1366561,21207165,13876433,3746084,77238401,7288292,8022612,68849,452970,10748585,26475697,118004
14406925,1434736,21039888,13832203,3768230,77227506,7326275,8044644,82561,492790,10550499,25043147,116066
14529250,1333018,20760919,13680224,3640114,77025732,7509915,8237833,49403,455002,10934377,26384781,117752
14661203,1406457,21162269,13936934,3708969,77679159,6914605,7722350,99743,503121,10846454,26497570,119488
14678737,1569914,21258317,14008875,3779846,77569700,7328415,7834727,151504,551772,10654626,25715104,119671
14534173,1428397,21140182,13894112,3766349,77630975,7301427,8025486,89765,495137,10604475,25121824,119657
15340243,3704847,22882961,15801286,4169334,83802134,8448088,9226363,1029363,1337527,11994810,26007984,118308
14716831,1454801,21254110,13799124,3770019,76644967,7124855,7845194,121001,520618,11015970,27058774,115934
14514640,1481876,20953498,13747604,3752809,76418090,7286540,8012857,130950,522679,10343973,25728909,113474
