cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any,br_misp_retired.all_branches
14245066,1285999,20812332,13575738,3802642,76178508,7354068,8080608,20701,420716,10559091,25169304,107302
14215096,1249140,20384564,13466982,3679965,76129998,7367779,8091213,12090,414410,10800870,25892810,107505
14552938,1265088,20783620,13470135,3607054,76156382,7373755,8213066,23757,432907,10983606,27174061,108021
14393082,1265432,20784419,13529322,3791537,75952750,6956820,7671345,24948,429881,10825043,26681777,107651
14385683,1252493,20761237,13529942,3797666,76325254,7382383,8104701,23080,424163,10354215,25851412,108175
14073537,1244957,20786916,13534207,3916024,76564554,7567853,8273746,17269,425797,10789043,25913867,107434
14397906,1297000,20595883,13456896,3578894,76399860,7175241,8125108,31382,435923,10793629,26645984,106069
14549912,1383046,21020133,13681736,3795614,76185678,7149832,7870283,84475,486246,11038758,27056605,108184
14417470,1274699,20804174,13539014,3779652,76526225,7325309,8051651,21305,419201,10350390,25974277,110007
14090211,1227693,20767808,13492679,3802455,76462459,7405176,8130075,16390,419290,10565628,25286398,107786
14469460,1311732,20645557,13476610,3687301,76502028,7396275,8328048,12129,432259,11028808,27328675,109048
14402912,1281014,20784349,13513064,3792719,76294416,7175103,7692126,22831,428261,10799641,26721753,107866
14506209,1238063,20949223,13635788,3807686,76870892,7388859,8117459,13611,425240,10374742,25987211,111222
14217631,1307329,20945342,13732508,3924230,76918469,7564145,8278642,19419,431563,10821820,25307570,110383
15231201,3510450,22893174,15561597,4204159,83799384,8467703,9273296,919832,1271213,11979664,26907395,112252
14707088,1520811,21230856,13838811,3804721,76347254,7175747,7901799,167103,568676,11179165,27218614,109780
14582253,1441462,21004000,13701111,3803612,76790352,7373352,8097095,105593,518355,10523691,26070549,110390
14220236,1474366,20754806,13685419,3779212,76182871,7337919,8060374,151735,562030,10750243,25234001,110593
14407576,1416731,20817959,13513504,3694198,76797890,7405322,8119051,101076,522044,10937255,26693383,111415
14533034,1378373,21004662,13754803,3680462,76583512,6940481,7868251,76409,491234,10861460,26664707,110760
14449519,1366325,20867754,13615093,3805273,76259898,7383942,7886440,92274,499906,10643976,25903604,107265
14399472,1453269,20966833,13784776,3907842,76692935,7538215,8250043,136769,531391,10723431,25202388,109699
14325637,1413705,20716286,13489460,3679892,76338045,7395158,8126183,124368,531696,10927072,26619313,108103
14467411,1362395,20858516,13627199,3668832,76290532,6925457,7850662,92005,493256,10807773,26456270,109612
