br_inst_retired.near_call
42140
42160
42062
40583
39434
41000
38529
40505
39838
39155
41097
39947
41709
40798
39728
41384
41755
39486
42247
41252
42320
39607
39864
39193
39696
41567
40796
38741
39443
38435
38716
40427
40013
39797
40431
41629
40343
39530
38462
39731
40924
39141
42227
42110
40207
39535
41795
41337
42087
39343
41326
40402
41763
41048
41263
39201
39776
41593
38992
38813
39506
38465
38997
39866
39493
39567
40169
41236
39045
38478
40369
42440
38742
41890
40040
42446
40070
38452
38740
39520
41145
41792
40663
40615
40847
41751
38466
42371
41707
40090
40464
39710
39588
38628
38906
41052
40310
40887
38691
39718
40064
39943
38596
40094
40523
38619
41948
40313
42423
