cycle_activity.cycles_l2_miss
15449
16405
16710
15761
15508
15651
15598
15629
15442
16085
15388
16620
15430
16055
16932
16602
16938
16037
16097
16187
15779
16413
16920
15719
16179
16559
15995
15863
16901
15514
16631
15565
16091
15983
16938
15442
15887
15616
15587
16529
16075
15521
16444
16735
15835
16199
16289
15936
15690
16553
16457
16920
15646
15362
16823
16324
15591
15598
16169
16884
16728
15520
15569
16470
15765
16367
16467
15920
15803
15456
16638
16836
15929
16710
15966
16892
16007
16578
16598
16343
16247
16205
16607
15370
16400
16686
16260
16078
15567
16692
16337
16073
16345
15743
15863
15581
15734
16529
16554
16121
16244
16235
16644
16013
15580
15817
15599
16756
15484
16854
15850
16061
15689
16043
16338
16508
16529
16746
15976
16902
15689
16608
16812
16139
16734
15803
16704
16850
16403
15959
15719
15857
15582
16495
15400
16037
16849
16106
16343
16325
16337
16428
15677
16169
15899
15438
15941
16229
15593
16560
16119
