cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any,br_misp_retired.all_branches
14332806,1522960,20998864,13879230,3923264,77430096,7582443,8299067,131370,541698,10874550,25938639,114641
14660535,1438386,21184808,13778886,3565687,77575981,7163334,8087604,51408,478038,10828465,26607818,118951
14725008,1417938,21263037,13833637,3904909,77406861,7361071,7860304,64847,479411,10806836,27079502,117178
14665748,1558503,21173909,13836874,3794240,76807501,7344919,8066392,143333,555215,10445740,25930214,113377
14400911,1548486,21029829,13886034,3795426,77404247,7389091,8124635,168661,579016,10755064,25324939,115727
14621831,1450412,21151483,13731755,3700830,77553489,7410993,8343135,100883,523197,11113944,27247008,115804
14768607,1570544,21347613,13933641,3807854,77881640,7192285,7719289,162366,570362,11041689,26807229,117874
14810054,1519581,21366028,13932760,3903208,77921744,7584295,8310247,83974,498830,10384328,25921884,117100
14481435,1599096,21123965,13966873,3809689,78072201,7400195,8121060,167632,584531,11013553,25389730,117812
14550068,1459446,20993976,13668908,3678363,77727038,7373570,8104584,90311,505207,10937576,26785737,115138
14841488,1550115,21471319,14008459,3801086,77959246,7174090,7894571,158395,573974,11214039,27161323,117268
14770111,1604952,21315047,13897648,3804295,77934711,7374526,8102912,127973,536067,10514075,25448515,116131
14381727,1530607,21002692,13870679,3793182,77436918,7395961,8143457,145103,561965,10937799,25247192,114016
14750617,1465401,21096005,13702678,3690283,77515000,7597194,8122298,81420,499769,11061197,27232769,115001
15796827,3674747,23644220,15990555,4201956,84279434,8047188,9053951,948409,1260785,11909987,26870698,119363
14814396,1583562,21418134,13960197,3905412,77740819,7460269,8112885,158603,570393,10694874,26497023,117045
14295239,1443430,21121704,13770867,3800476,77404140,7356250,8067373,78622,492357,10614701,25281793,116019
14397842,1384743,20578831,13471093,3667890,76987222,7350508,8081350,61051,473599,10785281,26579267,113785
14577724,1359340,21100225,13737191,3690218,77319224,6964723,7903370,19527,441192,10773624,26560851,116280
14535406,1308132,21032274,13680284,3791190,77569402,7344653,7858832,8497,410261,10550698,26682253,116154
14390027,1315168,21020495,13677279,3791751,77889115,7396836,8128797,8451,430975,10342665,25204082,115276
14369331,1296350,20564038,13577863,3802123,77740096,7571256,8288783,14164,421886,10964148,26524928,113722
14716696,1311295,21258628,13837034,3690628,78009486,6992242,7919676,10007,429087,10887381,26777323,118506
14733170,1376912,21279779,13884484,3806803,78615205,7382736,7880560,27854,443773,10607450,26586846,120751
