mem_inst_retired.all_loads
178573
180497
178947
181634
179082
177988
179670
182789
181831
188717
186673
180095
178989
179536
186446
179833
189198
192267
184613
181937
193120
187227
185944
182808
184156
178029
187392
192861
187045
191562
191243
190904
192275
194367
190943
186109
190521
189014
189383
189534
188785
187811
186533
189968
194271
188007
187119
188014
192208
187726
192202
191794
187576
193787
186738
186618
184975
184692
191167
189311
185493
180355
186242
192857
192109
190258
187078
187549
186684
184824
193458
193005
188228
190777
192106
193058
191015
191323
188285
182556
178040
184273
183110
181393
178370
185519
188524
184045
184678
179285
188726
189599
186266
184226
183108
179634
181794
180733
180282
179548
183008
183365
188451
179316
180319
181765
185801
189256
184000
180731
180303
184590
184657
189533
177806
178334
186603
193080
185597
183394
184230
184244
184458
186389
187414
191802
191029
187409
192703
191480
184823
187239
191486
189700
184721
190056
192755
191896
191370
191164
189528
185550
185247
186542
190355
191857
193589
186854
183324
185106
192576
186396
189857
191375
190922
191772
192882
194082
190196
190867
191431
192380
187605
187016
189246
185602
189710
188698
192965
185065
194225
190232
187940
188262
191082
194392
192635
187227
192136
188019
186802
192134
192688
192376
186730
186881
189906
185827
191051
189874
191268
191649
191377
189716
185912
193250
190108
192897
179197
179653
194484
181113
177933
179326
185328
191198
188459
176697
185888
183077
178847
182515
184617
177829
181556
185093
184010
183745
177553
178498
187577
183516
187613
183227
181394
180063
188759
176775
183661
183188
184351
182653
193603
179984
182468
185233
192385
180720
180682
187030
182827
188601
179605
178685
180648
180090
178736
188901
183748
181768
177874
184481
185819
186258
179195
181596
183919
180282
185651
179265
181139
179108
179884
182488
187574
185409
183230
185767
184278
190261
183785
188102
184318
183792
185216
184190
189163
179053
183044
177725
181729
188466
181680
179304
178025
181936
183149
186376
180231
176817
176860
179018
176570
185628
180460
184184
184470
179193
187519
181630
181416
185648
185302
183117
181466
183420
180840
177897
184389
183372
177903
185243
184180
181937
185382
177886
179114
191095
186091
184114
183789
177642
179406
182687
184110
182795
179491
180016
177773
184672
190135
184583
176527
179510
184898
178653
177618
179807
180075
187184
178973
182829
181670
185355
179302
179331
184296
183976
181676
186952
179341
184254
189765
180904
177888
180326
190128
177968
185407
177130
187944
179286
178872
185275
186218
180324
189443
181601
182859
177755
180742
180717
184030
183185
182148
179826
182870
176987
187000
179439
178681
190664
190514
184889
179153
190726
183023
185777
185655
184435
190987
185368
180779
187238
187263
185588
194378
180199
186164
185836
179641
190577
189291
185279
180286
177978
187035
183696
186542
185370
183839
177881
179953
181246
184231
181751
179960
179005
185507
184063
184135
178423
179347
181262
182765
183011
180304
181771
184935
181592
181989
177083
181935
176067
179035
177352
182650
178824
181567
192403
179936
177650
180006
177719
184376
182851
182432
184062
177564
194091
