uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
4062695,3459786,3470080,7958976,5180013,5917303,6753215,5037909,38102301,12885589,9739050,6773937,4354859,12878627,9731045,6775990,4024994,20935875,20956981,35383052,0,36207140,8368284,8136609,5998117,35014816,24358246,24316468
4070435,3465314,3472179,7936621,5149391,5873654,6839471,5367820,37878721,12841746,9668254,6744756,4334126,12833288,9511573,6264725,4017353,20958842,20927395,35242572,0,36082345,8382758,8147708,6012987,35071677,24463610,24452705
4069162,3477450,3485642,7976850,5177890,6062141,7271387,5406815,38016414,12826011,9657071,6732993,4322008,12414397,9013301,6255087,3994691,20974595,20907381,35137263,0,36031735,8327397,8111214,5996023,34926209,24388356,24404263
4066298,3466505,3480476,7984147,5352209,6205696,7219336,5375869,37856535,12760637,9640699,6746787,4154680,11924776,8933786,6193695,3969502,20824118,20956881,35241037,0,36141143,8392251,8168449,6039936,35208197,24419206,24344452
4037732,3450049,3450255,8724016,5701967,6325934,7391426,5475127,38523615,12978028,9793038,6429404,3996358,11959428,9030016,6255150,4005664,20849653,20894629,35107949,0,36039106,8338683,8119987,6003075,34982078,24246146,24174011
4076353,3481958,3653477,8784678,5566492,6249121,7299227,5395292,37886740,12738674,9021951,6263658,4021385,12046648,9054022,6262889,4004563,20894573,20882620,35127838,0,35923369,8313478,8119523,6015200,35141084,24585429,24598151
4058918,3665556,3658305,8799676,5575538,6255630,7283497,5380801,37877995,11972398,8995357,6241862,4012591,11990002,9024178,6241419,3994593,20768229,20722972,34957047,0,35723855,8237281,8057376,5970207,34915317,24249762,24352872
4084742,3668005,3644369,8775441,5560519,6235944,7291645,5375697,35359002,12002241,9016201,6255670,4009774,11987731,9006955,6210479,3980229,20756357,20681369,35033753,0,36044819,8349713,8130577,6031488,35215418,24563007,24779552
4079491,3655057,3647057,8775313,5577729,6226819,7023802,5032961,35270189,12010647,9027574,6271499,4013373,12004775,9008039,6243174,4006199,20962966,20903422,35248592,0,36079361,8369590,8146764,6028536,35223944,24621042,24792914
4020981,3679792,3631665,8856738,5621397,5965333,6655851,4985283,35098097,11967934,9007183,6263392,4001525,11971048,8978583,6228995,3984959,20680116,20715086,35180350,0,36103876,8378612,8122301,6005973,37872431,24931467,24799258
