uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
22019,143218,114210,534040,289619,244236,194664,21615,203500,75590,52771,34790,21126,75590,0,0,0,0,0,0,0,0,0,0,0,0,0,578944
18342,132587,101142,510058,282341,219417,180012,22136,206778,76046,53671,35510,21339,76046,0,0,0,0,0,0,0,0,0,0,0,0,0,536549
14925,107568,86175,409685,223455,183157,176326,8787,70491,27871,18813,11562,6433,27871,0,0,0,0,0,0,0,0,0,0,0,0,0,434457
26388,186989,148318,705787,383804,315702,183720,15669,122621,48062,32451,20085,11496,48062,0,0,0,0,0,0,0,0,0,0,0,0,0,754566
20693,149879,120112,564299,307312,251341,191940,23311,215769,80077,56329,36960,22208,80077,0,0,0,0,0,0,0,0,0,0,0,0,0,599389
21177,130755,100966,501655,278198,216153,236468,182703,94495,38011,25223,15299,8522,38011,0,0,0,0,0,0,0,0,0,0,0,0,0,500282
20406,145756,113156,560323,309812,238969,182095,138043,208498,77142,54138,35397,21433,77142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21803,133370,104287,513778,285764,220768,237628,189952,91322,36555,24303,14806,8383,36555,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18169,127832,100128,496217,274016,213746,178525,135890,204581,75855,53172,35161,21193,75855,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20325,142926,108973,550866,304594,236978,178985,134652,201558,75530,52391,34392,20480,75530,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37855,227249,179026,863237,473837,382178,276074,207030,733924,95595,66809,43247,25718,95595,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,136609,104943,522843,289034,225806,168443,130130,857414,38713,25987,15892,8858,38713,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,102193,78456,392703,217489,168848,164562,129129,845071,32807,22030,13491,7737,32807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,106121,80658,408765,226370,175021,216865,126553,828053,29223,19326,11734,6492,29223,20617,0,0,0,0,0,0,0,0,0,0,0,0,0
0,148940,118034,562714,306587,252337,355764,137500,930268,39222,26455,16299,9114,39222,26455,0,0,0,0,0,0,0,0,0,0,0,0,0
0,131523,101220,505921,280185,217061,319225,186876,1221101,36324,24362,14803,8312,36324,24362,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13516,224883,1060348,577765,475905,675600,286904,1967597,642713,343823,244892,167137,477969,343823,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,106212,517793,286397,221305,328898,126355,828681,259865,27785,11735,6583,27965,19006,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,391398,216133,167439,245045,128330,838957,260592,189850,11244,6215,27037,18292,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,523337,289356,223268,330370,134080,905111,285568,208097,34307,20875,74667,52318,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,849159,462558,379486,534407,203368,1142888,369299,267863,69318,42466,147309,104220,95421,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,635479,346607,279385,400205,311926,1425924,452146,330415,73755,45394,153396,109331,73755,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,552049,302259,245050,345391,271232,1320784,407388,299862,16314,9196,40247,26814,16314,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,707801,377634,291386,432667,343904,1291972,407357,302165,146265,74933,130385,93140,62297,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,219188,323187,256932,846852,265236,194175,141286,99899,32590,21849,13332,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,165092,244709,194015,823274,256126,188821,138165,97757,26842,18050,11085,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,312157,426621,316939,1545044,494777,360763,260115,180838,130621,93664,63585,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,344259,501841,400379,956181,305538,220829,159357,111509,85183,59361,38496,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,229093,336706,267306,1292271,272890,200015,145872,103237,32446,21504,12990,8885,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,161209,240578,191834,1247664,257066,190459,139246,97125,129719,19124,11599,6451,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,257901,198802,1326630,281693,205383,149485,104974,281693,19604,11864,6536,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,430401,340456,2218837,406374,295766,215990,153744,406374,30751,18909,10524,0,0,0,0,0,0,0,0,0,0,0
33026,0,0,0,0,0,12327450,9927336,64644610,2362477,840047,404274,210258,499611,108030,196565,116445,407056,411582,862236,0,949779,229513,54683,41514,174730,215576,230151
116508,70161,75759,213796,117334,125700,200663,106717,831186,351942,216685,130032,71849,1316183,915443,643457,433060,1838908,1837708,3888443,0,851053,211745,261160,200112,816867,920689,923243
114605,71019,76133,217934,118804,127297,203601,109150,823420,340420,209349,125926,437798,1313242,909140,643845,438911,1867001,1870223,3966254,0,903590,222895,266493,205566,837339,925558,919713
114474,70217,74326,210828,115492,129229,207019,110178,836360,348836,255479,610414,433185,1324626,928973,656439,443846,1907839,1681260,846502,0,876638,220401,257002,196818,798817,906833,910104
110734,68820,74019,216859,118325,135073,216358,114179,882797,1150400,1081483,763493,522132,1572302,1142892,852255,615436,1369086,787715,808769,0,850773,212366,255368,195679,787491,904282,907621
119997,74056,78893,221956,120640,133980,210454,111802,4031033,1328437,887643,592014,383346,1169050,810327,560060,73519,818313,822048,864802,0,861290,215143,261607,196165,789660,921731,918013
114365,71684,76969,215750,116300,126352,201297,600206,4016979,1341041,937193,655545,448396,1327110,884577,128674,71324,773247,778109,851650,0,884967,220848,261896,206458,837826,958817,943716
109813,67459,73345,209326,115160,127920,828859,599605,4031707,1342974,928103,653703,448038,1332933,209024,124252,68630,760994,760174,840448,0,881621,218439,264365,203165,797290,892662,877105
116300,71675,75880,213181,647422,540083,818505,591048,3964280,1324792,925593,651330,69794,345578,207331,123960,68624,759193,761070,2308783,0,2398518,520240,498628,321067,2077687,1488961,934755
111802,70809,83721,984236,544312,476758,753361,563890,3956778,1317671,886468,124860,68889,341515,210305,125562,69809,754812,758958,825094,0,867216,216290,260982,200294,803265,866955,860665
115271,290002,333288,1417723,748391,618118,927651,673408,4510058,792942,214956,128797,71039,354280,216984,128146,70154,788572,786661,824259,0,855381,212063,256274,202247,811458,952330,952503
