uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
190515,89397,264142,1138735,618120,571038,912251,660751,4484955,1602562,316215,173049,86629,533518,311823,175697,87060,1504471,1525681,1196547,0,1469523,312179,311828,244831,941174,1820650,1814219
236646,448225,376728,1597285,841503,730628,1118686,779898,3955034,601248,343529,189888,91542,583972,336056,181536,88751,1578677,1573841,1238425,0,1497833,336529,340140,265092,1040405,1840378,1863467
268580,340727,299491,1330863,719727,601241,895522,373337,1255243,589688,345341,191116,92257,585627,341252,184162,88357,1623146,1595768,1154799,0,1445359,306027,309178,243078,949117,1801793,2674163
290235,330857,293952,1274168,691125,604192,384112,162413,1257929,582315,330822,183275,88133,578998,325902,179518,87637,1510208,1519041,1201431,0,1481848,329643,334898,261711,1044898,3330311,3452197
281218,349867,310501,1352232,728653,200984,320246,162892,1202732,543561,301108,169336,84356,517182,304698,172632,84366,1585917,1609949,1249478,0,1586178,341651,336009,267495,4331604,3396555,3446805
274241,341333,299245,1310832,150977,175008,280978,144714,1097677,505264,289070,165882,82790,537774,310521,172490,86023,1557927,1593711,1212039,0,1508445,324675,319802,515579,3727311,3194413,3253280
308394,415241,290015,369051,183867,205243,337718,168386,1298103,596855,338407,187886,93091,589770,350501,194973,97431,1698476,1684452,1351919,0,1656186,699244,1132650,681577,5075120,3995646,3993447
248970,187621,97866,312316,158902,183516,295057,157683,1178805,526000,302629,171112,86641,532623,308723,172403,87180,1523961,1537170,1167905,0,3307438,1072110,914843,567513,4203023,3163774,3084250
221238,98929,107190,361827,178156,208990,344976,177471,1359554,632343,367120,203582,98799,643419,372572,208296,100292,1855025,1839751,1379401,0,7115618,1462186,1221957,743464,5891485,4057604,4057107
180263,84815,95853,313748,156001,175032,294806,155026,1175283,544018,316215,178330,89510,555154,318577,178328,85943,1509767,2622323,4212660,0,4917426,1009211,851899,543425,4005308,1937537,1736207
196930,100370,110136,368483,180611,216420,354807,183913,1426686,666079,372348,200534,96036,625366,353731,188120,92280,2680798,2746817,4325646,0,5256236,1096070,934727,595949,1052003,1851112,1880912
188399,90331,97495,325593,160891,187650,295409,154611,1176886,532245,306134,171032,84948,513229,303311,401382,548243,3139321,3149774,5148969,0,6224189,1316541,869947,254881,964688,1847237,1841691
204468,94429,108756,345736,173469,202425,328516,164351,1227584,571832,316370,178018,86982,563674,697479,725707,470320,2839570,2766989,4110368,0,4576644,655375,346162,274190,1060171,1933026,1932001
209380,101645,110516,377324,184320,198688,327564,172405,1261329,568373,325612,180759,89403,1100191,1077987,723677,470493,2898307,2896269,4543612,0,3343831,323373,329511,263231,1025195,1832328,1853814
187081,92522,102977,324816,163057,184487,308493,154424,1174758,506967,299759,168404,274863,1618308,1073352,721786,467252,2895760,2905825,4537102,0,1503614,335423,338248,266994,1024030,1774564,1802517
187053,90655,99408,323774,164760,189904,322018,168374,1283668,586965,338898,491395,447346,1649629,1082143,731362,467740,2873751,2877514,2504923,0,1626860,351431,343981,273394,1023035,1894533,1890621
166283,83540,95629,301951,150651,183149,294105,148831,1184419,986128,1224757,833578,546028,1828418,1270358,897238,621301,2785247,1435301,1117334,0,1327460,307572,306738,240301,934789,1603440,1616053
193626,95896,105637,347339,171132,197236,323571,166819,2938964,1642513,1063880,683332,420851,1468034,972797,643087,254872,1788181,1773039,1395400,0,1703342,334971,337369,256026,1009131,1836217,1850565
167771,84085,94648,300218,149583,174436,282122,402095,4325480,1551276,1040465,698651,453871,1564897,1016102,401539,81657,1455354,1536640,1160992,0,1355335,310912,312439,242479,967353,1752601,1722318
211717,103717,116704,384953,188917,224857,698315,700688,4757119,1722510,1126026,745309,480458,1673609,715879,189000,90609,1604567,1566099,1237028,0,1551389,339055,341356,268016,1052703,1997618,2050515
