uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
115768,73881,74102,206967,110381,128408,184333,102557,800472,312319,550244,630751,430003,1229876,885261,630680,430727,1104085,710332,796493,0,851823,220780,264136,203247,817117,552111,565084
111464,72508,72180,200114,108776,125228,185350,102653,812181,1130170,839786,594255,406272,1180136,836257,591674,407626,420589,390600,813644,0,853407,219396,264870,198931,802555,487681,478049
114605,75137,75494,207940,111032,128326,190411,103331,3471038,1194780,864105,616106,424966,1227366,868144,615187,79601,447394,437590,805558,0,838152,217183,262312,201751,803304,553641,565595
109457,71750,74657,206374,108663,126218,191858,459593,3156592,1043472,758911,557845,393782,1190815,879405,131293,78291,441399,427047,815907,0,853742,217455,261260,202043,799921,515684,502235
108606,72375,73325,204236,109389,322100,1024233,723326,4669545,1446232,1025402,732869,494429,1046901,212457,132073,78895,399502,421542,812262,0,835629,213073,254683,195367,785134,511354,509403
107190,72134,72938,201275,352597,513154,764834,547948,3736885,1228420,877107,594955,232613,321730,218656,138083,81499,374323,354616,821915,0,866438,220397,264037,209147,822078,450440,424985
111424,72295,71815,639274,594593,509768,756898,545339,3703595,1211716,861074,374498,78020,304833,212847,137378,81191,425041,426977,853664,0,896287,226633,265778,205086,804723,541310,537629
110925,72632,188036,1060703,583960,499710,743740,533777,3636425,1191667,427825,132465,78281,307817,209568,132486,79564,413023,422452,821294,0,857692,217390,264911,204832,822201,489744,464814
110088,260905,217747,956224,549650,500048,775058,557351,3802759,320891,217778,135488,79999,305827,213114,134566,79965,384214,372670,809907,0,848300,211280,254401,195406,784132,409351,417570
171392,367592,294313,1254367,692319,588812,871411,470753,798954,310870,215443,134333,79934,312265,213265,135435,80542,341037,343725,786114,0,822221,210338,259324,199582,799829,413868,919407
154385,307890,254024,1047956,554111,460534,426558,104874,835876,321261,217114,135475,78795,312119,212494,132734,76799,391169,373512,797267,0,842049,212066,254503,196000,784501,1011950,1519896
158419,309011,255255,1086140,598106,319502,190661,107263,844782,316963,215730,136446,81043,318298,216006,131992,78524,363526,345647,792046,0,829395,216896,260044,201106,2351398,1425699,1435497
156262,307540,259660,1102513,355883,128620,189526,104630,821143,312934,217374,139188,80282,316536,216230,136771,81334,379866,382715,843076,0,892448,227261,274306,369094,3964574,1552148,1554698
154942,303547,339737,1003996,337050,304136,449794,310247,2157729,727594,209592,132369,78699,307355,208729,139585,84199,442343,439364,845873,0,890376,224987,512460,452889,3567220,1424233,1484160
167535,280528,71396,196632,105641,122368,180529,100968,786191,299430,208508,131805,77963,306821,208500,131452,78459,358235,352577,824944,0,2286272,1082078,932937,567704,4496817,1710746,1686677
130836,73635,74037,199583,105061,123719,184200,102296,806798,306763,210323,133280,79033,300815,206077,130534,79187,387515,417891,820098,0,4140117,919105,832355,490858,3586150,1377957,1323585
