uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
139122,188842,167455,646146,626685,527852,756875,515962,3352956,1080624,769830,542403,80197,327535,218829,135943,80403,407273,406692,801711,0,841843,212850,254890,351689,2315243,1021152,1015366
114742,73107,73484,1120108,623455,533067,793008,568263,3856381,1245617,844410,134027,78058,320425,216404,135314,79493,411640,405857,849150,0,888546,229803,283721,221279,841522,540388,525483
113111,229919,198285,792315,443011,408463,628178,466495,3378836,376371,245688,157673,94563,319797,148976,91547,54845,324305,344551,661398,0,727606,192313,256398,204231,727916,489902,504162
110730,69487,71023,198770,107975,122812,186134,104245,801003,309947,210682,134894,78212,322624,215139,132906,77519,780901,1185956,3826978,0,4178581,923793,830889,508854,2375896,418909,419213
109212,69892,70932,196980,106446,123696,188195,102490,796627,308903,206687,130867,76309,303261,206029,136462,222633,1001876,1005150,3346558,0,3971948,918529,830479,351123,770971,413682,413971
113226,70107,71410,199980,108684,123085,187498,102752,780361,301022,202623,128576,75719,301312,202564,602733,555893,1318386,1267726,4375500,0,4803100,1055917,500007,203193,824626,448010,429475
119260,74430,76824,202886,109960,125989,191205,104786,798695,311648,209039,131476,77405,308823,893741,641179,437471,1145593,1145985,3728490,0,3731021,213135,269178,207599,814431,521280,529073
114022,71303,73108,207822,112673,128123,195168,103503,799899,308488,206662,131268,77047,1246861,899718,638818,435356,1110024,1118497,3828393,0,824364,209943,250126,193549,767561,486677,500811
109150,68913,70467,202401,109837,124837,189708,104598,815109,315844,213538,130778,433235,1246447,886755,630758,433389,1138852,1137272,3817182,0,831676,209870,252803,194357,773990,428391,431590
115872,72438,74040,207781,112733,125239,189558,104325,804533,314824,433063,528475,369101,1127920,841181,621193,419398,1109666,786479,772750,0,824699,208010,251424,194237,797209,460570,477114
117706,73630,76155,214069,114686,129503,190883,105118,797801,1144323,1069648,745797,511317,1460003,1045933,748754,536644,739718,412763,792718,0,838743,212471,255246,197378,790884,531181,528643
111187,71342,72947,198124,105935,121423,190930,568520,3849726,1259995,907288,614518,397811,1111075,759895,131906,77375,367005,376889,802303,0,845898,214395,252165,201822,787161,452912,448801
111037,70230,72326,201480,109389,124352,782659,566204,3826027,1245408,900218,645154,436487,1243782,214947,134899,78272,386329,381721,848511,0,889696,217640,260582,200948,805602,423145,411003
118154,73541,76130,203371,110198,526666,789140,565967,3821181,1248391,900397,640136,437613,308588,208324,131943,77859,419830,412104,793506,0,865334,219696,276383,213627,844151,547821,541702
113665,71701,73887,212358,560675,500174,784931,565520,3823314,1247900,888997,635509,78477,314053,210964,134985,79811,402224,400833,802545,0,840335,213274,246964,190742,751283,437863,468572
108287,68718,196965,1276899,710447,600117,898024,665527,4665791,1584182,651181,132778,78302,312013,209977,133551,78522,406854,403227,789149,0,823550,208256,252054,194151,766914,445567,434261
114407,314457,266720,1097760,801749,639986,919656,650652,4378844,675245,473028,330811,81516,325939,216829,131548,77479,417355,413506,793059,0,830886,209356,253651,194809,775790,498754,514383
157301,310927,263712,1116893,622319,530238,798273,557795,797696,310057,206833,134128,79270,317926,213589,136349,82370,437732,446372,840140,0,867314,222981,268607,201580,797726,456212,449842
161598,310222,262188,1113456,616231,526950,785051,106425,803671,309175,205509,129340,76103,314413,210226,137086,80500,454762,453881,836655,0,882439,222279,258990,198579,800540,533034,1560500
159899,315495,267500,1123517,624774,539628,192076,101813,787367,303994,204414,129482,76414,300841,203747,130062,76158,335781,329348,801899,0,840720,212849,255574,195938,784973,1463932,1538854
153839,299334,262872,1120124,110493,127773,193031,106457,828542,319816,215091,133557,79367,306664,206028,133385,78723,420854,419452,805973,0,855502,217120,261793,452225,3353453,1292307,1323882
172892,356660,190754,206664,111484,127357,191439,102388,794264,305146,209874,133307,79502,314410,211755,133707,78956,412877,407019,798483,0,838557,716330,1058977,610078,4747767,1646530,1656169
154328,69521,71739,208811,112739,129200,196257,108225,831376,321348,217713,131287,76739,301245,203098,129355,76979,317398,320864,801462,0,4206018,927242,836856,510707,3989270,1534508,1496560
117810,72425,75039,201898,109202,125300,187512,107883,824101,319089,212456,137788,83288,330002,224181,132608,78246,414462,420427,807546,0,4182843,922738,832075,509882,3980087,1595739,1601507
111920,70223,73316,201703,109780,126326,190597,101086,791426,305740,204999,134337,79481,316200,211100,135743,79827,501580,485061,3772225,0,4127331,910217,823017,505108,3924418,1574736,549760
110420,69352,71902,201117,109157,125779,189573,103386,803224,309757,207847,127113,76055,303283,203713,135530,79762,425290,1064490,3272118,0,3883883,898568,825686,507159,3928730,549934,553994
111806,70972,73141,205816,111425,126435,188672,103829,801774,310174,207976,131127,76955,312860,209462,131974,244006,1516752,1487318,4404966,0,4818499,1059580,958892,464404,831873,579240,535038
118618,73562,75731,206469,111720,129094,191860,104674,808367,314913,207297,130483,75955,307110,203924,427502,421103,1234142,1245182,3686486,0,3679176,788040,436175,201848,806701,583226,573640
117360,74162,76622,211705,113596,132572,199701,104441,796580,311409,207060,131035,76939,306711,875342,620305,422151,1202191,1202063,3716879,0,4065792,210514,256330,199353,787439,571589,581088
110869,70655,71171,205221,110848,126659,191584,105385,813987,315927,211126,131316,427959,1236588,879838,625442,427257,1282389,1263622,3766904,0,856603,219070,262601,203364,800809,479738,479312
111830,69999,71498,199864,108643,123568,186944,104317,802533,309847,209119,536623,382440,1166701,868678,617128,424324,1245288,1262513,839801,0,875708,218370,260509,199016,792900,521316,496754
111821,70337,72016,200196,108924,122320,184431,101514,793234,700409,1015804,718693,494274,1417759,1015673,743011,534793,1114248,383236,796187,0,824447,209541,253119,194191,784316,408697,407893
111383,69648,71757,199040,111259,127837,193436,105593,2275745,1228983,878094,599655,387541,1081500,742139,524205,215947,424150,426522,834875,0,884468,223122,254714,195545,780108,572112,557391
136690,178841,160143,207629,111904,127100,190657,336693,3714011,1215866,870204,620007,421578,1220241,873226,353539,74928,430855,432358,811164,0,854760,215718,477894,325316,2134674,1107523,1103610
117700,72995,74417,200049,108528,124089,769828,553680,3739531,1235919,885110,625827,425693,1234741,216483,131068,76865,365163,364372,788668,0,846051,217262,267135,204397,819998,513023,522831
115038,71765,73836,207489,112400,478370,743169,546899,3698903,1210228,866043,616775,419866,307774,208185,131531,76791,417531,434766,825538,0,859014,215728,258636,198833,798330,535754,528809
557136,894585,709783,4004829,2635629,1892728,2695050,1649880,8846940,3091316,1672260,1629719,757301,3792304,6087184,6887158,6571408,21756948,23904112,62516845,0,67561701,11626681,6458953,2020375,15706444,6730291,8241292
183254,85904,96401,543278,248895,1259734,4938844,5736104,52987053,17973938,12927367,10387946,8681623,21147232,13671935,8242124,4027458,11573000,13534007,33787822,0,29230920,4191554,2781309,1609541,14747349,5750005,4749173
0,0,0,468705,261695,205501,307468,237256,1546669,485484,346518,0,0,79427,55060,36402,21745,59056,59056,212720,0,0,0,0,0,0,0,0
0,0,0,379986,205067,178360,245039,182295,1252587,391904,287313,0,0,22643,14979,9142,5051,22668,22668,56549,0,0,0,0,0,0,0,0
0,0,0,530062,281301,234435,331251,251923,1690953,524683,383588,276984,0,30547,20552,12531,7049,28570,28570,77033,0,0,0,0,0,0,0,0
0,0,0,0,241470,189315,279484,218004,1425510,438598,321293,237100,0,25201,18116,10988,5944,27500,27500,68067,0,98508,0,0,0,0,0,0
0,0,0,0,266272,208709,306671,240847,1573320,481670,357479,265883,0,0,17384,10621,6006,23681,23681,65314,0,69451,0,0,0,0,0,0
0,0,0,0,447708,352252,522008,405240,2656649,825889,598912,440771,0,0,32212,19961,11198,40773,40773,120981,0,127500,0,0,0,0,0,0
0,0,0,0,325046,254079,381621,293880,1928138,600475,432250,318375,0,0,52344,34475,20492,49586,49586,200610,0,206295,0,0,0,0,0,0
0,0,0,0,268979,211648,313457,243281,1594590,491373,356377,265109,0,0,20726,13253,7231,30793,30793,81633,0,87007,26578,0,0,0,0,0
0,0,0,0,339064,276492,396576,303171,2023720,622605,453924,335811,240644,0,0,17505,9689,36672,36672,104952,0,110760,27464,0,0,0,0,0
0,0,0,0,0,242143,350002,267134,1781054,551322,405124,298931,212836,0,0,14774,8500,30766,30766,90150,0,95210,23984,0,0,0,0,0
0,0,0,0,0,179459,267539,206718,1358618,423755,309915,228064,161637,0,0,38672,22958,52483,52483,223826,0,225672,56222,0,0,0,0,0
0,0,0,0,0,171650,255183,197637,1295313,403093,295033,216026,154361,0,0,11149,6221,23008,23008,67293,0,70940,17670,0,0,0,0,0
0,0,0,0,0,366346,538424,422064,2761227,841835,611894,454332,330670,0,0,40485,24307,61878,61878,237023,0,241708,52310,0,0,0,0,0
0,0,0,0,0,274255,407358,315740,2070869,639968,468817,348560,247654,0,0,35035,21005,52770,52770,205214,0,209939,44931,0,0,0,0,0
0,0,0,0,0,183605,337516,262265,1708735,531845,386929,284465,203685,542756,0,14532,8250,29845,29845,87991,0,92542,23179,0,0,0,0,0
0,0,0,0,0,0,317086,246358,1614702,498313,362531,267298,192191,498313,0,12489,7293,28818,28818,79638,0,84340,21031,37545,0,0,0,0
0,0,0,0,0,0,1807826,1350900,9090445,2874968,2052625,1498395,1058417,2874968,0,0,160030,502659,502659,1283207,0,1439281,296005,237184,132181,0,0,0
0,0,0,0,0,0,340534,263428,1723933,539038,390632,288677,204444,539038,0,0,0,32726,33726,80523,0,87954,22122,24555,20114,88646,0,0
