uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
110929,64529,72483,206265,113430,127742,206929,105833,795748,350413,216248,125152,440256,1338969,889694,591381,380142,1390663,1405790,3354654,0,885059,237499,268274,206468,814371,677883,676804
116089,66541,73265,210875,117752,133799,216832,110750,832564,369546,222153,653458,437831,1337959,928655,649510,436831,1560812,1515342,806081,0,847565,230639,261649,201167,807715,711826,704125
118721,68321,77635,222388,122704,138478,212367,106078,804387,355959,902179,628823,425300,1305644,899172,626513,425491,1528256,558793,794007,0,855728,226726,260765,201727,788755,745414,757677
109826,64629,73714,211015,116337,133867,216765,111546,1066549,1312742,918150,644094,433363,1338064,922100,647994,408875,631752,625562,837838,0,879159,235015,260777,201319,790262,700137,704261
111213,64742,72030,206766,112916,128104,214077,307090,3387138,1161842,804609,579289,409608,1337163,934637,388416,65486,600493,612177,833617,0,858683,227833,256783,197519,788431,684520,684985
113226,66023,73352,213879,117018,131124,812019,779402,4950889,1580075,1067842,747983,509678,1537431,507939,123442,64547,566336,536950,793875,0,836275,225318,255620,196793,791615,694979,698595
114487,66433,74511,206025,113903,543572,824522,586390,3928213,1339257,911354,602315,385534,351561,215928,122679,64393,573917,571139,818784,0,859381,224068,261500,201715,812434,660794,660441
109930,63488,72259,205035,903392,748278,1115174,821074,5458955,1798222,1253678,887289,63950,364463,221449,125753,65429,586759,592195,849663,0,876926,234257,263550,203113,791715,688722,677692
115923,66387,74538,1189366,660509,557349,834077,601235,4022435,1355523,936246,125320,65003,365546,219508,121748,64356,511420,523495,806837,0,854211,227181,261810,200997,804491,709976,708331
114786,73479,232028,1010535,584670,519191,827257,589605,5398154,1752850,545057,371166,233490,807121,543202,369562,63230,543409,547420,800042,0,839993,224108,258638,199102,794447,674511,685748
155058,377628,303583,1329097,736210,618327,931089,690461,2215330,377912,228151,131206,68634,383783,229662,132831,68388,582032,580879,809734,0,855481,233669,261177,200981,794087,650405,649113
162861,311860,265854,1116795,593620,482532,707314,109580,825927,363025,216491,123562,64256,357052,214671,122537,64941,579225,578730,837502,0,883309,237095,263713,197245,786224,704099,1922595
161476,316693,267357,1164697,648900,547461,208325,106462,803225,361029,217269,128897,67412,373037,224065,128474,67762,581170,575819,789878,0,833695,223957,253980,195178,764987,1873386,1877105
164590,322716,276733,1190292,661469,135082,213965,108666,820003,361270,216930,122975,62976,352380,211524,124060,65157,607338,616816,834480,0,881282,233800,259288,199293,4155800,2015131,2012157
169770,326542,278651,1195729,118088,131457,207845,105977,798824,353246,211219,119762,63012,352131,211747,120645,62973,572153,572586,816392,0,874405,231931,262904,472159,3812924,1945973,2002561
181869,303948,75362,211604,115649,131454,211535,108349,816071,359221,215900,120728,63289,360578,221995,125298,65463,614286,613745,848595,0,2288515,1092242,957273,577160,4714902,2227104,2286526
117089,66060,74061,211333,115524,129840,210724,108231,836743,369804,225869,128354,66815,373766,224719,124002,63221,569819,555763,793147,0,4129426,922996,788986,468498,3456816,1665799,1665499
113514,67544,76756,221503,121223,136023,221608,113362,855796,369251,217710,119482,62143,347960,208893,118759,62066,520523,519927,4003850,0,4332826,966325,857593,521663,4147169,1908333,666164
114321,66691,74910,212382,113142,130177,211257,110806,834644,368027,221294,126964,66726,365640,219719,121181,63609,561705,1563702,3961148,0,4283053,955557,843783,521094,4091842,701349,693947
114828,67259,74955,221701,121888,136238,219443,109867,834614,368497,219804,126334,65144,372132,221364,126229,65552,1553562,1626781,3969059,0,4294050,957554,846286,516576,811782,715583,728138
112009,66018,74155,210692,117842,132898,220341,111755,830923,365752,222244,125707,65415,367635,214636,327133,512812,1763416,1750514,4685450,0,5541431,1278206,848385,195808,775303,658693,665546
115527,67266,75308,213751,116999,133278,211466,107988,796385,351324,212545,121400,63673,350769,555846,624875,400564,1388051,1348319,3267727,0,3531175,514089,261223,200509,801445,706005,689822
117322,67382,73881,205769,111797,124550,203706,104588,789683,350800,211324,120028,62953,1101156,905443,633069,430886,1535807,1540093,3890463,0,1546837,238496,272968,206366,822051,750187,741940
116044,66454,75211,217091,118000,133228,213912,105576,796585,359307,212826,655731,442842,1367943,947893,659594,445387,1581056,1584204,823825,0,850068,225048,258015,198880,787857,733688,750024
112591,66591,74655,220864,120184,135542,221122,113694,862091,380327,926860,643073,437006,1352570,928868,641820,436323,1545179,555301,800430,0,838652,223173,255160,196426,778679,677258,690256
115989,67123,75087,208119,113606,126086,205205,108096,816755,1132231,773143,549898,382608,1259297,903573,635026,428320,572258,565975,811211,0,852531,229189,263079,202323,817518,722948,722450
140952,186155,169700,671025,374665,335672,214837,336131,5130224,1631918,1096862,758611,511897,1540451,1077013,566445,63653,576210,589254,830912,0,872550,235691,269672,208572,816627,1378568,1377732
110858,66022,74200,215286,117648,133501,521762,595391,3995162,1355236,930942,629944,405803,1231350,520550,129489,67652,608324,608040,861999,0,883056,231140,253809,195518,772441,660555,661339
114037,65752,73572,210982,115677,399745,809160,572885,3827350,1307068,897885,622436,417258,652910,214007,120954,62307,570409,569401,815715,0,865176,230760,261474,200845,805894,705211,677322
119903,68689,76853,212586,650060,549866,828936,591280,3943913,1332022,920693,644337,62859,356611,213554,120971,64414,607640,608350,816407,0,856102,232164,269232,206273,818781,762138,759102
116098,66742,75137,980676,568121,503869,791903,593777,3949193,1328875,920731,120698,62304,351300,211876,120820,65863,575558,584789,835553,0,879772,235783,274539,201155,797916,711582,709271
113914,173547,320036,1345320,742827,622412,937675,676552,4689606,1212578,226753,129130,65081,370023,221444,125748,64754,625283,607947,807446,0,855117,227430,259422,198720,793975,721898,718467
138185,318967,276421,1187500,638592,519738,751516,507759,2119408,370623,223404,127085,63772,354999,214423,122435,62366,535606,532040,787177,0,824789,222368,252267,194685,768765,646613,653964
164757,321280,273889,1176748,651029,549386,817162,354898,792870,353509,211825,120218,64517,361898,217325,123354,64741,577284,584114,825186,0,857252,229002,262237,202613,799142,706181,1304515
166243,313587,272374,1167477,649386,546536,472618,105174,793923,349530,210494,119673,62228,350781,212435,124249,66951,583082,579996,848018,0,911820,246925,268212,201695,800221,1493747,1954444
163901,316268,272566,1168079,649436,128145,206748,105987,795187,366678,220300,125349,65156,366151,220133,125071,65056,560876,561636,796538,0,867289,231663,264954,202860,3637289,1844576,1910179
177772,388911,346420,1139631,119079,134413,217609,110642,836389,367636,219049,120663,62820,351794,212384,123363,65376,570133,558333,865358,0,902269,243680,523920,587410,4794320,2232846,2224686
160084,263856,153030,216268,118583,131047,211848,108322,796963,356716,213242,121284,62414,354388,211995,120352,62009,536077,543955,809644,0,857071,585903,839322,514377,3833418,1833913,1765954
133038,64400,72048,207397,116468,131286,212538,108801,823714,363742,217464,123198,63083,358642,215242,123761,65010,594732,591557,838175,0,4357918,970315,854657,514767,4127796,1927496,1920343
114016,66114,71788,204485,114587,129183,213499,108952,833470,369431,225780,128370,65764,370161,218859,124895,63939,553475,541479,2399882,0,4344988,966084,851647,516671,4142455,1929010,1311052
117212,68526,76658,217623,119660,135872,216363,109377,818674,355638,213194,120804,65082,363108,218406,124480,64357,562414,1040920,3911631,0,4262867,948654,837562,509447,4065449,1283573,713776
116444,66507,73172,208700,114601,128875,209215,107224,819342,360042,217339,123511,63282,355898,213420,121091,63760,1289989,1315507,3230106,0,3749945,881849,818005,508007,886650,717747,718856
110616,64912,71189,203100,111077,124675,201946,104572,787047,346920,208569,121861,63668,358638,215620,399063,611780,2341333,2242397,5911622,0,6286067,1375135,940737,319909,792572,674758,676709
118683,68545,75731,220908,116551,131807,213151,108568,816231,366914,220963,125077,63924,358631,560940,630110,424619,1558096,1550647,3892838,0,3974262,552896,272015,219138,842471,731755,735984
115702,67472,74536,219821,120726,134314,217935,112772,825187,361241,216629,120387,62802,835646,922722,641456,433590,1487759,1484765,3941404,0,2588957,224191,254891,197088,790221,664389,656010
110815,64531,71828,206940,116141,130327,211314,109034,825213,364505,219142,124429,253899,1340004,926897,645710,434624,1547127,1545540,3976596,0,873242,232974,266779,205741,806159,680178,649268
113151,64736,72709,207013,113365,128035,210217,107442,830367,366691,495701,528539,371005,1231963,875462,634589,427941,1536156,1066354,844407,0,854899,224754,257109,197862,786863,724462,720433
112799,64844,72822,207549,114369,129306,212775,109596,2341311,1565256,1119457,757564,505446,1528501,1065057,750977,366453,623637,546435,809716,0,845414,225660,255745,196722,779508,650630,651715
115161,67983,73610,211945,115647,130451,211358,356484,4017887,1347255,930380,648329,424704,1250748,824626,331760,63566,545946,547655,806366,0,853742,235596,266138,200167,791416,646443,641339
114575,66231,73697,205911,112641,127895,506319,589377,3949664,1336056,920774,641897,435712,1336797,573730,120253,63806,586463,588417,828555,0,895695,238735,275820,207966,818026,721369,719905
115055,66648,75155,216583,112605,342609,820336,587910,3939066,1326387,915433,640322,434720,847567,223597,126971,66360,589962,573910,805887,0,838495,221898,253363,200981,794451,699823,699550
116277,66505,74052,213037,336732,500582,785947,581571,4020529,1358656,933081,648359,254744,350894,211368,120275,62366,552182,559682,800489,0,852526,225304,257149,197730,782124,669242,675490
117555,67212,119160,982065,745350,624782,938179,676024,4534100,1574218,982785,376237,62923,351497,210750,119142,61961,521335,516137,788361,0,849580,230236,261584,201683,796841,685089,711320
114423,190404,268976,1154153,638529,521256,744286,514587,3317368,775558,236105,133946,69360,393651,238201,134601,70513,614457,619950,850320,0,896371,236801,265023,203745,804914,738007,737745
137619,315128,271653,1168106,649289,548549,826812,589133,2342303,362168,216870,122777,63908,375555,224492,127327,66161,597124,602545,845708,0,856029,227798,258811,198045,788988,713078,714304
159343,319223,272802,1194256,661723,561967,843198,357738,834611,360667,216774,120347,62001,353933,215543,122029,63135,572870,577037,836233,0,879557,231825,260567,199864,777999,671792,1296260
174457,316163,272294,1174413,652145,547819,518508,105416,796795,351248,210118,120076,62101,351969,211045,120504,62636,560327,561534,810350,0,888375,236561,272846,210245,855787,1283102,1892402
177717,370726,332451,1539363,1158368,552872,519088,350132,2378191,847018,570055,381677,61304,346408,212692,120853,62756,561445,562176,826436,0,880812,231634,264317,203631,3419541,2190943,2185304
152472,254577,221014,820276,117890,133309,215381,112127,865184,364252,218885,128052,66876,371079,223427,126148,64168,551370,554305,800536,0,841922,223776,347051,491314,3786262,1782632,1722364
164168,311230,165964,214173,116693,135470,222780,113715,843488,739961,497828,339796,227217,810971,539936,359733,233399,535331,531956,804911,0,848347,593152,836935,509702,4066491,1900987,1901557
167154,192263,74887,212086,113398,129768,210401,106626,808489,370941,221987,128571,67462,383626,229563,132872,68852,627875,627258,836980,0,2622622,979065,860910,528584,4188551,2056394,2054323
117211,66163,74513,213678,115977,131056,211368,106755,799405,359998,215764,121702,63410,366448,219590,129113,67225,592000,590943,2349669,0,4366234,975602,850172,516173,4142057,1973404,1360834
