uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
4019574,3516446,3491180,8024490,5183620,5892985,6656716,5365776,37949595,12748874,9694048,6765283,4335506,12692148,9624038,6215823,3988928,20422460,20450795,34994303,0,36127435,8266921,8156704,6025152,35374120,24320128,24339483
4024335,3505973,3474229,7963174,5170484,5969064,7092723,5298416,37303950,12628024,9635261,6735297,4329539,12442486,8945037,6176582,3957415,20867553,20836603,34895927,0,35866813,8211953,8159105,6029491,35306280,24482957,24594268
4008960,3505941,3476846,7961357,5549980,6366511,7384223,5476923,38401564,12884944,9792825,6852304,4146745,11922065,8980426,6188750,3953385,20692545,20744596,34871299,0,35751903,8158592,8133510,6028972,35275903,24242050,24363393
4055683,3505208,3482042,8808305,5577760,6225875,7214646,5395135,37789332,12685897,9573649,6237653,3992698,11885628,8997069,6226879,3971232,20914974,20915187,34861388,0,35797136,8147525,8098392,6012662,35238813,24402142,24450194
4073197,3523856,3661794,8866344,5608467,6252571,7217503,5407969,37896651,12732778,9019058,6261460,4004277,11901993,9081851,6295449,4008383,21032563,20969425,34996550,0,36036806,8160006,8059135,5980814,35131202,24311241,24408186
4084121,3742577,3668146,8866763,5607120,6244335,7207291,5402752,37871582,11899923,8999549,6243628,4003447,11875987,9014385,6243446,4008384,20912184,20821764,34666833,0,35657385,8132730,8052002,5951851,35038598,24301850,24402124
4063908,3695799,3633437,8769124,5586808,6242206,7179942,5361282,35096170,11866671,8993028,6254217,4007355,11879649,9007247,6253041,3998807,20981640,20859612,34735425,0,35626536,8169919,8090967,5982651,34965354,24304875,24450919
4069313,3760541,3674295,8956610,5658111,6315199,7057041,4986040,35049763,11855178,8964601,6244819,3995025,11854049,8984685,6266626,4007426,21073872,21056016,34914646,0,35648590,8147123,8067253,5964610,34928870,24517257,24883295
4067992,3737102,3653167,8736491,5529254,5914193,6690953,5021776,35165867,11922871,8997453,6257918,4030786,11919452,9014641,6269744,4021017,20931694,21099448,35344322,0,35870510,8213065,8100755,6004848,38286365,24537387,24572458
4053412,3751744,3685547,8864940,5203040,5916316,6695480,5022927,35279327,11866873,8965304,6233540,4004075,11868644,8979842,6253466,3995423,20963449,20967262,35089335,0,35824757,8145500,8045866,6224878,38054650,24543081,24657364
4038909,3813085,3740841,8406832,5389605,6080250,6682250,5010970,35272179,11900748,8961294,6213666,3993523,11866762,8973487,6261097,4000677,21012374,21048373,35181216,0,36018123,8191380,8578788,6227432,37912744,24900825,25024284
4037193,4148551,3954773,9129693,5859818,7012356,9116548,5694004,44142324,15835405,11022658,6868081,3780518,15751408,10864741,6804982,3832361,19891376,19996500,38155238,0,38451188,9614825,9552748,6643320,37817319,24626880,24758421
