cycle_activity.stalls_l3_miss,machine_clears.memory_ordering,mem_trans_retired.load_latency_gt_128,mem_trans_retired.load_latency_gt_16,mem_trans_retired.load_latency_gt_256,mem_trans_retired.load_latency_gt_32,mem_trans_retired.load_latency_gt_4,mem_trans_retired.load_latency_gt_512,mem_trans_retired.load_latency_gt_64,mem_trans_retired.load_latency_gt_8,mem_trans_retired.store_sample,memory_activity.cycles_l1d_miss,memory_activity.stalls_l1d_miss,memory_activity.stalls_l2_miss,memory_activity.stalls_l3_miss,rtm_retired.aborted,rtm_retired.aborted_events,rtm_retired.aborted_mem,rtm_retired.aborted_memtype,rtm_retired.aborted_unfriendly,rtm_retired.commit,rtm_retired.start,tx_mem.abort_capacity_read,tx_mem.abort_capacity_write,tx_mem.abort_conflict
0,60,0,0,0,0,0,0,0,0,3547963,966322,296497,291336,144148,0,0,0,0,0,0,0,0,0,0
0,1388,0,0,0,0,0,0,0,0,1818316,2539238,1189455,558250,96315,0,0,0,0,0,0,0,0,0,0
0,79,0,0,0,0,0,0,0,0,5261780,927115,382824,43006,1502,0,0,0,0,0,0,0,0,0,0
0,634,0,0,0,0,0,0,0,0,6316908,1826086,987777,632575,102658,0,0,0,0,0,0,0,0,0,0
0,691,0,0,0,0,0,0,0,0,9759371,5539895,3192524,2184448,69802,0,0,0,0,0,0,0,0,0,0
0,157,0,0,0,0,0,0,0,0,786911,536750,169279,69139,4093378,0,0,0,0,0,0,0,0,0,0
0,1048,0,0,0,0,0,0,0,0,7880543,6775511,4817552,3921112,424038,0,0,0,0,0,0,0,0,0,0
0,1367,0,0,0,0,0,0,0,0,7263317,14123379,9766851,8547938,21059,0,0,0,0,0,0,0,0,0,0
0,323,0,0,0,0,0,0,0,0,5080051,6004925,3947270,3173005,1230,0,0,0,0,0,0,0,0,0,0
0,120,0,0,0,0,0,0,0,0,2575769,1284955,562698,103372,0,0,0,0,0,0,0,0,0,0,0
0,210,0,0,0,0,0,0,0,0,2593997,1295114,556004,86520,1091,0,0,0,0,0,0,0,0,0,0
0,150,0,0,0,0,0,0,0,0,2577765,1253170,549463,84497,0,0,0,0,0,0,0,0,0,0,0
0,127,0,0,0,0,0,0,0,0,2585412,1248917,555727,74557,4289,0,0,0,0,0,0,0,0,0,0
0,117,0,0,0,0,0,0,0,0,3127697,1270880,572398,91534,0,0,0,0,0,0,0,0,0,0,0
