cycle_activity.stalls_l3_miss,machine_clears.memory_ordering,mem_trans_retired.load_latency_gt_128,mem_trans_retired.load_latency_gt_16,mem_trans_retired.load_latency_gt_256,mem_trans_retired.load_latency_gt_32,mem_trans_retired.load_latency_gt_4,mem_trans_retired.load_latency_gt_512,mem_trans_retired.load_latency_gt_64,mem_trans_retired.load_latency_gt_8,mem_trans_retired.store_sample,memory_activity.cycles_l1d_miss,memory_activity.stalls_l1d_miss,memory_activity.stalls_l2_miss,memory_activity.stalls_l3_miss,rtm_retired.aborted,rtm_retired.aborted_events,rtm_retired.aborted_mem,rtm_retired.aborted_memtype,rtm_retired.aborted_unfriendly,rtm_retired.commit,rtm_retired.start,tx_mem.abort_capacity_read,tx_mem.abort_capacity_write,tx_mem.abort_conflict
0,66,0,0,0,0,0,0,0,0,7102946,1635591,646080,329376,0,0,0,0,0,0,0,0,0,0,0
0,2284,0,0,0,0,0,0,0,0,4571116,1989531,1656183,1027054,339751,0,0,0,0,0,0,0,0,0,0
0,128,0,0,0,0,0,0,0,0,5184030,1208181,607166,301635,8949,0,0,0,0,0,0,0,0,0,0
0,481,0,0,0,0,0,0,0,0,6793820,1821139,873035,288443,17591,0,0,0,0,0,0,0,0,0,0
0,536,0,0,0,0,0,0,0,0,6537467,1766268,866578,772930,214942,0,0,0,0,0,0,0,0,0,0
0,365,0,0,0,0,0,0,0,0,1391373,1395808,581074,224402,43307,0,0,0,0,0,0,0,0,0,0
0,1355,0,0,0,0,0,0,0,0,4590964,3674780,2793811,2969528,209853,0,0,0,0,0,0,0,0,0,0
0,1914,0,0,0,0,0,0,0,0,7256402,14215812,9725529,8464866,0,0,0,0,0,0,0,0,0,0,0
0,697,0,0,0,0,0,0,0,0,3521722,3154036,1531293,817838,0,0,0,0,0,0,0,0,0,0,0
0,176,0,0,0,0,0,0,0,0,2603496,1169959,482554,38614,0,0,0,0,0,0,0,0,0,0,0
0,179,0,0,0,0,0,0,0,0,2583622,1236596,527061,111014,0,0,0,0,0,0,0,0,0,0,0
