cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any,br_misp_retired.all_branches
14679903,1501838,21152659,13915985,3782228,77112648,7350880,7856259,124610,537744,10785487,26734858,114988
14439743,1332667,21114488,13865030,3811327,77264881,7382321,8105753,24794,439172,10397658,25300097,113497
14467253,1306635,20940662,13875220,3903257,77816782,7534338,8263869,17170,431466,10856472,26668941,117644
14621016,1312093,21113176,13745193,3560535,77225428,7157773,8108577,20008,432251,10878049,26665864,116131
14614254,1322543,21166923,13849523,3789524,77333885,7161666,7660541,16918,429711,10844140,26470782,114904
14581917,1374017,21271218,13849551,3903260,77320890,7547826,8287801,22567,443795,10433177,25978894,112340
14300084,1296549,20702839,13757146,3820338,77595368,7411751,8138627,25170,447268,10918723,26007091,112716
14814243,1316101,21356646,13764578,3587001,77281806,7379820,8297156,21353,435852,11113152,27472232,115067
14733647,1358969,21246423,13920241,3797291,78062497,7168076,7668150,24574,453409,10972187,26798105,118068
14694630,1335291,21236243,13950595,3806922,78081670,7383562,8115369,17434,442080,10486253,25300243,118058
14302706,1387821,20983985,13862487,3923221,77830029,7560234,8286753,39975,478386,11168233,26063846,113483
14673653,1459472,21204397,13822832,3571644,77211343,7166344,8098975,61599,491988,10968186,26705389,114655
14575224,1356350,21075749,13789000,3793406,77270719,7132136,7630289,41635,462336,10885847,26515286,114298
14814153,1484714,21354923,13890698,3796860,77338679,7556756,8293035,92250,512487,10731762,25967834,113604
16579363,4702217,23672427,15494617,4025624,80493609,7886183,8787888,670226,1258860,13498832,28904239,130146
14969657,1475444,21412046,14023321,3699465,78115078,7382357,8101530,73255,502735,11253905,27450529,120721
14754746,1517052,21324489,14044523,3796590,78050580,7164311,7671765,94958,527920,11058682,26738008,118266
14723430,1494971,21344293,14031618,3802158,77882035,7375928,8103168,77071,509885,10543181,25301991,118206
14476774,1550432,21187187,14087077,3795763,78162342,7355249,8075672,119682,548748,11058146,25258428,119809
14627350,1365091,20928961,13729807,3567829,77550792,7389507,8121382,42841,461414,10898569,26608267,115733
14596317,1434848,21115929,13889924,3799341,76971227,6940794,7662798,78536,495859,10879923,26563272,114060
14710071,1349626,21386147,13963768,3910271,77834105,7570469,8317001,13351,442728,10431729,26058894,115859
14413678,1340738,21061996,13957576,3783598,78249783,7348150,8073062,57021,487711,10924677,25292048,120345
14641616,1275961,20978954,13719605,3567286,77647719,7363205,8083599,22009,432722,10884268,26703813,117278
14818091,1287779,21173020,13877308,3787618,77905201,7167750,7900005,15557,432372,11171466,27437079,117127
14619027,1321345,21121022,13860682,3794675,78041225,7380342,8091333,31059,443467,10437552,25780784,116684
14379962,1340137,21260089,13901304,3924129,78263461,7580324,8310158,21132,447439,10985983,26097698,116496
14593778,1303719,20875903,13725641,3555149,77513328,7143596,8083386,19926,438591,10935766,26582304,115912
14600263,1296485,21131480,13862746,3793240,77800483,7015985,7672738,8920,433985,10907534,26503678,115495
14546486,1340164,21051367,13756470,3792182,77272638,7363863,8091932,26382,445460,10489097,26037793,112179
14232129,1293018,20989198,13710783,3804566,77079533,7406223,8133290,12186,427096,10679134,25333473,110495
16235237,3100611,22222407,14653142,3935395,81357815,8143217,9278517,851466,1337815,13811872,31033232,121459
14520536,1353431,20942662,13699958,3786116,77174605,7151854,7633796,23238,451005,10898576,26571652,110718
14566966,1292862,21056730,13751497,3819033,77534332,7395769,8118758,11418,423657,10469860,25998945,110677
14222985,1324185,20898385,13728860,3787061,77239144,7336469,8063399,16518,437111,10672701,25225966,109962
14503533,1378598,20791980,13714888,3675297,77839679,7379378,8113435,32145,450277,10911090,26582527,113706
14697410,1426737,21248886,13948170,3701164,77589117,6978231,7875847,74756,485718,10962218,26631970,112355
14751252,1351408,21218140,13827025,3891679,77593219,7555017,8079130,21760,444037,10709311,26771597,111260
14350108,1298955,21010234,13947876,3800892,78496370,7382962,8107213,15668,438226,10680950,25147764,119102
14530140,1373989,21035721,13777347,3686018,77980874,7345563,8066276,18407,440549,10940823,26669073,117866
14719761,1350835,21317280,13991485,3681841,78324169,6961825,7898375,19727,444563,10950971,26603680,119811
14906183,1353477,21358214,14049146,3818768,78741300,7584663,8087917,53217,471499,10969732,27219520,119380
14605011,1394469,21307588,14060641,3910599,78554118,7563507,8302858,12475,447894,10789253,25338039,118457
14685193,1365135,21184837,13734520,3677324,77894072,7588555,8319292,27372,457360,11163804,27237344,118464
14631417,1291779,21105474,13844962,3673560,77501930,6923734,7846107,15723,427773,10896952,26589065,116836
14627123,1312944,21108318,13798662,3785586,77532325,7361104,7881938,26383,438652,10720701,26020814,113480
14556128,1303984,21245841,13904072,3817511,78324312,7403671,8132769,11048,427250,10751280,25411726,117304
14487435,1228078,20973914,13795386,3816404,77843256,7576215,8306472,14306,415470,11184434,26818836,115259
15216614,2228426,22529661,15172252,4073325,84037225,8073869,9064006,936000,1409484,13378360,28154331,118499
14639545,1564252,21192302,13948078,3802769,77527705,7393038,7875490,168714,582774,10794350,25810848,112159
14509181,1443095,21221110,13936642,3791639,77771489,7347432,8068594,89293,502015,10768333,25302772,114470
14547578,1483666,20830321,13856753,3677665,77889361,7375577,8098383,131436,548483,11064840,25874300,116700
14631700,1291818,21085026,13741073,3680213,77079419,7128934,7840494,6639,416316,10859757,26647870,115468
14815038,1319698,21370804,13944311,3883979,78197802,7342731,7898191,23522,427750,10916223,26630258,117721
14496261,1285880,21209613,13884916,3802289,78107161,7391775,8124388,12673,438087,10710402,25273037,117739
14476288,1263909,20754332,13827472,3678208,77634835,7339206,8055875,15944,433444,10875719,25961009,116599
14595778,1394371,21092394,13757545,3685383,77260264,7173104,7881115,23111,451710,10886504,26667570,114300
14551969,1343253,21027461,13780469,3916914,77663485,7371628,8077262,13850,439143,10819220,27182044,114629
14440262,1318956,21283317,13857431,3905747,77374409,7567402,8314665,14626,431187,10696190,25332591,112671
14459710,1305435,20706851,13699866,3683912,77820969,7386370,8111997,16325,445673,10944735,26232680,114507
14587817,1338693,21072991,13672943,3676198,76901310,7147099,7875909,17176,441918,10877193,26656249,113562
14585790,1343415,21065540,13769113,3785418,77413899,7150888,7877846,15557,443521,10672168,26720474,114448
14538351,1363722,21237899,13938504,3794189,77883142,7371755,8094200,28995,448452,10408620,25220055,117525
14496387,1333925,20957420,13812656,3785366,77917193,7543184,8284304,8790,438350,11118417,26723521,118001
15418209,3208248,22735572,15023349,3991348,81374474,7595553,8567199,469621,810247,10919423,26640111,116732
14604433,1503527,21694506,14642797,4051250,80647602,7822253,8413590,425484,863431,11759064,26982741,111443
14511511,1518455,21160736,13876966,3795177,77085375,7361682,8098073,149285,555522,10613263,25340135,111222
14306317,1451359,20913236,13739529,3810203,77142460,7380436,8096913,81716,497875,10967103,25923376,110808
14685809,1564964,21033287,13851635,3582522,77027110,7172271,8083945,167168,575550,11088915,26738300,110800
14743958,1357281,21276709,13840592,3911892,77324868,7394306,7902192,30558,453354,11000087,27507587,111291
14485958,1469867,21158835,13836210,3813212,77224170,7406645,8143357,102056,509809,10547776,25340057,111077
14279037,1362694,20695226,13693839,3811167,77470304,7388254,8116042,35410,457030,10949243,26044582,110912
14516137,1321609,20772820,13634038,3579093,76832232,7176617,8122525,8546,427127,10862201,26665825,109136
14427847,1318359,20871031,13633148,3805944,76761016,7175855,7664838,15737,422278,10811295,26520981,107463
14555886,1306109,21248010,13902303,4018117,77726918,7775003,8524874,14728,425054,10646363,26027533,109665
14165651,1265409,20500102,13544755,3785549,76809761,7361498,8073391,16617,424069,10873253,25842070,109270
14601732,1310308,21111913,13703489,3573445,77322484,7159270,8084792,9686,440762,10927023,26731633,111792
14690689,1350971,21180969,13876818,3790499,77956926,7160469,7659914,12674,434646,10946125,26705217,114368
14535895,1316455,20976247,13694207,3793005,77246720,7353630,8078070,11397,423974,10415684,25869658,109941
14267106,1340529,20825689,13743354,3910391,77600955,7556816,8284762,25514,448609,10966560,26052860,110722
14608118,1326202,21098998,13708648,3573250,77216772,7171871,8109802,22483,440040,10897152,26636379,111819
17769800,5566250,25906870,17333175,5105214,89547988,9276096,10074642,1163332,1479439,14678168,34144441,118652
23023607,7390727,33216326,18186558,13614539,49889970,23441700,24429722,1091846,1513995,25858534,64757369,46932
23239588,6774479,33898850,18262126,13651781,49937884,23682966,25020205,886228,1369546,27455330,68232996,48159
23520269,7215645,34519791,18154812,13844938,51227182,24303900,25685123,848986,1304735,27782191,69906701,50027
23342612,6687564,34451053,18279677,13910462,50792384,24188732,25474409,783575,1229613,27632447,69637452,50064
23784158,6580719,34199417,18166051,13765954,50321374,24019630,25339998,795501,1262776,27299251,70003953,49628
23507835,6681035,34205962,18013294,13882578,50437649,24075032,25235858,859618,1317346,27754857,70285567,48490
23714740,6494540,34126389,18056919,13874970,50275342,24153848,25242814,799737,1266879,27614853,70772361,48922
23495620,7175447,34043027,18088042,13838631,50261728,23577873,24981300,866802,1336999,27617497,69885009,49075
8662817,2583837,12013228,6311577,4610432,18294969,7701017,7513949,320437,450808,8495137,23602670,19913
9293097,2646692,12916273,6825295,4964643,20225065,8664858,9140536,476742,665875,11338514,29202909,20747
24123136,6559312,34723106,18387017,14146009,51461504,24900961,25979911,808211,1272459,28197262,71441459,49050
23959284,6925029,34663042,18519011,13707618,50650758,23775336,25426298,840672,1261940,27398614,69046736,50889
23027342,6404832,33926095,18375190,13904323,51204433,23306388,25485213,880392,1357267,26926491,68723878,48816
23883419,6988554,34731713,18441898,13976778,51695037,24416225,25977217,837742,1324150,28969404,72108111,50325
23521852,6712839,33992523,18080235,13703109,50081656,23584989,25011095,811062,1287652,27463006,70362853,49726
23450096,6589516,33846848,18073373,13750422,51686394,24142938,25284589,818080,1309639,27635067,70344275,49258
