cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any,br_misp_retired.all_branches
1788967,1614452,2221406,1629624,454155,5969001,941147,757427,408872,350401,971118,1723754,6202
828629,915073,1448639,1381993,355525,5166076,727541,759346,353168,391240,1294097,870163,3025
1624377,1391670,1550161,913794,125100,4723092,708805,739600,446366,492975,1442849,2554095,5652
1361183,1290272,1808559,1344722,354636,4374194,270886,283957,261299,388217,1374676,2464241,5885
1502708,1411789,2191458,1610915,462295,5600175,930336,751567,351334,343403,1261000,1529742,5250
1350540,1484843,1978843,1747257,457303,6087362,919738,971731,554381,631560,1529714,896360,3302
1311235,1034199,1346386,779108,122893,4018264,714674,747226,316366,390263,1303963,2349738,5628
1859114,1599556,2223172,1627324,457410,5049067,267737,279814,341926,507992,1685359,3168669,6822
1547994,1562307,1917903,1438865,350107,5259977,727337,767066,423748,375360,711878,1716371,5562
754939,1084970,1753102,1269910,351255,4522207,712617,743431,326941,367456,891594,865244,3008
1200935,945733,1076953,1010215,221911,4986673,673515,704412,396958,460294,1365815,2102636,4115
1809377,1715900,2275119,1412323,354862,4494660,503813,524307,461744,553542,1823348,3276712,7116
1473368,1268314,1835315,1340252,362258,5070261,735832,754603,301383,287466,617081,1661828,5828
904618,1186418,1868147,1396428,340771,5219697,695313,734960,439358,490451,1049303,877535,3180
1123770,885210,982796,744933,242478,5123885,734841,764011,401602,443252,1384784,2403150,4438
1492937,1265060,1820720,1355365,243260,3776967,266467,505916,383189,433437,1358167,2486919,5595
1892392,1655564,2312665,1712102,459267,6099798,891744,759437,413440,437399,1080675,2550747,7299
723751,939695,1753308,1314966,360606,4965729,735263,769023,361556,411381,958165,866332,3173
1190907,870843,1053245,819125,238057,5000921,706033,735493,380713,430748,1406455,2575828,4855
1514353,1503890,1893292,1443825,232820,4164907,269985,523166,478900,518375,1461637,2428521,5469
1345480,1067575,1745379,1265835,364880,4685069,495312,280436,215743,323472,1273332,2498186,5839
1450245,1467321,2190164,1596450,454850,5527352,930419,987638,472010,472339,968064,863997,3993
891314,1142055,1094974,1132729,358012,5353992,734994,766260,446257,476270,1343985,1622621,3008
1409694,1279346,1813443,1082424,122669,3649900,496283,744449,345418,376309,1304378,2560472,6063
1871526,1667725,2228078,1630954,344296,5106537,499253,508599,358534,453412,1769958,3238368,7037
1510630,1684152,1966606,1502907,354956,5550944,719807,746991,425416,398714,713933,874176,4461
1144962,992260,1480200,1353654,351660,5434586,927372,970347,420637,482882,1784881,1725321,4554
1640817,1595197,1906412,1194074,240804,4175014,506674,534676,449789,501916,1448146,2442111,5314
1485025,1575342,1944261,1464481,353532,4423358,288902,284195,349787,488501,1435969,2485427,6319
1514639,1298868,1795028,1345139,342958,5029060,714559,755644,298690,288141,616743,1688731,5839
1021246,1506106,2001604,1534991,365234,5572582,739654,768239,498660,541837,1111374,885860,3232
1056649,938128,1036364,802204,237871,4453252,694213,725945,366530,420509,1349185,2534771,4619
1734911,1528857,2203933,1588098,352005,4274326,500097,524411,390116,444090,1765044,3248400,6819
1648068,1701107,2046067,1530280,366100,5636489,740267,759462,458040,476752,754278,1687117,4708
718502,938163,1582417,1193364,335466,4447198,685161,723569,298042,349294,897945,898035,3054
1190965,1067811,1114589,866172,242837,5151704,733535,765186,415406,474269,1395883,2367264,4179
1625385,1527237,1954523,1430574,242619,3940483,268442,505389,438640,474083,1403034,2491749,5846
1713077,1405059,2137932,1553781,457480,5689024,935812,743514,294164,337956,1038406,2505503,5995
912495,1167440,1472521,1371314,364838,5166812,728695,757316,410818,457070,1002863,882077,3096
1181101,1149262,1424649,823409,239798,4555391,697966,730833,422421,474030,1446836,2569646,4641
1657906,1360443,2061343,1232069,219510,3698076,491863,751034,456075,499139,1683985,3036720,6369
1583435,1514987,1933907,1446887,362944,5450720,725046,508531,337636,368873,1040391,2433848,5626
1009052,1123920,1718648,1521892,460489,5368016,922258,977560,415007,462243,972728,867416,3049
1109084,1075023,1407805,816457,241627,4450199,725446,756788,386434,440600,1339397,2352147,4264
1679416,1619095,2026301,1531556,244266,4984770,270467,510976,425568,524631,1464252,2555838,6375
1270131,1115031,1733099,1270865,355196,4742860,729386,527313,284727,280066,943849,1730891,5923
1173764,1361311,1876040,1387549,367621,5097850,739985,771501,401485,436542,856077,862269,3055
1290114,1404359,1563955,1171308,351724,5303036,916014,952391,497124,531715,1757861,2561876,4557
1296155,1175104,1724967,1268220,241400,4175289,268850,517131,274389,359203,1262657,2423017,5342
1639110,1491526,1938283,1420574,368682,5201808,737124,519763,352561,338374,1019728,1668697,5564
1222247,1290428,1918490,1436769,352192,5525023,708082,745990,400550,462431,1085988,918712,3199
1091617,948225,1042615,1098763,246641,5049987,739370,770569,324847,398770,1311730,1627677,4246
1637857,1423242,1895503,1135746,230873,3869608,490414,525743,416369,469098,1402646,2515789,5973
