Value
125138
128536
131772
122518
123194
129533
125158
126779
133206
125969
124975
130946
127761
123878
121271
125830
123314
126289
128384
132947
123627
122932
129211
121649
128226
125563
127115
129982
128963
129505
133237
122115
125601
130219
131695
123738
131927
130367
121882
126012
125547
131937
132612
126124
122310
126676
124080
127178
125908
128854
124538
131494
128575
129474
124115
131579
125424
125004
125464
130180
125062
121516
124253
132243
133620
128473
131509
127411
124636
133566
127848
129473
123981
127382
124359
129092
127766
130926
130302
126955
126525
131893
132013
127368
130424
130791
132860
130749
125707
131888
131969
126288
123983
132236
125591
128184
130810
123263
127990
126036
129532
124950
126263
124570
133325
128871
129940
129774
124069
124863
125870
129227
132629
133350
122650
133258
129819
130447
123934
123535
129965
128351
131025
124952
128187
131673
131081
133421
129501
124647
130775
130057
132937
130101
130069
121843
132320
131894
127388
129467
124461
124169
121987
126872
129614
129978
130522
126799
122417
127607
125107
127673
126625
127043
127960
130265
129589
126923
122653
125214
133581
131834
129393
129232
130444
132401
129290
123490
132286
128611
131848
122384
127466
132248
124676
128593
126295
126637
133046
132765
129009
126359
125469
129525
123180
131497
128002
127321
132833
125473
131090
121980
130992
123918
132842
127570
122443
129318
122348
127436
124376
131730
132223
124509
122561
125363
126410
122079
130161
127301
131172
130022
123272
124961
122415
127322
129231
126500
123359
122743
123313
123526
128003
125102
127038
123708
124963
123169
133740
132279
130724
129182
123610
125182
126675
133228
124418
129663
129070
126389
126588
123778
123249
122458
128357
125178
132236
127977
128900
128282
123758
128499
130529
127190
124443
126600
123498
123467
129706
130641
126141
125497
