icache_tag.stalls
36593
35529
36185
35504
36162
38595
38582
35993
35573
37363
36544
36163
36894
35667
36313
37884
38256
38186
35634
38649
35059
36164
36733
35660
36624
35913
37815
37828
37684
36223
36786
35031
36364
36684
35321
38066
37485
36013
37484
36865
35576
37514
36676
37033
35431
38343
37594
37625
37591
37485
35452
35352
35104
35954
35211
36066
37900
35693
35370
37756
35333
35133
37796
37505
35673
35815
37528
35233
37936
37817
35162
38376
36084
36105
36093
37615
36474
36362
37768
36490
37039
36758
38113
35373
36050
37624
37007
36282
38253
35240
38516
35851
35173
38436
38215
38536
35783
38346
37155
37635
36919
35066
35919
35736
36893
37767
38477
36619
37575
36941
35477
36018
35833
37662
35650
37950
35469
37768
37506
36188
35042
35031
38025
35924
36284
36553
35172
36744
36810
35473
35475
35546
36543
37174
36754
36134
38517
36454
36641
36594
35700
37586
38651
35632
37013
36824
38405
35903
35646
37322
36595
38520
38455
35993
35105
35919
35116
36764
35162
38587
35529
37215
36068
37725
38431
38179
35543
37838
38005
37637
36660
37174
36734
37080
35171
36900
