cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any
14640482,1269339,21168450,13899077,3777722,77683237,7176311,8092657,14547,419870,10768712,26494859
14501786,1260924,21201268,13803680,3762633,77239735,7312565,8033937,8130,418909,10668741,26386443
14411941,1302700,20871439,13763851,3779701,77259367,7354662,8081860,21562,435474,10511084,25269895
14765399,1319712,21363503,13974041,3896767,78017854,7375946,8106597,17448,445921,11035279,27192542
14401970,1307616,21059498,13713142,3681273,77254580,7357144,8091607,18657,444162,10764877,25882974
14567689,1305332,21121606,13829740,3775893,77763803,7350949,7875660,17283,441195,10586624,25840425
14714212,1253915,21108028,13795673,3881722,77442675,7371095,8300333,6813,425335,10969282,27187466
14519156,1289796,21221255,13860924,3679577,78025260,7365864,8091996,15570,445050,10820779,25920163
14658245,1266454,21226678,13937480,3790651,78222526,7381018,7907757,9183,430463,10558208,25885382
15628272,2628947,22300076,14754936,3961673,80417208,7720839,8665411,348070,603403,10965020,27765961
14736308,2303659,22317710,15124966,4092637,81953861,8002273,8757784,633960,1085585,11580255,26108239
14555464,1370201,21090746,13845712,3674569,77106041,7350436,7883268,85106,495719,10837422,26424669
14752057,1504166,21365471,14094094,3863561,78349954,7335454,8176253,138242,561033,10877620,26335541
14442649,1281389,21129043,13883436,3774726,77859148,7338068,8060342,33280,442694,10539244,25747387
14512366,1323014,21016644,13749704,3680394,77196333,7360102,7891644,11974,444767,10717647,26522721
14424949,1252463,20919924,13737479,3770256,77737600,7342171,8057821,21553,440655,10550737,25844708
14512087,1318891,21029818,13751220,3781861,77489823,7173010,7881095,15849,439014,10550742,26513459
14564805,1290738,21045084,13854391,3777148,77679985,7543439,8281880,14896,442053,11010718,26514773
14441090,1402499,21083860,13783894,3700966,77557472,7318681,8048030,68158,485407,10579282,25805627
14598830,1351434,21152172,13878798,3783564,77884962,7163402,7877713,39757,459828,10610050,26475929
14462533,1388142,21173817,13977068,3775559,77745618,7542305,8268867,64752,501200,10849696,25874523
14395919,1414952,21071079,13803768,3770015,77203197,7331876,8062894,73277,496005,10592183,25838828
14920521,1573863,21547444,14047666,3786273,77708137,7383739,8119815,172378,592582,11021160,26577060
14586828,1429187,21098490,14006365,3783897,78047368,7173782,8099293,90810,507566,10854999,25879136
14515134,1521473,21212062,13951639,3768049,77408026,7331076,8059244,159318,570102,10879846,25883497
14664882,1437048,21239130,13863558,3678056,78045847,7167643,7899482,84841,504691,10915242,26502975
15722780,2769920,22718453,15371212,4128122,82971012,8341918,9157316,960939,1419263,13200248,27135134
14654197,1498972,21436307,14029271,3886320,77653433,7375146,8288457,137297,549469,11144861,26532099
14602926,1384853,21151665,13821412,3671562,77873324,7337530,7863551,81584,491624,10850328,26426008
14547532,1329334,20871810,13733359,3785073,77340713,7362821,8084636,80524,481785,10599702,25850512
14568511,1307613,21082704,13839796,3781272,77532761,7162118,8089517,33624,462982,10567995,26499573
14260671,1278908,20877418,13558992,3681731,76718635,7351207,8083249,17654,435030,10676866,25881034
14493779,1278030,21002275,13724695,3782306,77148015,7351501,7886107,8377,433243,10515682,25925911
14664933,1281136,20984370,13741094,3893610,77394018,7372347,8288853,18035,436424,10742879,27173480
14455855,1242933,21171113,13879070,3678374,77990242,7356243,8075974,6805,422526,10742422,25885452
14423460,1288537,20847443,13619476,3775151,76778085,7157534,7870710,24032,438690,10481251,25797650
14411814,1248812,20863768,13782305,3776772,77669708,7158168,8057307,13875,422768,10716981,25741272
14609261,1265455,21306384,13823986,3777300,78219211,7531212,8246390,26356,440352,10757705,26482418
14586549,1284114,21134704,13708769,3764886,77186347,7309021,8005076,16003,432209,10602384,26295830
14396439,1264157,20853649,13839889,3887761,77835218,7351563,8257026,20068,445847,10938780,25814953
14414904,1248041,21047113,13722523,3777013,77769043,7350391,8049612,9782,417395,10704545,25848592
14635019,1227009,21153252,13759407,3689411,78064997,7361692,7875010,20354,413379,10783153,26555693
14589041,1250048,20914983,13716337,3781364,77858425,7343755,8053329,11188,423713,10533111,25832878
16833111,3967515,23466187,15171788,4157423,82820925,8032524,9133902,920758,1403169,13466807,29805487
14717053,1451523,21242712,13845799,3663600,77868042,7319009,7834239,107057,532646,10835515,26478377
14703697,1358360,21084497,13845540,3782514,78207512,7359432,8071670,86697,494032,10671285,25896051
14493810,1259265,20944166,13696077,3777507,77339437,7170670,8048161,14085,415706,10503638,26431940
14363566,1282863,20988469,13678219,3668019,76965802,7353183,8060961,18378,427168,10706528,25843398
14355496,1273916,20956533,13678995,3768390,77384607,7331234,7829010,13989,422905,10476699,25750254
14761197,1271940,21150028,13818961,3869830,77874837,7351104,8134084,15246,423461,10711925,27090322
14447244,1246592,21121219,13808766,3672849,77883482,7358331,8066650,7729,417244,10749703,25799760
14320627,1228450,20923901,13645513,3768285,77260756,7333235,7840586,10113,412047,10458874,25814121
14650438,1279200,20970672,13747468,3759782,78058765,7134457,7842397,26845,435816,10750076,26402234
14602787,1260187,21086358,13863874,3889652,78115256,7558376,8067375,11140,429091,10760247,26542656
14614230,1248199,21346962,13885166,3776501,78163509,7555847,8263481,21674,424436,10780405,26486352
14585610,1247711,21046382,13664674,3683212,77711965,7175872,7880677,9809,421488,10761890,26510190
14371569,1283605,20779690,13672755,3774000,77500250,7350505,8050132,18024,439716,10508359,25845980
14487247,1258077,20953134,13683114,3678569,77416183,7367487,8071242,7854,413494,10714565,26501560
14546367,1270694,21240657,13854295,3676597,78581323,7350594,8054409,12574,441110,10584123,25832270
16889119,5056683,24069646,16152140,4327332,82266966,7860589,8695367,644538,1132133,13045580,29387556
14576419,1316088,21106352,13787245,3787192,77771576,7187288,8086322,29534,456595,10782916,26489420
14461996,1302871,21099240,13685153,3678661,77536792,7366695,8073786,67202,468901,10778547,25894312
14731921,1423019,21256533,13911051,3786128,78180313,7173834,7870582,83735,510126,10691991,25962070
14519084,1330668,21039462,13871212,3779322,77911372,7164777,8070529,46215,461002,10778898,25878848
14506121,1420634,21204128,13911056,3779129,77694316,7349042,8070377,96141,516525,10819497,25848157
14853078,1453821,21463079,13949266,3778741,77820729,7549890,8059997,99873,520671,10844068,26527876
14618448,1339157,20950535,13757900,3784876,77260199,7168572,8070537,88519,493155,10831559,26539637
14435841,1395137,21050317,13744828,3787132,77049523,7369187,8081976,110033,507334,10646377,25941547
14531072,1293428,21014783,13680018,3673918,77852806,7335515,7839018,22661,442183,10741118,26327572
14689951,1373685,21023552,13766021,3791349,78140901,7374085,8087556,75383,490798,10649669,25948401
14561176,1254852,21418266,13880834,3984024,77459722,7552664,8458129,23529,433711,10722618,26569482
14638730,1272957,21182524,13858910,3672116,77990425,7367123,7868456,27325,442428,10769639,26485505
14441686,1232490,20869200,13617807,3786660,77538109,7382949,8098083,20572,421852,10543939,25976626
14491147,1281888,20926308,13655408,3773681,77255952,7152104,7856860,17767,430863,10485161,26432995
14389262,1266214,20931932,13723723,3666655,77517296,7341543,8032535,7984,429039,10723172,25840312
14616248,1249698,21128992,13774540,3886649,77987031,7556741,8074306,13322,412399,10756529,26518115
20749786,7827659,29889963,18529245,8312922,77277291,15250947,15965762,1582055,2040706,20363335,47660479
23001275,6646670,33579756,18264893,13225396,48363711,22958243,23955697,900157,1359894,26566129,66790586
23591612,6953554,34027142,18199095,13609532,49670711,23280295,24564405,889907,1341327,27207160,69086147
23497263,6720357,33951639,18094603,13531395,50370087,23515054,24908303,825521,1286432,27318913,68453293
23850583,6695958,34127342,18383983,13750021,50470714,23765883,25340589,835253,1297440,27886408,70304250
23835118,7416978,34744547,18465003,14017787,51313818,24029580,25311273,901160,1342628,27751469,70289410
23988774,6691133,34751024,18447501,13758020,50713598,23988728,25259727,810639,1273074,27949510,70746479
24080741,7179144,34760597,18549968,13782336,51004264,23833148,25312308,837526,1293606,27644892,69666211
21908346,6240195,31175304,16604010,12147232,44353488,20525152,21732704,703577,1095131,24989802,65406783
809395,499852,1516040,753859,250111,4084231,737117,729729,148996,199296,1005543,1738876
18045337,5578905,26378540,14262310,10541833,40996656,19022014,20167958,704127,1079460,20962980,52197255
24075134,6877880,35081755,18731786,13980836,51021614,24424207,25736929,857287,1323880,28498463,70969259
24189004,6838460,35199630,18704454,14093376,51015546,24409152,25714281,819004,1280230,28005649,71536021
24239769,7075476,35050893,18536229,13901441,50889973,24053115,25317342,833960,1296305,28266470,71680821
24014032,6995136,34840310,18590422,13977535,50902508,24234869,25516570,852980,1309390,27979586,70219825
24239748,6690980,35349199,18752535,14084411,50817788,24234863,25693677,818975,1292575,28408281,71634974
24025472,6898564,34792284,18476036,13879146,50607574,23808061,25129052,842112,1299350,27932501,70951836
24152411,6627935,35002094,18795675,14076924,51167293,24417910,25714242,874608,1341349,28259343,70538195
24252102,7012716,35155722,18727741,14043228,50959362,24426206,25771950,878424,1327748,28243390,71548897
24252389,7117668,34974990,18534352,13917544,50822520,24019651,25361340,863801,1333782,28231537,71538226
24060688,7068886,34756470,18622176,14029637,51032562,24209282,25537628,835318,1294742,28017438,70253751
24272040,6503622,35169636,18702800,14116408,50852753,24226228,25755032,798005,1281742,28453409,71576239
24116753,6516376,34733058,18512555,13924583,50887420,23846253,25124987,764497,1238186,28017912,70999765
24085848,6727999,35016127,18719865,14017714,50993909,24234996,25542381,785066,1267016,28034933,70898339
17462216,4997745,24850287,13350261,9564457,34478024,16215472,16921694,537879,892060,20322013,52363393
719841,259860,1006687,716111,374019,3246235,689718,761768,78960,100284,644750,1707707
14936860,4605508,21674702,15716944,4613765,45698388,8331413,9767841,1490407,1703051,13212509,26031969
22682512,2117241,33094123,24654392,6024762,44686611,11532258,12942642,260011,654638,18070083,36669250
22711955,1880873,32915865,24672904,5861232,44169643,11186891,12534209,165244,545700,17892974,36828777
22705000,1916018,32862976,24851666,5956930,44333534,11278404,12681282,177319,559017,17695445,35661074
3161704,556988,4826411,3510275,1008581,8230888,2073622,2514568,89568,157520,2691673,5427934
819312,497258,1392746,714335,314628,3043073,813845,636555,135012,184637,1142245,2090031
581059,291047,801326,657075,313967,2556959,611721,635058,88502,85739,564281,1401986
