topdown.slots_p
3465328
3661965
3640766
3781561
3661322
3643561
3640544
3612929
3675637
3795271
3645555
3635521
3700795
3639257
3810660
3625978
3687079
3669384
3652470
3740320
3775210
3807381
3713512
3675335
3645407
3787768
3666430
3637210
3643373
3657911
3677408
3816608
3694546
3793966
3640889
3631704
3668079
3674409
3662179
3653695
3719759
3803098
3771718
3807444
3655756
3810361
3613037
3815893
3626723
3657219
3661265
3673462
3786575
3721975
3807551
3639299
3748450
3670032
3666108
3650356
3673882
3788244
3600246
3692157
3668471
3643090
3638452
3630120
3665872
3628637
3633131
3678261
3629037
3623796
3772166
3615360
3767869
3789912
3682830
3636073
3786464
3665516
3651314
3629463
3663357
3755182
3610709
3622774
3775901
3683019
3805252
3624439
3693401
3627413
3782583
3665921
3738333
3688688
3611100
3765131
3682753
3782910
3660123
3666342
3649815
3638793
3625469
3800791
3735863
3702713
3635423
3629459
3805744
3778025
3777037
3806878
3702568
3582999
3645453
3662303
3616847
3644392
3729229
3641196
3603653
3765117
3694886
3820726
3620740
3696651
3710508
3655041
3676457
3669527
3652782
3635816
3659820
3819103
3758278
3798785
3637815
3537865
3671891
3739102
3797922
3673177
3781831
3626740
3784001
3680538
3746580
3642317
3676209
3789786
3641312
3754800
3609960
3780035
3787015
3778944
3633706
3629266
3733696
3622888
3644067
3671012
3699869
3665103
3629889
3785474
3662003
3782405
3661479
3659405
3627496
3725792
3814775
3667017
3804345
3745252
3767971
3783640
3587569
3738340
3810256
3567212
3613126
3656826
3636806
3646003
3619974
3518339
3742316
3664516
3627808
3622272
3645849
3593700
3654566
3628715
3707939
3788711
3786201
3797141
3622882
3634917
3674303
3651243
3754734
3592837
3616715
3635676
3691341
3793039
3612889
3636458
3618060
3650904
3639981
3735422
3685536
3638567
3595687
3790592
3702342
3597203
3699845
3640265
3806536
3640391
3759230
3712000
3658330
3634139
3796183
3624291
3692168
3630599
3621013
3657172
3630366
3806167
3778901
3757667
3742024
3749231
3768710
3628846
3616342
3802812
3773454
3777573
3683746
3645931
3618078
3775353
3603222
3635625
3654024
3771150
3720662
3634786
3632579
3674351
3624457
3631621
3637067
3797371
3607299
3648750
3600663
3573133
3723872
3693814
3512355
3646651
3615268
3645707
3645657
3627640
3695755
3628699
3794271
3643436
3797378
3749336
3657790
3734878
3654450
3764872
3651495
3802650
3657474
3816876
3792071
3821038
3815859
3754942
3718027
3769878
3633634
3801340
3794510
3588491
3567293
3802867
3635596
3789312
3617057
3603168
3614854
3678033
3667764
3738174
3677477
3758012
3717111
3641900
3687732
