cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any,br_misp_retired.all_branches
1371228,1370172,1746922,1307896,230566,3586483,270768,521923,369124,401314,1352373,2368736,4725
1406201,1641227,1955502,1483933,360177,5258146,743713,527988,367381,399649,1088751,2321333,4546
976710,1147264,1713922,1472054,455099,4679682,919043,959287,342947,397868,866407,868757,3009
1011678,868786,1606317,929012,335182,4340581,935499,977644,370215,432234,1659525,2303368,3696
1457746,1822972,1986655,1512281,241414,4847123,266447,510036,456328,559152,1473815,2362228,4524
1272539,1115840,1679535,1207857,341140,4162242,707712,509560,209051,235337,958480,1807554,5373
1019366,1126962,1635877,1188948,351925,4221264,728860,761416,286762,327390,523516,841804,2806
1188943,1603533,1624311,1232003,354008,5201077,940351,971030,565686,617807,1883130,2419136,3797
1253399,1122008,1654845,1204609,231095,3647219,271316,521178,231857,340506,1271283,2400360,5229
1268781,1064586,1634269,1181791,346142,4151962,714747,517617,229381,211125,860717,1533544,4490
1226497,1696227,2049250,1531853,345687,5273159,704891,736410,549252,607507,1210999,870083,2998
858215,673418,891893,930501,247063,4161647,733564,765271,311173,353373,1293563,1604435,3748
1554522,1191302,1980123,1135723,239014,3389412,492469,719931,237200,339443,1496660,2989000,5440
1578744,1842063,2037773,1552986,343223,5350036,709525,520818,493081,461033,1198182,1722867,5227
984116,1009394,1722238,1257444,353454,4493100,728952,762949,321794,371115,899101,877010,3089
966332,545237,829792,870860,236485,3924482,702045,727595,258658,306824,1219860,1622811,3713
1461374,1645400,1878390,1188281,235241,3948013,493599,523152,496377,547741,1517825,2411048,4879
1316910,1343260,1794304,1322974,356006,4614283,500807,519977,246281,342838,946671,2298143,4966
