mem_load_l3_hit_retired.xsnp_none
623
630
593
620
578
625
595
610
625
578
638
589
633
588
588
580
580
614
585
637
593
623
615
638
585
607
600
593
608
623
617
630
578
615
615
593
585
585
638
600
593
585
585
585
593
610
615
622
578
630
592
578
593
630
623
600
630
630
632
623
592
578
638
607
631
633
622
592
615
638
623
621
606
592
578
623
608
601
600
608
623
593
578
638
605
593
578
608
593
578
630
593
600
585
630
608
593
578
615
578
617
633
600
637
600
615
584
615
622
608
593
632
638
585
638
578
593
585
607
600
638
608
623
638
623
615
584
637
593
630
593
637
600
615
623
579
608
631
632
638
593
585
589
600
615
630
600
638
629
638
623
610
593
600
638
637
594
630
592
608
638
630
623
593
623
622
578
615
585
595
615
591
615
638
627
600
638
600
601
600
630
638
636
608
615
581
625
588
614
625
603
590
603
633
603
634
610
611
581
634
603
578
592
608
585
593
638
585
608
638
599
615
600
578
607
585
630
599
627
600
585
635
617
593
615
638
608
638
632
615
615
623
600
623
631
637
600
606
615
615
615
622
600
621
585
615
585
638
608
624
638
609
578
593
593
592
585
637
608
585
623
593
615
601
623
615
579
593
623
608
607
580
623
600
638
607
608
622
628
608
638
615
615
616
585
630
578
585
622
593
602
622
630
597
630
585
593
638
578
609
578
583
638
585
584
614
628
632
589
592
630
578
623
601
608
630
609
584
610
608
621
585
600
630
615
593
593
600
607
631
593
600
632
585
622
608
600
623
638
578
608
593
615
638
615
608
638
623
593
638
615
608
638
630
585
630
638
600
623
608
590
630
617
578
621
628
600
578
629
593
578
630
600
615
616
615
600
584
578
615
598
638
600
602
598
600
621
632
616
603
616
610
603
580
592
578
607
630
578
608
593
593
608
578
607
637
593
600
593
637
615
583
622
578
623
630
578
600
630
615
615
608
615
637
607
638
615
585
638
600
638
615
596
630
592
600
615
593
622
638
630
585
630
600
593
600
593
608
622
585
630
632
632
578
630
618
578
630
603
630
608
593
600
630
600
600
593
593
630
599
603
585
615
585
630
623
609
638
607
600
625
610
617
578
615
618
594
638
593
600
630
600
630
606
608
593
627
638
600
578
593
600
608
638
607
615
583
608
600
595
578
601
605
622
593
625
593
637
592
593
592
608
623
622
600
593
622
592
600
578
638
599
593
601
615
580
585
592
585
578
638
630
608
592
608
636
623
615
632
585
623
638
600
615
615
630
600
593
615
608
623
637
608
630
600
600
578
591
615
615
622
623
623
593
630
630
629
608
615
578
615
637
630
638
591
578
630
629
630
615
585
638
578
600
615
578
630
637
623
