l2_rqsts.miss
12695
12513
13159
12782
12286
13391
13543
12511
12844
12634
12619
13473
12488
12916
12823
13353
13452
12290
13088
12867
12403
12762
13074
12333
13249
12928
12866
13113
13139
13504
12560
13340
12573
12353
12705
12862
12489
13396
12934
12395
13371
12824
12695
13462
12626
13000
12933
12321
12295
13230
12510
12826
13004
12924
12671
13340
13468
13002
13035
12944
12878
12921
13452
13104
13339
12315
12294
13390
12687
12632
12904
12745
12289
12391
13099
12919
13177
12773
13093
13467
12464
12300
12723
12796
13329
12736
13059
12964
12305
12738
12439
12297
12932
12729
12915
12783
13317
12879
12355
12398
13199
13360
13338
12443
12591
13408
12698
13083
12927
13205
12289
13262
12473
13345
12780
12777
12312
12989
12366
13358
13125
12408
13551
12568
13191
12563
12756
12559
13007
13403
13556
13433
13398
13371
13352
12749
12320
12651
12819
13097
