mem_load_l3_hit_retired.xsnp_no_fwd
180
171
180
187
187
172
180
172
187
172
187
171
186
171
187
187
186
178
178
187
180
180
172
187
180
187
187
172
180
187
172
180
180
180
180
187
171
187
180
187
180
187
180
187
172
187
186
172
187
180
172
187
187
180
180
187
180
172
172
187
180
180
187
187
180
177
180
172
180
187
180
187
172
187
187
179
186
187
187
180
172
172
172
172
172
180
187
186
178
180
187
180
180
180
180
172
187
172
172
180
180
180
187
180
187
179
180
172
187
172
187
180
172
180
180
172
187
186
187
172
187
180
187
172
180
187
180
172
187
172
187
172
172
180
180
172
186
187
179
172
172
187
180
172
180
187
180
187
172
180
180
187
172
187
172
187
180
187
179
186
187
187
180
172
187
187
180
180
172
180
180
180
180
187
172
172
187
187
172
187
180
185
186
178
171
186
186
178
180
172
187
180
180
180
172
180
172
172
187
187
172
187
187
187
172
180
180
180
172
180
186
171
179
178
187
172
180
179
187
180
172
187
172
187
186
172
180
180
179
172
180
172
172
180
187
180
172
187
180
172
187
187
180
172
187
171
187
180
187
187
187
187
179
187
187
180
187
187
180
171
187
172
186
180
187
187
172
180
172
187
187
180
173
172
187
173
172
185
172
178
178
172
187
187
187
172
180
187
186
186
180
172
172
172
173
180
172
187
172
172
187
171
180
186
187
185
178
186
178
186
187
180
180
172
187
179
180
180
172
172
172
187
187
173
187
187
172
179
172
172
188
173
180
172
186
178
178
179
178
180
188
171
178
180
172
187
180
173
180
180
172
172
172
187
172
172
172
186
187
172
179
172
187
187
186
180
180
187
172
186
171
172
180
179
187
172
172
187
187
187
188
172
187
187
172
179
187
180
187
172
187
180
187
187
187
188
187
187
180
172
172
171
186
172
172
180
179
187
180
187
172
180
172
172
180
187
180
172
180
173
