l2_rqsts.code_rd_miss
10827
9944
10281
9849
10422
9956
10628
9984
10548
10214
10388
10522
10090
10335
10251
10259
9899
9996
10267
10741
10235
10061
10404
10451
10222
9906
10471
10602
10702
10526
10187
10028
10827
10573
9941
10457
10500
10264
10025
10561
9852
9989
10739
10640
10116
9961
10023
10152
10608
10121
10482
9882
10196
10018
10100
9970
10598
10125
10839
10454
10225
10710
10472
10731
10313
9995
10641
10652
10250
10224
9953
10133
9921
10055
10483
10680
10317
10836
