l2_request.miss
13679
13442
13939
13143
13677
13184
13656
14121
14201
13586
13877
13806
13639
13698
13493
13332
13186
13628
14200
13925
13590
13353
14196
13839
13718
13884
13164
13217
13081
14212
14268
13231
13887
13128
14149
13158
13576
13216
14208
13171
13668
14113
13405
13673
14017
13640
13674
13680
14179
13493
14370
13404
13831
13078
13386
13909
13690
13196
13737
14141
13710
14023
13349
13173
13614
13461
13166
13386
13821
14410
13404
13292
13356
14286
13434
13428
13384
13364
13285
14158
14325
13443
13491
13070
14303
13946
14160
13065
14281
14308
13218
13194
13297
13250
13339
13596
13360
13525
13565
13255
14318
13377
13745
13701
13281
13124
