mem_inst_retired.all_loads,mem_inst_retired.all_stores,mem_inst_retired.any,mem_inst_retired.lock_loads,mem_inst_retired.split_loads,mem_inst_retired.split_stores,mem_inst_retired.stlb_miss_loads,mem_inst_retired.stlb_miss_stores,mem_load_completed.l1_miss_any,mem_load_l3_hit_retired.xsnp_fwd,mem_load_l3_hit_retired.xsnp_miss,mem_load_l3_hit_retired.xsnp_no_fwd,mem_load_l3_hit_retired.xsnp_none,mem_load_l3_miss_retired.local_dram,mem_load_l3_miss_retired.remote_dram,mem_load_l3_miss_retired.remote_fwd,mem_load_l3_miss_retired.remote_hitm,mem_load_l3_miss_retired.remote_pmm,mem_load_misc_retired.uc,mem_load_retired.fb_hit,mem_load_retired.l1_hit,mem_load_retired.l1_miss,mem_load_retired.l2_hit,mem_load_retired.l2_miss,mem_load_retired.l3_hit,mem_load_retired.l3_miss,mem_load_retired.local_pmm,mem_store_retired.l2_hit,mem_uop_retired.any,longest_lat_cache.miss
7574292,4317649,12228052,109842,82,4518,59,15,226121,44,0,0,330,382,0,0,0,0,0,71946,7478367,155922,154547,608,217,367,0,79538,12740131,289527
7333849,4193673,12141048,110299,52,4604,22,381,272647,22,0,97,210,172,0,0,0,0,0,48853,8547970,114250,114988,397,187,135,0,47759,12085426,210433
243105,127871,357127,960,52,52,0,37,44370,187,0,202,0,0,0,0,0,0,0,13554,1002542,22005,21831,2731,2551,7,0,485,413973,2652
132356,70899,191118,965,60,60,7,7,27086,120,0,0,4182,0,0,0,0,0,0,13736,259749,18788,11468,5986,2951,0,0,372,208445,44
129361,69267,192642,1036,60,60,0,0,33979,142,0,187,1719,0,0,0,0,0,0,10406,95170,15121,15173,0,0,0,0,387,196109,39
1055495,398504,538980,22891,735,90,1388,37,134141,119,7,52,14,0,0,0,0,0,0,67896,2141667,107124,104798,510,90,0,0,16064,2897614,298
4404248,2576494,7490600,112509,5009,3026,284,0,255128,165,0,164,413,52,0,0,0,0,0,108158,4049218,154725,115150,2410,1323,75,0,6291,7917027,788
3024447,1198983,3281267,28245,202,2054,276,14,247848,164,0,165,819,67,0,0,0,0,0,30007,2538148,149701,172860,8079,7212,97,0,4307,5565737,453
3593867,1518577,4695985,35836,120,662,526,30,389458,127,0,22,2093,52,0,0,0,0,0,26356,2302850,55828,94273,4905,4183,126,0,4463,6104499,405
3392765,1568222,4911799,47853,52,1873,29,14,201234,90,0,112,8542,97,0,0,0,0,0,51919,3655440,75275,51583,1316,1572,173,0,40969,6191905,164680
2960423,1473306,4759780,43957,67,2494,285,14,142791,299,0,202,3174,188,0,0,0,0,0,47556,3309963,108459,114988,328,194,0,0,41068,4342875,163827
4080425,1870251,7133070,89830,74,2230,15,0,144782,195,0,255,82,0,0,0,0,0,0,95013,3275651,110432,88636,1901,813,45,0,5242,5992761,163519
2714538,994062,3034782,27642,210,2856,225,0,193996,120,52,90,646,22,0,0,0,0,0,48241,3276970,166305,164294,5266,6866,60,0,5074,6367833,318
3385801,1378950,4772046,39654,59,666,382,22,479865,135,0,134,2024,67,0,0,0,0,0,37087,3214582,55578,81679,4692,4442,82,0,2868,5579033,323
1225240,696576,2697954,23589,60,352,7,0,27922,67,7,37,2342,0,0,0,0,0,0,10841,120386,15677,15661,37,37,0,0,409,978906,69
1258449,577517,865553,1511,150,105,629,7,144163,307,0,7,345,142,0,0,0,0,0,182835,3198241,111994,112353,45,2597,4441,0,21855,5018748,29107
20714244,11480111,28932634,203781,5982,3154,1367,52,258716,196,0,889,2482,65,6,0,0,0,0,113494,18898372,213520,225786,15449,19457,1018,0,68290,37475046,161352
9650566,5252375,14653013,141502,20512,6706,37,0,102114,306,0,441,0,0,0,0,0,0,0,40315,11364987,88335,85559,2380,0,0,0,19065,15805549,80
12386177,5698369,14757737,151067,11961,4132,742,87,403391,322,0,315,3558,292,20,0,0,0,0,125451,15847605,201149,161368,2199,225,0,0,19978,20986528,4706
14347167,7431493,24820663,552536,6111,1728,255,45,494042,4737,7,1812,2306,180,7,0,0,0,0,75832,6037214,147546,136184,9421,5598,1848,0,37212,19387936,143458
4078069,1778632,5573078,84683,187,1258,67,0,42703,37,0,112,1149,90,0,0,0,0,0,36743,2067420,79465,65702,7925,14215,4722,0,80552,8365033,358844
12238125,5962892,17154857,317469,8901,7407,391,22,719940,27252,7,6109,210,307,0,0,0,0,0,282976,6508450,293350,279735,38855,4494,391,0,18951,20799433,20605
13679837,7561509,20854956,240148,19181,14403,7,0,1194672,66626,7,13328,262,7,0,0,0,0,0,507060,14162023,621847,546048,78170,441,0,0,24293,21066451,545
4808749,2624828,7280142,72231,10272,3480,60,0,218653,0,0,90,14,0,0,0,0,0,0,182497,7307039,344700,270792,19286,135,0,0,17978,7899049,80
4798841,2622424,7274979,72028,10253,3476,142,0,236402,172,0,233,0,0,0,0,0,0,0,76764,4732779,120147,118520,315,0,0,0,18640,7911618,30
5354292,2873872,8862285,116883,10123,3457,52,0,213000,300,0,322,0,0,0,0,0,0,0,75256,4683657,121262,122009,345,0,0,0,18302,7869363,0
5911430,2876019,8072035,72099,10243,3434,52,0,220215,180,0,248,15,0,0,0,0,0,0,83702,4698293,121629,118343,515,0,0,0,19753,9845732,25
4769371,2602547,7216197,71489,10225,3402,22,0,232693,172,0,172,15,0,0,0,0,0,0,93743,6323902,123545,122511,427,7,0,0,19448,7886436,24
4791244,2614084,7270406,71926,10219,3438,0,0,214813,202,0,276,0,0,0,0,0,0,0,79577,4708325,127031,125045,367,0,0,0,20792,7871015,0
4790188,2614805,7253942,71829,10173,3426,30,0,225271,142,0,165,0,0,0,0,0,0,0,77023,4674873,127576,128867,67,45,0,0,19966,7855897,0
4763458,2863190,8035088,116494,10035,3428,0,0,215906,330,0,224,0,0,0,0,0,0,0,90474,4682793,120984,117469,382,0,0,0,20906,7847494,0
5927185,3133084,8067866,94408,10209,3432,0,0,224636,322,0,15,30,0,0,0,0,0,0,82973,4637246,120732,117631,430,22,0,0,20719,9861356,0
