uops_executed.stall_cycles
343643
337458
335318
341921
341530
341811
324238
340675
341952
343135
321821
333960
329273
343804
334134
320967
341932
323664
339550
314295
330958
325087
323037
313450
313931
319892
326010
338092
342249
328624
325669
333895
342340
317216
322745
321091
315661
331602
340778
319663
317755
317770
315421
321821
325097
336811
330566
322912
334119
326528
326918
335495
319737
319920
314195
330623
332188
344431
315282
327122
336539
319947
312581
319068
344243
316780
312109
335040
314983
325818
326785
314147
329537
328245
314406
317306
340947
340543
339843
321699
327294
325541
332310
320201
322836
320276
321126
315647
329233
319314
330011
321238
327104
318052
335667
313946
328557
322685
321974
327891
318677
318705
326543
324254
343756
323007
321978
313319
314062
321871
326017
327759
318990
312135
339152
329313
317237
335426
327868
315017
331661
318167
327697
321752
337148
313786
325558
317052
328985
327924
318535
337476
313390
316631
329188
334880
329913
325190
318002
336563
316020
332416
317189
312181
314532
318499
326726
314254
339162
314209
336931
318100
313711
341734
333835
331840
336163
336116
314311
316955
316556
339807
329621
318625
317674
324532
337301
331150
320366
320115
328008
326076
314239
341024
343620
319063
333342
323611
337959
335193
332534
320466
332905
312775
325077
321300
331960
319342
323184
314988
322462
319086
313483
322972
316741
320381
313264
324025
318029
333454
327090
316481
317767
313036
320286
329150
328439
325039
322688
332365
331538
317570
331531
329694
322358
334688
327040
329460
324063
318186
314458
328059
332815
339930
332774
320925
331443
323569
312500
332008
328615
330852
334105
323282
329480
315582
338959
328643
327689
316771
315525
317217
322612
315710
329588
312394
313721
320217
329787
335153
329896
318150
337042
317615
340010
315398
328002
317831
330064
318854
342716
321663
312151
329320
312294
322351
336889
317421
318627
322508
320725
331051
329624
317267
313783
323814
319077
320837
321416
312668
320448
335966
323361
331182
329794
315982
325695
327883
314839
332092
323210
335912
316223
324160
331799
314681
317579
319419
327235
333076
317582
320870
313963
324414
315323
314658
330864
338333
329299
316068
335088
320615
340105
312021
331416
314919
317688
321826
324409
312910
333026
314969
323577
320832
319080
323551
337478
338537
323778
327049
314132
312854
317799
337476
327528
319863
333556
321969
316502
342205
315411
322122
325659
327237
326389
327890
323444
323413
317757
332226
323731
328378
322687
318243
315742
326995
318777
329254
332908
335478
312762
