cycle_activity.stalls_l3_miss,machine_clears.memory_ordering,mem_trans_retired.load_latency_gt_128,mem_trans_retired.load_latency_gt_16,mem_trans_retired.load_latency_gt_256,mem_trans_retired.load_latency_gt_32,mem_trans_retired.load_latency_gt_4,mem_trans_retired.load_latency_gt_512,mem_trans_retired.load_latency_gt_64,mem_trans_retired.load_latency_gt_8,mem_trans_retired.store_sample,memory_activity.cycles_l1d_miss,memory_activity.stalls_l1d_miss,memory_activity.stalls_l2_miss,memory_activity.stalls_l3_miss,rtm_retired.aborted,rtm_retired.aborted_events,rtm_retired.aborted_mem,rtm_retired.aborted_memtype,rtm_retired.aborted_unfriendly,rtm_retired.commit,rtm_retired.start,tx_mem.abort_capacity_read,tx_mem.abort_capacity_write,tx_mem.abort_conflict
0,58,0,0,0,0,0,0,0,0,2802771,901544,301735,78696,133297,0,0,0,0,0,0,0,0,0,0
0,953,0,0,0,0,0,0,0,0,3064855,3129308,1533382,881186,108870,0,0,0,0,0,0,0,0,0,0
0,70,0,0,0,0,0,0,0,0,5317169,862042,404924,42969,0,0,0,0,0,0,0,0,0,0,0
0,444,0,0,0,0,0,0,0,0,6937265,1709839,706222,457350,35403,0,0,0,0,0,0,0,0,0,0
0,651,0,0,0,0,0,0,0,0,7713098,1932870,2303455,2368349,2201164,0,0,0,0,0,0,0,0,0,0
0,300,0,0,0,0,0,0,0,0,715331,643697,250248,150358,6147,0,0,0,0,0,0,0,0,0,0
0,766,0,0,0,0,0,0,0,0,6898296,5063580,3518799,2790097,662350,0,0,0,0,0,0,0,0,0,0
0,953,0,0,0,0,0,0,0,0,7296884,9594102,6290995,5332202,3281,0,0,0,0,0,0,0,0,0,0
0,100,0,0,0,0,0,0,0,0,2591219,1998163,1514920,1261284,0,0,0,0,0,0,0,0,0,0,0
0,117,0,0,0,0,0,0,0,0,2613397,1124276,453467,51961,0,0,0,0,0,0,0,0,0,0,0
0,251,0,0,0,0,0,0,0,0,2629467,1153756,484135,78642,741,0,0,0,0,0,0,0,0,0,0
0,161,0,0,0,0,0,0,0,0,2568549,1043842,399583,11428,0,0,0,0,0,0,0,0,0,0,0
0,156,0,0,0,0,0,0,0,0,2895694,1106623,427952,24587,0,0,0,0,0,0,0,0,0,0,0
0,99,0,0,0,0,0,0,0,0,2640495,1065497,432985,29403,0,0,0,0,0,0,0,0,0,0,0
0,90,0,0,0,0,0,0,0,0,2597806,1079523,420116,22782,0,0,0,0,0,0,0,0,0,0,0
0,187,0,0,0,0,0,0,0,0,2645374,1074655,421992,22176,0,0,0,0,0,0,0,0,0,0,0
0,185,0,0,0,0,0,0,0,0,2587679,1100967,430051,37030,0,0,0,0,0,0,0,0,0,0,0
