mem_load_l3_hit_retired.xsnp_no_fwd
148
150
150
142
150
156
150
150
150
150
142
142
150
150
142
156
150
142
148
142
142
142
142
142
150
142
142
150
150
150
150
150
150
150
150
150
150
142
142
150
150
150
142
150
150
150
142
142
150
148
148
150
150
150
142
142
150
150
142
150
142
142
150
150
149
142
150
150
150
150
156
148
150
150
142
150
150
142
142
150
150
142
142
142
150
150
142
150
142
142
150
150
142
150
142
150
142
142
142
150
150
142
150
142
148
150
150
142
142
142
150
150
142
142
142
142
142
142
150
142
150
150
142
142
150
142
150
150
150
150
142
156
148
150
150
142
142
142
149
156
149
142
150
142
150
150
142
142
142
142
150
156
150
150
148
148
150
150
150
156
150
150
142
150
150
150
150
150
150
142
142
150
142
142
149
150
150
142
150
150
142
142
142
150
150
150
142
150
156
156
148
150
150
149
150
150
142
142
150
142
150
142
150
150
142
148
150
150
156
142
142
150
150
142
142
150
142
142
