l2_rqsts.demand_data_rd_miss
1090
1071
1045
1127
1106
1095
1110
1091
1116
1050
1106
1070
1076
1076
1046
1071
1131
1116
1121
1086
1034
1106
1131
1071
1045
1035
1075
1035
1050
1055
1136
1076
1056
1075
1045
1071
1131
1116
1091
1126
1080
1086
