l2_rqsts.demand_data_rd_hit
36530
38266
38231
38136
37886
38458
37974
38727
38311
38159
38286
37633
38709
38131
38892
38737
37334
38491
38426
37213
37575
37075
36794
36728
36715
36931
36465
36370
36989
37961
38696
36865
37419
37851
37649
36860
36675
37559
36255
37930
36715
36520
36686
36919
35442
37115
36619
38337
36820
36875
36334
36614
37676
37014
36789
36354
37250
37247
36031
38267
37810
36699
36252
38546
38241
38818
38399
38817
