br_inst_retired.near_call
44267
45089
43809
47343
44691
47641
43872
46434
48156
48049
47484
47940
45639
47617
47641
47445
48229
47553
47480
47223
46646
48342
46154
43936
46280
47723
47488
46200
46968
44875
48255
47816
47407
47644
47305
48140
47496
47519
47185
47889
47325
47245
47428
44683
46253
48261
47916
46502
46585
46893
48167
46289
48325
47228
48114
48316
48126
47751
47394
47765
46877
47354
48301
46289
47263
47413
44140
46502
45049
43984
45540
48042
47250
47596
48022
47290
47739
47380
47420
47363
44963
47651
47813
47555
46010
46583
47868
47335
46127
47784
47563
47568
47143
48256
46997
47453
46984
47398
47483
47629
47754
47571
47894
47167
48164
46119
47728
44740
47026
47103
47365
46637
47445
47979
46022
44220
44280
45767
47585
44543
46877
45059
45442
45348
45677
46115
47739
46411
47519
47591
48340
47878
47371
48272
47454
47323
46076
48187
47986
44347
46119
48142
47408
47388
47816
47936
47672
47936
47050
46986
46935
48259
46570
46878
47899
47449
46663
43902
46001
46825
46464
47566
46740
46394
46939
46272
48030
47187
43784
46539
44360
47693
46717
47310
46878
48253
47105
47055
47058
47028
47204
46662
48022
47048
46743
47103
46546
45880
46638
47188
47036
46663
46945
47345
44728
48101
47281
46841
47757
47002
46194
46718
47032
47541
47033
47196
46945
47131
45641
46823
47212
48082
47115
47270
47258
48035
47042
46903
47339
47572
47979
47662
47319
47648
47919
47783
45618
44837
45692
47772
47129
47681
45491
46828
44882
44471
46496
44207
46013
45588
46854
48008
47297
47892
45089
45940
45665
46329
46904
47828
47828
47681
47627
45892
47596
46664
47084
46990
47946
47658
47749
47336
46718
47738
48279
45797
47085
46876
45466
48244
45489
46863
48119
47911
47306
47401
44877
46448
46772
46953
47963
46954
48136
48108
46548
48297
48303
46846
48126
47130
47924
47202
45900
46267
46043
47168
47314
45525
47399
46937
47250
48140
48193
47009
47817
47161
47675
47048
47950
44838
46716
46390
48284
46392
47986
46536
46815
47694
47478
46823
48116
45174
44104
48016
48036
44130
47776
47482
44624
45522
48335
44237
48245
