br_inst_retired.near_taken
196196
179368
182936
183088
183226
182010
192007
180691
183247
188470
187967
184137
193637
196139
179867
181040
185226
190928
188755
197311
191378
197641
197593
197973
192189
196535
197928
198143
197740
198033
196772
189731
195858
197917
197589
198193
197528
196898
198203
186749
197456
197456
197717
197471
197436
194592
188016
197105
197042
191490
184628
195585
191938
193023
191818
192155
192722
190516
192593
191849
190990
192426
189302
192690
189642
189070
193273
191521
196928
193104
198051
193495
180275
197352
197464
185624
196904
197537
196635
198026
198080
189396
197696
196940
196796
197014
197765
188234
196319
196370
197447
188156
197261
196688
196694
186388
196630
197900
187378
197668
197628
197167
189500
196913
195762
195827
191843
196436
193963
197406
197633
197813
190406
192479
191590
194085
191631
187014
189664
196583
191249
188784
192221
190572
193896
192274
191357
190763
190611
194190
196147
188866
189535
191940
197965
194816
182067
191771
198191
192826
192474
196568
190798
186098
198128
192133
197499
185076
194856
190381
193038
191676
194045
197937
190671
194799
195417
183931
192191
192312
189701
189190
190228
192293
195904
191901
191800
187790
192958
193745
195724
191887
196905
191100
191818
192367
197737
195254
191414
190985
196579
194810
185823
195170
195558
188476
189809
192125
192132
191455
196694
192349
193468
182334
181169
198173
185427
180765
179950
179964
181211
182224
183939
190397
187307
191860
193944
196771
190134
196829
191436
197829
195032
194618
192888
192343
197671
192441
191657
190738
191568
191935
189909
191082
196375
187390
192052
190400
190954
191002
193731
191738
189233
190261
188532
187170
189502
197252
192392
189396
185338
191516
194781
188551
191427
187385
186741
187743
186272
196819
186762
187198
194493
192611
190064
186091
180477
196148
185914
192432
186998
184885
193766
188836
188989
190367
190031
189545
191844
189809
193554
197371
197730
188270
187627
184609
188873
189541
192082
189844
194708
188121
189234
196146
192222
191265
192103
194208
197177
194763
196546
194995
191145
188944
192473
188763
195160
189909
190126
197398
189095
193543
189913
188443
188359
190176
189119
189274
188554
187504
189727
191594
191720
187279
197417
192251
196455
191450
198110
197835
198202
192249
198098
195366
195058
189823
196849
196035
192525
198091
197623
190095
196743
198026
184362
190823
197829
192762
193598
196888
194965
190180
197046
196857
190289
188626
194287
193406
191596
193740
193466
197418
190063
198094
189101
185695
196195
191126
194935
193746
196427
182499
197837
191780
193501
194232
183633
195984
195989
194499
188298
195328
194416
193918
197339
195694
197966
198050
193344
198176
196992
194333
192455
191388
198134
190289
191841
196378
188999
196751
197389
197565
197871
191858
193118
186769
197827
191902
195531
194421
197009
197799
191141
193680
198108
188895
195521
197998
190966
197664
197090
189082
187031
195222
197876
182842
197163
189242
197409
197893
197343
197818
196699
197361
189701
198079
196032
197175
198065
191986
197401
198126
185748
197519
197141
182645
197113
195365
189734
194045
192648
194163
184922
188026
188481
198177
196399
197562
194915
194489
183662
189779
197564
193100
192006
194667
195126
192242
188768
198118
179344
182129
181841
197328
191099
197518
197815
197386
190529
197485
188284
197861
189783
195627
196241
190505
191302
189867
194903
197935
196443
195687
195445
195167
198166
196600
190669
197620
198019
195342
196143
198109
198127
191949
194806
192936
196072
185498
189213
197896
193896
197528
188442
196844
193042
198152
195774
198107
192892
197668
197508
197758
190446
188493
191553
186135
191172
187706
197725
